URL,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,ElanResp.  Elan,Rev. Elan
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,0,"

",,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,1,"

",,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,2,#SomosPROEC,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,3,,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,4,"
Home
",,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,5,Home,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,6,"
Renex
",,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,7,Renex,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,8,"
Equipe
",,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,9,Equipe,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,10,"

							Diretorias
						

Administrativa
Comunicação
Cultura

DCult
Centro de Convenções
Casa do Lago
CIS Guanabara
Ginásio Multidisciplinar
Museu de Artes Visuais
Museu Exploratório de Ciências


Extensão

DExt
DProj

DProj
Malunga
ITCP
Projeto Rondon


Extecamp
UniversIDADE


Extensão 48
Fóruns Permanentes
Informática

",,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,11,"
							Diretorias
						",,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,12,Administrativa,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,13,Administrativa,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,14,Comunicação,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,15,Comunicação,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,16,"Cultura

DCult
Centro de Convenções
Casa do Lago
CIS Guanabara
Ginásio Multidisciplinar
Museu de Artes Visuais
Museu Exploratório de Ciências

",,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,17,Cultura,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,18,DCult,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,19,DCult,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,20,Centro de Convenções,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,21,Centro de Convenções,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,22,Casa do Lago,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,23,Casa do Lago,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,24,CIS Guanabara,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,25,CIS Guanabara,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,26,Ginásio Multidisciplinar,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,27,Ginásio Multidisciplinar,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,28,Museu de Artes Visuais,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,29,Museu de Artes Visuais,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,30,Museu Exploratório de Ciências,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,31,Museu Exploratório de Ciências,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,32,"Extensão

DExt
DProj

DProj
Malunga
ITCP
Projeto Rondon


Extecamp
UniversIDADE

",,,,,,,,,,,,
