URL,Paragraph,Sentence
https://www.proec.unicamp.br/paginas/congresso,0,4º Congresso de Extensão e Cultura da Unicamp
https://www.proec.unicamp.br/paginas/congresso,1,"21, 22 e 23 de Novembro"
https://www.proec.unicamp.br/paginas/congresso,2,Venha participar do congresso!
https://www.proec.unicamp.br/paginas/congresso,3,Notícias
https://www.proec.unicamp.br/paginas/congresso,4,Redes Sociais
https://www.proec.unicamp.br/paginas/congresso,5,Patrocinadores
https://www.proec.unicamp.br/paginas/congresso,6,"O 4º Congresso de Extensão e Cultura da Unicamp acontecerá nos dias 21, 22 e 23 de novembro, no Centro de Convenções e no Ginásio Multidisciplinar da Unicamp."
https://www.proec.unicamp.br/paginas/congresso,6,"O evento, organizado pela Pró-Reitoria de Extensão e Cultura (Proec), pretende reunir extensionistas e pesquisadores de todo país, para discutir as principais temáticas relacionadas à extensão e cultura no ambiente universitário."
https://www.proec.unicamp.br/paginas/congresso,7,"Você pode conferir mais detalhes sobre o evento, além da nossa programação, nos links abaixo."
https://www.proec.unicamp.br/paginas/congresso,8,© Pró-Reitoria de Extensão e Cultura.
https://www.proec.unicamp.br/paginas/congresso,8,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
