Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan,URL,Paragraph,Sentence
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,0.0,"Aulas Práticas de CAPOEIRA Aberto para todos os níveis (iniciante, intermediário e avançado)"
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,0.0,"Sobre a Casa do Lago Aberto para todos os níveis (iniciante, intermediário e avançado)"
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,0.0,"Acontece Aberto para todos os níveis (iniciante, intermediário e avançado)"
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,0.0,Domino no Lago de 04 de junho vem aí!
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,0.0,"Aberto para todos os níveis (iniciante, intermediário e avançado)"
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,0.0,"Performance ""Duplos"" acontece na Casa do Lago dia 01 de junho Aberto para todos os níveis (iniciante, intermediário e avançado)"
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,0.0,"Chamada para Exposições Artísticas na Casa do Lago Aberto para todos os níveis (iniciante, intermediário e avançado)"
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,0.0,"IX EREDS SUDESTE Aberto para todos os níveis (iniciante, intermediário e avançado)"
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,0.0,"Audiência pública discute financiamento da Extensão Universitária na Comissão de Educação da Câmara  Aberto para todos os níveis (iniciante, intermediário e avançado)"
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,0.0,"Domingo no Lago aborda temática do meio ambiente e traz Big Band da Unicamp Aberto para todos os níveis (iniciante, intermediário e avançado)"
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,0.0,"Seminário no Instituto de Biologia debate a curricularização da extensão Aberto para todos os níveis (iniciante, intermediário e avançado)"
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,0.0,"Biblioteca Comunitária da Unicamp recebe doações e planeja expansão  Aberto para todos os níveis (iniciante, intermediário e avançado)"
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,0.0,"ProEC Vídeos Aberto para todos os níveis (iniciante, intermediário e avançado)"
,,,,,,,,,,,,,,,,https://www.casadolago.proec.unicamp.br/,0.0,"Casa do Lago Aberto para todos os níveis (iniciante, intermediário e avançado)"
