URL,Paragraph,Sentence
https://www.proec.unicamp.br/editais_itcp,0,ITCP Prorrogação do Edital ITCP
https://www.proec.unicamp.br/editais_itcp,0,Fique por dentro dos editais Prorrogação do Edital ITCP
https://www.proec.unicamp.br/editais_itcp,0,Edital 2022 Prorrogação do Edital ITCP
https://www.proec.unicamp.br/editais_itcp,0,Editais ITCP – Incubadora Tecnológica de Cooperativas Populares Prorrogação do Edital ITCP
https://www.proec.unicamp.br/editais_itcp,0,Como participar Prorrogação do Edital ITCP
https://www.proec.unicamp.br/editais_itcp,0,Veja os editais: Prorrogação do Edital ITCP
https://www.proec.unicamp.br/editais_itcp,1,Prorrogação do Edital ITCP
https://www.proec.unicamp.br/editais_itcp,2,Edital FINAL ITCP
https://www.proec.unicamp.br/editais_itcp,3,A Incubadora Tecnológica de Cooperativas Populares (ITCP) é um programa de Extensão da Unicamp fundado em 2001 que atua com grupos populares em Campinas e região.
https://www.proec.unicamp.br/editais_itcp,3,"Os temas abordados são economia solidária, educação popular, tecnologia social, gênero, movimentos sociais e autogestão.Por meio dos editais ITCP, são realizados processos seletivos para selecionar estudantes de graduação da Unicamp que queiram atuar no projeto."
https://www.proec.unicamp.br/editais_itcp,4,"Para se candidatar ao processo seletivo, o estudante deve verificar o edital em vigor e providenciar o requerimento de inscrição e os documentos solicitados dentro do prazo estipulado."
https://www.proec.unicamp.br/editais_itcp,4,"A inscrição deve ser protocolada na Diretoria de Projetos de Extensão - Pró-Reitoria de Extensão e Cultura (ProEC), localizada no endereço Av."
https://www.proec.unicamp.br/editais_itcp,4,"Érico Veríssimo, 800."
https://www.proec.unicamp.br/editais_itcp,5,© Pró-Reitoria de Extensão e Cultura.
https://www.proec.unicamp.br/editais_itcp,5,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
