URL,Paragraph,Sentence
https://www.proec.unicamp.br/noticias/fernando-coelho-e-homenageado-com-medalha-do-merito-civico-afrobrasileiro,0,Fernando Coelho é homenageado com Medalha do Mérito Cívico Afrobrasileiro Publicado em 19/05/2023 por PROEC
https://www.proec.unicamp.br/noticias/fernando-coelho-e-homenageado-com-medalha-do-merito-civico-afrobrasileiro,1,A cerimônia homenageou personalidades que contribuíram historicamente na defesa da liberdade e para o respeito e valorização do negro brasileiro
https://www.proec.unicamp.br/noticias/fernando-coelho-e-homenageado-com-medalha-do-merito-civico-afrobrasileiro,2,Reportagem: Gabriela Villen  l Imagens e edição: Luiz Tadeu
https://www.proec.unicamp.br/noticias/fernando-coelho-e-homenageado-com-medalha-do-merito-civico-afrobrasileiro,3,"Na última sexta-feira (12), o pró-reitor de Extensão e Cultura da Unicamp, Fernando Coelho, recebeu a Medalha do Mérito Cívico Afrobrasileiro, no salão nobre da Federação das Indústrias do Estado de São Paulo (FIESP)."
https://www.proec.unicamp.br/noticias/fernando-coelho-e-homenageado-com-medalha-do-merito-civico-afrobrasileiro,3,"A cerimônia, comandada pelo reitor da Universidade Zumbi dos Palmares, José Vicente, celebrou os 135 anos da abolição da escravatura."
https://www.proec.unicamp.br/noticias/fernando-coelho-e-homenageado-com-medalha-do-merito-civico-afrobrasileiro,3,"Entre os homenageados estavam o presidente do  Banco Nacional de Desenvolvimento Econômico e Social (BNDES), Aloizio Mercadante; o Ministro do Trabalho e Emprego, Luiz Marinho; o diretor do Serviço Social do Comércio no estado de São Paulo (SESC-SP), Danilo Santos de Miranda; além de executivos de grandes empresas brasileiras e multinacionais, e agentes culturais."
https://www.proec.unicamp.br/noticias/fernando-coelho-e-homenageado-com-medalha-do-merito-civico-afrobrasileiro,4,Confira alguns dos melhores momentos da cerimônia no vídeo:
https://www.proec.unicamp.br/noticias/fernando-coelho-e-homenageado-com-medalha-do-merito-civico-afrobrasileiro,5,
https://www.proec.unicamp.br/noticias/fernando-coelho-e-homenageado-com-medalha-do-merito-civico-afrobrasileiro,6,© Pró-Reitoria de Extensão e Cultura.
https://www.proec.unicamp.br/noticias/fernando-coelho-e-homenageado-com-medalha-do-merito-civico-afrobrasileiro,6,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
