URL,Paragraph,Sentence
https://www.proec.unicamp.br/paginas/editalcoltec,1,"As atividades de Extensão dos Colégios Técnicos representam um significativo avanço no processo de formação profissional, inclusão e de cidadania, visando ampliar o alcance na comunidade externa do conhecimento científico produzido pela comunidade do Colégio Técnico de Campinas e do Colégio Técnico de Limeira."
https://www.proec.unicamp.br/paginas/editalcoltec,2, 
https://www.proec.unicamp.br/paginas/editalcoltec,3,1.
https://www.proec.unicamp.br/paginas/editalcoltec,3,Objetivos do Edital
https://www.proec.unicamp.br/paginas/editalcoltec,4,"O presente edital visa o apoio financeiro de ações de extensão produzidas nos Colégios Técnicos, coordenadas por docentes desses colégios , cuja execução terá início em 14 de Junho de 2023, com duração de 12 (doze meses)."
https://www.proec.unicamp.br/paginas/editalcoltec,5,link para envio de propostas: https://www.extecult.proec.unicamp.br/
https://www.proec.unicamp.br/paginas/editalcoltec,6, 
https://www.proec.unicamp.br/paginas/editalcoltec,7,2.
https://www.proec.unicamp.br/paginas/editalcoltec,7,Link do Edital:  Edital dos Colégios Técnicos
https://www.proec.unicamp.br/paginas/editalcoltec,8, 
https://www.proec.unicamp.br/paginas/editalcoltec,9,3.
https://www.proec.unicamp.br/paginas/editalcoltec,9,Resultado Preliminar:
https://www.proec.unicamp.br/paginas/editalcoltec,10,
https://www.proec.unicamp.br/paginas/editalcoltec,11, 
https://www.proec.unicamp.br/paginas/editalcoltec,12,© Pró-Reitoria de Extensão e Cultura.
https://www.proec.unicamp.br/paginas/editalcoltec,12,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
