URL,Paragraph,Sentence
https://www.cdc.proec.unicamp.br/,0,Sobre o Centro de Convenções
https://www.cdc.proec.unicamp.br/,1,Acontece
https://www.cdc.proec.unicamp.br/,2,I Seminário Internacional da Pós-Graduação da FE/Unicamp
https://www.cdc.proec.unicamp.br/,3,II Vozes Negras na Filosofia
https://www.cdc.proec.unicamp.br/,4,III Simpósio Internacional do Programa de Pós-Graduação em Enfermagem da Unicamp
https://www.cdc.proec.unicamp.br/,5,Seminário de Extensão e Cultura: Difusão Científica e Cultural
https://www.cdc.proec.unicamp.br/,6,Audiência pública discute financiamento da Extensão Universitária na Comissão de Educação da Câmara 
https://www.cdc.proec.unicamp.br/,7,Proec divulga classificação preliminar do edital de apoio para os Colégios Técnicos
https://www.cdc.proec.unicamp.br/,8,Primeiro Fórum Permanente da série dos 20 anos debate ciência aberta
https://www.cdc.proec.unicamp.br/,9,Domingo no Lago aborda temática do meio ambiente e traz Big Band da Unicamp
https://www.cdc.proec.unicamp.br/,10,ProEC Vídeos
https://www.cdc.proec.unicamp.br/,11,Administração
https://www.cdc.proec.unicamp.br/,12,Localização
https://www.cdc.proec.unicamp.br/,13,Órgãos da DCult
https://www.cdc.proec.unicamp.br/,14,"O Centro de Convenções da Unicamp é um espaço para a realização de atividades acadêmicas e culturais, visando a promoção do debate e da disseminação do pensamento."
https://www.cdc.proec.unicamp.br/,15,"É gerido por uma equipe multiprofissional que desenvolve e coordena ações de apoio logístico, técnico, tecnológico e administrativo, assessorando e prestando consultoria aos organizadores dos eventos, sejam eles da comunidade universitária ou externos à Universidade."
https://www.cdc.proec.unicamp.br/,16,É um espaço criado para permitir a interlocução qualificada das atividades acadêmicas com pessoas e/ou instituições das diferentes comunidades com as quais a Unicamp se relaciona.
https://www.cdc.proec.unicamp.br/,17,Fique por dentro de nossas atividades
https://www.cdc.proec.unicamp.br/,18,EVENTO
https://www.cdc.proec.unicamp.br/,19,Publicado em 17/04/2023
https://www.cdc.proec.unicamp.br/,20,EVENTO
https://www.cdc.proec.unicamp.br/,21,Publicado em 12/04/2023
https://www.cdc.proec.unicamp.br/,22,EVENTO
https://www.cdc.proec.unicamp.br/,23,Publicado em 10/04/2023
https://www.cdc.proec.unicamp.br/,24,EVENTO
https://www.cdc.proec.unicamp.br/,25,Publicado em 10/04/2023
https://www.cdc.proec.unicamp.br/,26,PROEC
https://www.cdc.proec.unicamp.br/,27,26/05/2023
https://www.cdc.proec.unicamp.br/,28,PROEC
https://www.cdc.proec.unicamp.br/,29,30/05/2023
https://www.cdc.proec.unicamp.br/,30,PROEC
https://www.cdc.proec.unicamp.br/,31,30/05/2023
https://www.cdc.proec.unicamp.br/,32,PROEC
https://www.cdc.proec.unicamp.br/,33,29/05/2023
https://www.cdc.proec.unicamp.br/,34,DESTAQUE
https://www.cdc.proec.unicamp.br/,35,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.
https://www.cdc.proec.unicamp.br/,36,#SomosPROEC
https://www.cdc.proec.unicamp.br/,37,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
https://www.cdc.proec.unicamp.br/,38,"Rua Elis Regina, 131
						Cidade Universitária “Zeferino Vaz”
						Barão Geraldo - Unicamp
						13083-854
						Campinas – SP"
https://www.cdc.proec.unicamp.br/,39,"Avenida Érico Veríssimo, 500
						Cidade Universitária “Zeferino Vaz”
						Barão Geraldo - Unicamp
						13083-851
						Campinas – SP"
https://www.cdc.proec.unicamp.br/,40,"› Espaço Cultural Casa do Lago
› CIS-Guanabara
› Ginásio Multidisciplinar
› Museu de Artes Visuais
› Museu Exploratório de Ciências
› Programa Fóruns Permanentes"
https://www.cdc.proec.unicamp.br/,41,© Pró-Reitoria de Extensão e Cultura.
https://www.cdc.proec.unicamp.br/,41,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
