URL,Paragraph,Sentence
https://www.cisguanabara.unicamp.br/,0,Unimed Campinas realiza primeira edição do programa Mude1Hábito
https://www.cisguanabara.unicamp.br/,1,Sobre o CIS-Guanabara
https://www.cisguanabara.unicamp.br/,2,Acontece
https://www.cisguanabara.unicamp.br/,3,Feira de Discos de Campinas
https://www.cisguanabara.unicamp.br/,4,K-Folia Carnaval
https://www.cisguanabara.unicamp.br/,5,32° Encontro do Urban Sketchers Campinas no CIS-Guanabara
https://www.cisguanabara.unicamp.br/,6,Pré-Carnaval no CIS-Guanabara
https://www.cisguanabara.unicamp.br/,7,Audiência pública discute financiamento da Extensão Universitária na Comissão de Educação da Câmara 
https://www.cisguanabara.unicamp.br/,8,Proec divulga classificação preliminar do edital de apoio para os Colégios Técnicos
https://www.cisguanabara.unicamp.br/,9,Primeiro Fórum Permanente da série dos 20 anos debate ciência aberta
https://www.cisguanabara.unicamp.br/,10,Domingo no Lago aborda temática do meio ambiente e traz Big Band da Unicamp
https://www.cisguanabara.unicamp.br/,11,ProEC Vídeos
https://www.cisguanabara.unicamp.br/,12,CIS Guanabara
https://www.cisguanabara.unicamp.br/,13,Localização
https://www.cisguanabara.unicamp.br/,14,Redes Sociais
https://www.cisguanabara.unicamp.br/,15,Evento em comemoração ao Dia Mundial da Saúde ocorre no dia 16 de abril a partir das 8h.
https://www.cisguanabara.unicamp.br/,16,"O CIS-GUANABARA é um Centro Cultural de Inclusão e Integração Social criado, vinculado e mantido pela Pró-Reitoria de Extensão e Cultura (PROEC) da Universidade estadual de Campinas (UNICAMP)."
https://www.cisguanabara.unicamp.br/,16,"Trata-se de um espaço público tombado como patrimônio histórico e cultural da cidade de Campinas, posto sob cuidados da Universidade."
https://www.cisguanabara.unicamp.br/,16,O CIS Guanabara é composto pelo conjunto arquitetônico recuperado da antiga Estação Guanabara.
https://www.cisguanabara.unicamp.br/,16,"O Espaço CIS-Guanabara destina-se a proporcionar adequadas condições de desenvolvimento de projetos de educação, cultura e lazer para o público da comunidade de Campinas e Região Metropolitana."
https://www.cisguanabara.unicamp.br/,17,A Diretoria de Cultura da Pró-Reitoria de Extensão e Cultura da Unicamp compreende a cultura como parte estruturante da sociedade.
https://www.cisguanabara.unicamp.br/,18,Fique por dentro de nossas atividades
https://www.cisguanabara.unicamp.br/,19,NOTÍCIA
https://www.cisguanabara.unicamp.br/,20,Publicado em 02/03/2023
https://www.cisguanabara.unicamp.br/,21,NOTÍCIA
https://www.cisguanabara.unicamp.br/,22,Publicado em 02/03/2023
https://www.cisguanabara.unicamp.br/,23,NOTÍCIA
https://www.cisguanabara.unicamp.br/,24,Publicado em 27/01/2023
https://www.cisguanabara.unicamp.br/,25,NOTÍCIA
https://www.cisguanabara.unicamp.br/,26,Publicado em 18/01/2023
https://www.cisguanabara.unicamp.br/,27,PROEC
https://www.cisguanabara.unicamp.br/,28,26/05/2023
https://www.cisguanabara.unicamp.br/,29,PROEC
https://www.cisguanabara.unicamp.br/,30,30/05/2023
https://www.cisguanabara.unicamp.br/,31,PROEC
https://www.cisguanabara.unicamp.br/,32,30/05/2023
https://www.cisguanabara.unicamp.br/,33,PROEC
https://www.cisguanabara.unicamp.br/,34,29/05/2023
https://www.cisguanabara.unicamp.br/,35,DESTAQUE
https://www.cisguanabara.unicamp.br/,36,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.
https://www.cisguanabara.unicamp.br/,37,#SomosPROEC
https://www.cisguanabara.unicamp.br/,38,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
https://www.cisguanabara.unicamp.br/,39,Centro Cultural Unicamp
https://www.cisguanabara.unicamp.br/,40,Marcelo F.
https://www.cisguanabara.unicamp.br/,40,Rocco (Diretor)
https://www.cisguanabara.unicamp.br/,41,+55 19 3521 6853 / 3521 6859
https://www.cisguanabara.unicamp.br/,42,cis@unicamp.br
https://www.cisguanabara.unicamp.br/,43,"Rua Mário Siqueira, 829
						Botafogo
						13020-210
						Campinas–SP
						Brasil"
https://www.cisguanabara.unicamp.br/,44,© Pró-Reitoria de Extensão e Cultura.
https://www.cisguanabara.unicamp.br/,44,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
