URL,Paragraph,Sentence
https://www.concult.proec.unicamp.br/,0,Sobre o ConCult
https://www.concult.proec.unicamp.br/,1,Audiência pública discute financiamento da Extensão Universitária na Comissão de Educação da Câmara 
https://www.concult.proec.unicamp.br/,2,Proec divulga classificação preliminar do edital de apoio para os Colégios Técnicos
https://www.concult.proec.unicamp.br/,3,Primeiro Fórum Permanente da série dos 20 anos debate ciência aberta
https://www.concult.proec.unicamp.br/,4,Domingo no Lago aborda temática do meio ambiente e traz Big Band da Unicamp
https://www.concult.proec.unicamp.br/,5,ProEC Vídeos
https://www.concult.proec.unicamp.br/,6,Conselho de Cultura
https://www.concult.proec.unicamp.br/,7,Localização
https://www.concult.proec.unicamp.br/,8,Conheça a ProEC
https://www.concult.proec.unicamp.br/,9,"O Conselho de Cultura – CONCULT da Unicamp, criado pela Deliberação CONSU-A-017/2019, está subordinado a Pró Reitoria de Extensão e Cultura (ProEC) e tem como objetivos:"
https://www.concult.proec.unicamp.br/,10,"I – Propor a política cultural para a Unicamp, no âmbito das atividades da Pró Reitoria de Extensão e Cultura;"
https://www.concult.proec.unicamp.br/,11,"II – Orientar a execução das políticas definidas, tendo em vista a coordenação de iniciativas e de esforços de responsabilidade da Universidade no campo da cultura, tanto no que se refere à comunidade universitária quanto à sociedade com a qual a Universidade se relaciona."
https://www.concult.proec.unicamp.br/,12,A Pró-Reitoria de Extensão e Cultura tem como missão coordenar e estimular atividades e projetos de Extensão e Cultura.
https://www.concult.proec.unicamp.br/,13,PROEC
https://www.concult.proec.unicamp.br/,14,26/05/2023
https://www.concult.proec.unicamp.br/,15,PROEC
https://www.concult.proec.unicamp.br/,16,30/05/2023
https://www.concult.proec.unicamp.br/,17,PROEC
https://www.concult.proec.unicamp.br/,18,30/05/2023
https://www.concult.proec.unicamp.br/,19,PROEC
https://www.concult.proec.unicamp.br/,20,29/05/2023
https://www.concult.proec.unicamp.br/,21,DESTAQUE
https://www.concult.proec.unicamp.br/,22,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.
https://www.concult.proec.unicamp.br/,23,#SomosPROEC
https://www.concult.proec.unicamp.br/,24,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
https://www.concult.proec.unicamp.br/,25,Presidente
https://www.concult.proec.unicamp.br/,26,Prof.
https://www.concult.proec.unicamp.br/,26,Dr.
https://www.concult.proec.unicamp.br/,26,Fernando Augusto de Almeida Hashimoto
https://www.concult.proec.unicamp.br/,27,"+55 19 3521-4741
						+55 19 3521-4902"
https://www.concult.proec.unicamp.br/,28,proec@unicamp.br
https://www.concult.proec.unicamp.br/,29,"
						Rua da Reitoria, 121
						Cidade Universitária “Zeferino Vaz”
						Barão Geraldo - Unicamp
						13083-872
						Campinas – SP"
https://www.concult.proec.unicamp.br/,30,"
						Na Unicamp, a Pró Reitoria de Extensão e Cultura tem como missão coordenar e estimular atividades e projetos de Extensão e Cultura que, por meio do diálogo e da interatividade, tenham aplicação contínua em comunidades não somente da Região Metropolitana de Campinas (RMC), mas também de vários lugares do Brasil e de outros países."
https://www.concult.proec.unicamp.br/,30,
https://www.concult.proec.unicamp.br/,31,© Pró-Reitoria de Extensão e Cultura.
https://www.concult.proec.unicamp.br/,31,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
