URL,Paragraph,Sentence
https://www.conext.proec.unicamp.br/,0,Sobre o Conext
https://www.conext.proec.unicamp.br/,1,Audiência pública discute financiamento da Extensão Universitária na Comissão de Educação da Câmara 
https://www.conext.proec.unicamp.br/,2,Proec divulga classificação preliminar do edital de apoio para os Colégios Técnicos
https://www.conext.proec.unicamp.br/,3,Primeiro Fórum Permanente da série dos 20 anos debate ciência aberta
https://www.conext.proec.unicamp.br/,4,Domingo no Lago aborda temática do meio ambiente e traz Big Band da Unicamp
https://www.conext.proec.unicamp.br/,5,ProEC Vídeos
https://www.conext.proec.unicamp.br/,6,Conselho Executivo de Extensão
https://www.conext.proec.unicamp.br/,7,Localização
https://www.conext.proec.unicamp.br/,8,Conheça a ProEC
https://www.conext.proec.unicamp.br/,9,As ações de extensão universitária são concebidas como prática acadêmica que integra o ensino e a pesquisa de forma indissociável e viabiliza a relação transformadora entre a Universidade e a sociedade.
https://www.conext.proec.unicamp.br/,10,"Criado através da Deliberação CEPE-A-15/2020, o Conselho Executivo de Extensão (CONEXT), tem competência para manifestar-se sobre os assuntos que envolvam as atividades de Extensão Universitária."
https://www.conext.proec.unicamp.br/,11,A Pró-Reitoria de Extensão e Cultura tem como missão coordenar e estimular atividades e projetos de Extensão e Cultura.
https://www.conext.proec.unicamp.br/,12,PROEC
https://www.conext.proec.unicamp.br/,13,26/05/2023
https://www.conext.proec.unicamp.br/,14,PROEC
https://www.conext.proec.unicamp.br/,15,30/05/2023
https://www.conext.proec.unicamp.br/,16,PROEC
https://www.conext.proec.unicamp.br/,17,30/05/2023
https://www.conext.proec.unicamp.br/,18,PROEC
https://www.conext.proec.unicamp.br/,19,29/05/2023
https://www.conext.proec.unicamp.br/,20,DESTAQUE
https://www.conext.proec.unicamp.br/,21,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.
https://www.conext.proec.unicamp.br/,22,#SomosPROEC
https://www.conext.proec.unicamp.br/,23,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
https://www.conext.proec.unicamp.br/,24,Presidente
https://www.conext.proec.unicamp.br/,25,Prof.
https://www.conext.proec.unicamp.br/,25,Dr.
https://www.conext.proec.unicamp.br/,25,Fernando Augusto de Almeida Hashimoto
https://www.conext.proec.unicamp.br/,26,"+55 19 3521-4741
						+55 19 3521-4902"
https://www.conext.proec.unicamp.br/,27,"
						Rua da Reitoria, 121
						Cidade Universitária “Zeferino Vaz”
						Barão Geraldo - Unicamp
						13083-872
						Campinas – SP"
https://www.conext.proec.unicamp.br/,28,"
						Na Unicamp, a Pró Reitoria de Extensão e Cultura tem como missão coordenar e estimular atividades e projetos de Extensão e Cultura que, por meio do diálogo e da interatividade, tenham aplicação contínua em comunidades não somente da Região Metropolitana de Campinas (RMC), mas também de vários lugares do Brasil e de outros países."
https://www.conext.proec.unicamp.br/,28,
https://www.conext.proec.unicamp.br/,29,© Pró-Reitoria de Extensão e Cultura.
https://www.conext.proec.unicamp.br/,29,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
