URL,Paragraph,Sentence
https://www.dcom.proec.unicamp.br/,0,Pesquisadores do BRAINN recebem financiamento da Chan Zuckerberg Initiative
https://www.dcom.proec.unicamp.br/,1,"""Por quais rios temos navegado?"
https://www.dcom.proec.unicamp.br/,1,"Travessias para o convívio na Unicamp"""
https://www.dcom.proec.unicamp.br/,2,Sobre
https://www.dcom.proec.unicamp.br/,3,Acontece
https://www.dcom.proec.unicamp.br/,4,Orientações à comunidade universitária diante do aumento do número de casos de Covid-19
https://www.dcom.proec.unicamp.br/,5,Pesquisadores mapeiam avanços na criação de plantas mais resistentes à crise climática
https://www.dcom.proec.unicamp.br/,6,Força-Tarefa Unicamp realiza testagem em população de rua no município de São Paulo
https://www.dcom.proec.unicamp.br/,7,Aplicativo para Vigilância em Saúde da Unicamp - EducaSaúde
https://www.dcom.proec.unicamp.br/,8,Audiência pública discute financiamento da Extensão Universitária na Comissão de Educação da Câmara 
https://www.dcom.proec.unicamp.br/,9,Proec divulga classificação preliminar do edital de apoio para os Colégios Técnicos
https://www.dcom.proec.unicamp.br/,10,Primeiro Fórum Permanente da série dos 20 anos debate ciência aberta
https://www.dcom.proec.unicamp.br/,11,Domingo no Lago aborda temática do meio ambiente e traz Big Band da Unicamp
https://www.dcom.proec.unicamp.br/,12,ProEC Vídeos
https://www.dcom.proec.unicamp.br/,13,Diretoria de Comunicação
https://www.dcom.proec.unicamp.br/,14,Localização
https://www.dcom.proec.unicamp.br/,15,Conheça a ProEC
https://www.dcom.proec.unicamp.br/,16,⠀⠀⠀⠀⠀⠀
https://www.dcom.proec.unicamp.br/,17,⠀⠀⠀⠀⠀⠀
https://www.dcom.proec.unicamp.br/,18,"A área de Comunicação da ProEC tem como papel principal minimizar a distância entre a Universidade e as comunidades interna e externa da Unicamp, a partir da produção e divulgação de textos e conteúdo audiovisual."
https://www.dcom.proec.unicamp.br/,18,"Entre suas atribuições, está o desenvolvimento de estratégias para disseminar não somente atividades e realizações dos órgãos da Proec, mas também a difusão ampla de projetos de extensão e cultura desenvolvidos por alunos, professores e funcionários da Universidade Estadual de Campinas em todos os setores sociais, inclusive na grande imprensa e nos veículos de comunicação da Unicamp."
https://www.dcom.proec.unicamp.br/,19,Fique por dentro de nossas atividades
https://www.dcom.proec.unicamp.br/,20,NOTÍCIA
https://www.dcom.proec.unicamp.br/,21,Publicado em 02/02/2022
https://www.dcom.proec.unicamp.br/,22,NOTÍCIA
https://www.dcom.proec.unicamp.br/,23,Publicado em 04/11/2021
https://www.dcom.proec.unicamp.br/,24,NOTÍCIA
https://www.dcom.proec.unicamp.br/,25,Publicado em 26/10/2021
https://www.dcom.proec.unicamp.br/,26,NOTÍCIA
https://www.dcom.proec.unicamp.br/,27,Publicado em 29/09/2021
https://www.dcom.proec.unicamp.br/,28,PROEC
https://www.dcom.proec.unicamp.br/,29,26/05/2023
https://www.dcom.proec.unicamp.br/,30,PROEC
https://www.dcom.proec.unicamp.br/,31,30/05/2023
https://www.dcom.proec.unicamp.br/,32,PROEC
https://www.dcom.proec.unicamp.br/,33,30/05/2023
https://www.dcom.proec.unicamp.br/,34,PROEC
https://www.dcom.proec.unicamp.br/,35,29/05/2023
https://www.dcom.proec.unicamp.br/,36,DESTAQUE
https://www.dcom.proec.unicamp.br/,37,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.
https://www.dcom.proec.unicamp.br/,38,#SomosPROEC
https://www.dcom.proec.unicamp.br/,39,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
https://www.dcom.proec.unicamp.br/,40,Diretora de Comunicação
https://www.dcom.proec.unicamp.br/,41,Marilisa de Melo Freire Rossilho
https://www.dcom.proec.unicamp.br/,42,Pró-Reitor de Extensão e Cultura
https://www.dcom.proec.unicamp.br/,43,Prof.
https://www.dcom.proec.unicamp.br/,43,Dr.
https://www.dcom.proec.unicamp.br/,43,Fernando Augusto de Almeida Hashimoto
https://www.dcom.proec.unicamp.br/,44,+55 19 3521-6739
https://www.dcom.proec.unicamp.br/,45,"
						Rua da Reitoria, 121
						Cidade Universitária “Zeferino Vaz”
						Barão Geraldo - Unicamp
						13083-872
						Campinas – SP"
https://www.dcom.proec.unicamp.br/,46,"
						Na Unicamp, a Pró Reitoria de Extensão e Cultura tem como missão coordenar e estimular atividades e projetos de Extensão e Cultura que, por meio do diálogo e da interatividade, tenham aplicação contínua em comunidades não somente da Região Metropolitana de Campinas (RMC), mas também de vários lugares do Brasil e de outros países."
https://www.dcom.proec.unicamp.br/,46,
https://www.dcom.proec.unicamp.br/,47,© Pró-Reitoria de Extensão e Cultura.
https://www.dcom.proec.unicamp.br/,47,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
