URL,Paragraph,Sentence
https://www.dcult.proec.unicamp.br/,0,FORCULT lança Programa Corredor Cultural Nacional e divulga edital para concurso de fotografia.
https://www.dcult.proec.unicamp.br/,1,Sobre a DCult
https://www.dcult.proec.unicamp.br/,2,Acontece
https://www.dcult.proec.unicamp.br/,3,América Latina debate extensão e cultura universitárias na Unicamp
https://www.dcult.proec.unicamp.br/,4,Seminário de Extensão e Cultura: Casa dos Saberes Ancestrais
https://www.dcult.proec.unicamp.br/,5,Seminário de Extensão e Cultura: Casas dos Saberes Ancestrais
https://www.dcult.proec.unicamp.br/,6,Vozes Negras na Filosofia da Unicamp
https://www.dcult.proec.unicamp.br/,7,Audiência pública discute financiamento da Extensão Universitária na Comissão de Educação da Câmara 
https://www.dcult.proec.unicamp.br/,8,Proec divulga classificação preliminar do edital de apoio para os Colégios Técnicos
https://www.dcult.proec.unicamp.br/,9,Primeiro Fórum Permanente da série dos 20 anos debate ciência aberta
https://www.dcult.proec.unicamp.br/,10,Domingo no Lago aborda temática do meio ambiente e traz Big Band da Unicamp
https://www.dcult.proec.unicamp.br/,11,ProEC Vídeos
https://www.dcult.proec.unicamp.br/,12,Diretoria de Cultura
https://www.dcult.proec.unicamp.br/,13,Localização
https://www.dcult.proec.unicamp.br/,14,Órgãos
https://www.dcult.proec.unicamp.br/,15,"Temática do concurso é o Patrimônio Cultural Brasileiro, e inscrições acontecem até o dia 17 de julho"
https://www.dcult.proec.unicamp.br/,16,"A Diretoria de Cultura da Pró-Reitoria de Extensão e Cultura da Unicamp compreende a cultura como parte estruturante da sociedade e, por essa razão, o ambiente acadêmico deve garantir os direitos culturais constitucionais, associados aos demais direitos cidadãos, propiciando a presença de todas as formas de manifestação; a participação ampla de todos os segmentos, independentemente de gênero, raça, etnia, orientação sexual, condição socioeconômica, formação; a participação irrestrita de todas as áreas de conhecimento e a garantia de condições de adaptação e de acessibilidade universal."
https://www.dcult.proec.unicamp.br/,17,Os Fóruns Permanentes foram criados com o objetivo de promover a aproximação entre pensamento acadêmico e sociedade.
https://www.dcult.proec.unicamp.br/,18,Fique por dentro de nossas atividades
https://www.dcult.proec.unicamp.br/,19,NOTÍCIA
https://www.dcult.proec.unicamp.br/,20,Publicado em 22/05/2023
https://www.dcult.proec.unicamp.br/,21,NOTÍCIA
https://www.dcult.proec.unicamp.br/,22,Publicado em 10/05/2023
https://www.dcult.proec.unicamp.br/,23,NOTÍCIA
https://www.dcult.proec.unicamp.br/,24,Publicado em 05/05/2023
https://www.dcult.proec.unicamp.br/,25,NOTÍCIA
https://www.dcult.proec.unicamp.br/,26,Publicado em 20/04/2023
https://www.dcult.proec.unicamp.br/,27,PROEC
https://www.dcult.proec.unicamp.br/,28,26/05/2023
https://www.dcult.proec.unicamp.br/,29,PROEC
https://www.dcult.proec.unicamp.br/,30,30/05/2023
https://www.dcult.proec.unicamp.br/,31,PROEC
https://www.dcult.proec.unicamp.br/,32,30/05/2023
https://www.dcult.proec.unicamp.br/,33,PROEC
https://www.dcult.proec.unicamp.br/,34,29/05/2023
https://www.dcult.proec.unicamp.br/,35,DESTAQUE
https://www.dcult.proec.unicamp.br/,36,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.
https://www.dcult.proec.unicamp.br/,37,#SomosPROEC
https://www.dcult.proec.unicamp.br/,38,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
https://www.dcult.proec.unicamp.br/,39,Diretor Executivo da Diretoria de Cultura
https://www.dcult.proec.unicamp.br/,40,Prof.
https://www.dcult.proec.unicamp.br/,40,Dr.
https://www.dcult.proec.unicamp.br/,40,Cacá Machado
https://www.dcult.proec.unicamp.br/,41,+55 19 3521-1740
https://www.dcult.proec.unicamp.br/,42,dcult@unicamp.br
https://www.dcult.proec.unicamp.br/,43,"Rua Elis Regina, 131
                        Barão Geraldo - Unicamp
                        Cidade Universitária ""Zeferino Vaz""
                        13083-854
                        Campinas–SP"
https://www.dcult.proec.unicamp.br/,44,"› Centro de Convenções
› Espaço Cultural Casa do Lago
› CIS-Guanabara
› Ginásio Multidisciplinar
› Museu de Artes Visuais
› Museu Exploratório de Ciências
"
https://www.dcult.proec.unicamp.br/,45,© Pró-Reitoria de Extensão e Cultura.
https://www.dcult.proec.unicamp.br/,45,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
