URL,Paragraph,Sentence
https://www.dcult.proec.unicamp.br/gmu,0,Ginásio Multidisciplinar
https://www.dcult.proec.unicamp.br/gmu,1,Sobre o GMU
https://www.dcult.proec.unicamp.br/gmu,2,Contato
https://www.dcult.proec.unicamp.br/gmu,3,Conselho Gestor do Ginásio Multidisciplinar da Unicamp - GMU
https://www.dcult.proec.unicamp.br/gmu,4,"O Ginásio Multidisciplinar da UNICAMP – GMU, abriga diversos eventos esportivos."
https://www.dcult.proec.unicamp.br/gmu,4,Sua infraestrutura tem disposição técnica para rede informatizada e permite conexão sem fio com a internet.
https://www.dcult.proec.unicamp.br/gmu,5,"Nas diversas áreas das arquibancadas a capacidade oficial ultrapassa 3.000 lugares, complementada por outras pequenas áreas para o público, além de 250 lugares nas Tribunas de Honra."
https://www.dcult.proec.unicamp.br/gmu,6,"Ainda dispomos de duas Salas de Apoio de aproximadamente 33 m² cada, áreas de circulação e Camarins."
https://www.dcult.proec.unicamp.br/gmu,6,"Temos conjuntos de sanitários masculino, feminino, familiar e para pessoas com deficiência, além do Ambulatório do Serviço de Atendimento Móvel de Urgência – SAMU."
https://www.dcult.proec.unicamp.br/gmu,7,"resergmu@unicamp.br
            +55 (19) 3521-0037"
https://www.dcult.proec.unicamp.br/gmu,8,© Pró-Reitoria de Extensão e Cultura.
https://www.dcult.proec.unicamp.br/gmu,8,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
