URL,Paragraph,Sentence
https://www.dproj.proec.unicamp.br/curricularizacao_da_extensao,0,Curricularização da Extensão
https://www.dproj.proec.unicamp.br/curricularizacao_da_extensao,1,Fique por dentro dos editais
https://www.dproj.proec.unicamp.br/curricularizacao_da_extensao,2,Resultado Preliminar
https://www.dproj.proec.unicamp.br/curricularizacao_da_extensao,3,Conforme item 5.3.5.
https://www.dproj.proec.unicamp.br/curricularizacao_da_extensao,3,"do Edital de Curricularização da Extensão: Segue abaixo Resultado final após o período de interposição  de recursos,  conforme o seguinte cronograma:"
https://www.dproj.proec.unicamp.br/curricularizacao_da_extensao,4,Resultado Final
https://www.dproj.proec.unicamp.br/curricularizacao_da_extensao,5,Conforme item 5.3.4.
https://www.dproj.proec.unicamp.br/curricularizacao_da_extensao,5,"do Edital de Curricularização da Extensão: O Coordenador da proposta terá o prazo de 7 dias para a interposição de recursos, via e-mail (dprojext@unicamp.br), conforme o seguinte cronograma:"
https://www.dproj.proec.unicamp.br/curricularizacao_da_extensao,6,
https://www.dproj.proec.unicamp.br/curricularizacao_da_extensao,7,O objetivo do Edital:
https://www.dproj.proec.unicamp.br/curricularizacao_da_extensao,8,Divulgação do Edital
https://www.dproj.proec.unicamp.br/curricularizacao_da_extensao,9,O Edital será divulgado anualmente em meados de setembro a outubro.
https://www.dproj.proec.unicamp.br/curricularizacao_da_extensao,10,Como participar
https://www.dproj.proec.unicamp.br/curricularizacao_da_extensao,11,"Somente poderão apresentar proposta, nos termos deste edital, constando como responsáveis docentes ou pesquisadores do quadro da UNICAMP, credenciados a ministrar disciplinas de graduação."
https://www.dproj.proec.unicamp.br/curricularizacao_da_extensao,11,Os responsáveis não poderão estar em débito com a apresentação da prestação de contas referente a projetos financiados por editais PROEC-PEX (Relatório Técnico Final e/ou Relatório Financeiro).
https://www.dproj.proec.unicamp.br/curricularizacao_da_extensao,12,"O projeto deve contar, obrigatoriamente, com a participação de alunos regulares de graduação da UNICAMP."
https://www.dproj.proec.unicamp.br/curricularizacao_da_extensao,13,O Coordenador da proposta deverá submeter o projeto através de formulário online específico para recebimento de propostas deste Edital.
https://www.dproj.proec.unicamp.br/curricularizacao_da_extensao,13,"Docente ou pesquisador poderá participar de quantas equipes desejarem, porém, poderá coordenar somente uma proposta."
https://www.dproj.proec.unicamp.br/curricularizacao_da_extensao,14,© Pró-Reitoria de Extensão e Cultura.
https://www.dproj.proec.unicamp.br/curricularizacao_da_extensao,14,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
