URL,Paragraph,Sentence
https://www.dproj.proec.unicamp.br/editais_e_bolsa,0,Bolsa de Extensão
https://www.dproj.proec.unicamp.br/editais_e_bolsa,1,NORMA PROEC Nº 02/2019
https://www.dproj.proec.unicamp.br/editais_e_bolsa,2,→ NORMA PROEC Nº 02/2019
https://www.dproj.proec.unicamp.br/editais_e_bolsa,3,→ DÚVIDAS FREQUENTES SOBRE O PROGRAMA DE BOLSAS DE EXTENSÃO DA PROEC
https://www.dproj.proec.unicamp.br/editais_e_bolsa,4,→ INSCRIÇÕES PARA AS BOLSAS DE EXTENSÃO (NOVAS E RENOVAÇÕES)
https://www.dproj.proec.unicamp.br/editais_e_bolsa,5,→ RELATÓRIO PARCIAL DE ATIVIDADES DO BOLSISTA
https://www.dproj.proec.unicamp.br/editais_e_bolsa,6,→ RELATÓRIO FINAL DE ATIVIDADES DO BOLSISTA
https://www.dproj.proec.unicamp.br/editais_e_bolsa,7,→ RELATÓRIO DE AVALIAÇÃO DO BOLSISTA DE EXTENSÃO
https://www.dproj.proec.unicamp.br/editais_e_bolsa,8,"Regulamenta os procedimentos relacionados ao Programa de Bolsas de Extensão criado pela Deliberação CONSU-A-007/2019, de 26/03/2019 que tem por objetivo apoiar Atividades de Extensão Universitária da Unicamp como forma de complementar e contribuir com a formação de estudantes e a qualificação da pesquisa dessa Universidade."
https://www.dproj.proec.unicamp.br/editais_e_bolsa,9,Encontram-se abertas as inscrições para as bolsas de extensão PROEC.
https://www.dproj.proec.unicamp.br/editais_e_bolsa,9,"Segundo Norma Proec 02/2019, a seleção é feita pelas Submissões Temáticas do Conselho de Extensão (CONEXT)."
https://www.dproj.proec.unicamp.br/editais_e_bolsa,10,"Os pedidos de bolsa devem ser submetidos para avaliação, por meio do link disponível acima, sendo que serão consideradas para as reuniões as solicitações enviadas segundo o cronograma a seguir."
https://www.dproj.proec.unicamp.br/editais_e_bolsa,11,"Regulamenta os procedimentos relacionados ao Programa de Bolsas de Extensão criado pela Deliberação CONSU-A-007/2019, de 26/03/2019 que tem por objetivo apoiar Atividades de Extensão Universitária da Unicamp como forma de complementar e contribuir com a formação de estudantes e a qualificação da pesquisa dessa Universidade."
https://www.dproj.proec.unicamp.br/editais_e_bolsa,12,© Pró-Reitoria de Extensão e Cultura.
https://www.dproj.proec.unicamp.br/editais_e_bolsa,12,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
