URL,Paragraph,Sentence
https://www.extecamp.unicamp.br/,0,Agora na Extecamp 169 cursos com inscrições abertas.
https://www.extecamp.unicamp.br/,1,Faça um curso de extensão.
https://www.extecamp.unicamp.br/,1,Amplie suas possibilidades.
https://www.extecamp.unicamp.br/,1,Vamos lá?
https://www.extecamp.unicamp.br/,2,18 cursos com 360h ou mais para você escolher.
https://www.extecamp.unicamp.br/,3,"

 Modalidade Extensão universitária."
https://www.extecamp.unicamp.br/,3,Clique e saiba mais.
https://www.extecamp.unicamp.br/,3,
https://www.extecamp.unicamp.br/,4,Inscreva-se já.
https://www.extecamp.unicamp.br/,5,Cursos em Destaque
https://www.extecamp.unicamp.br/,6,GESTÃO ESTRATÉGICA DA QUALIDADE - ÊNFASE EM QUALIDADE 4.0
https://www.extecamp.unicamp.br/,7,PLANEJAMENTO DE EXPERIMENTOS PARA OTIMIZAÇÃO DE PROCESSOS E PRODUTOS: APLICAÇÃO NA INDÚSTRIA E NA PESQUISA
https://www.extecamp.unicamp.br/,8,USO DO MINITAB PARA MELHORIA DE PROCESSOS
https://www.extecamp.unicamp.br/,9,MARKETING ORGANIZACIONAL
https://www.extecamp.unicamp.br/,10,GESTÃO E ESTRATÉGIA DE EMPRESAS
https://www.extecamp.unicamp.br/,11,FINANÇAS CORPORATIVAS
https://www.extecamp.unicamp.br/,12,DIREITO E ECONOMIA
https://www.extecamp.unicamp.br/,13,CONTROLADORIA E FINANÇAS
https://www.extecamp.unicamp.br/,14,BIOPRODUTOS & BIOPROCESSOS
https://www.extecamp.unicamp.br/,15,ERGONOMIA
https://www.extecamp.unicamp.br/,16,GESTÃO DE PROCESSOS INDUSTRIAIS: CONFIABILIDADE E SEGURANÇA DE PROCESSOS
https://www.extecamp.unicamp.br/,17,GESTÃO ESTRATÉGICA DA PRODUÇÃO
https://www.extecamp.unicamp.br/,18,Notícias
https://www.extecamp.unicamp.br/,19,Os 6 principais benefícios em fazer cursos de extensão
https://www.extecamp.unicamp.br/,20,Decreto do governo garante isenção fiscal para semicondutores e inclui energia solar em benefício
https://www.extecamp.unicamp.br/,21,Automação e Controle de Processos Industriais e Agroindustriais
https://www.extecamp.unicamp.br/,22,Adesão ao Consórcio de Parceiros do Coursera
https://www.extecamp.unicamp.br/,23,Banco de Talentos
https://www.extecamp.unicamp.br/,24,A Extecamp
