URL,Paragraph,Sentence
https://www.foruns.unicamp.br/,0,FP: Alerta Precoce para a Redução de Risco de Desastres: Um olhar para a Região de Campinas
https://www.foruns.unicamp.br/,1,Fórum Permanente: Por uma justiça epistêmica
https://www.foruns.unicamp.br/,2,Sobre os Fóruns
https://www.foruns.unicamp.br/,3,Acontece
https://www.foruns.unicamp.br/,4,Fórum Permanente: Desafios da ciência aberta e sua descentralização
https://www.foruns.unicamp.br/,5,Calendário dos Fóruns 2023
https://www.foruns.unicamp.br/,6,Propostas de Fóruns Permanentes Contempladas em 2023
https://www.foruns.unicamp.br/,7,Fóruns Permanentes completam vinte anos de existência:
https://www.foruns.unicamp.br/,8,Audiência pública discute financiamento da Extensão Universitária na Comissão de Educação da Câmara 
https://www.foruns.unicamp.br/,9,Proec divulga classificação preliminar do edital de apoio para os Colégios Técnicos
https://www.foruns.unicamp.br/,10,Primeiro Fórum Permanente da série dos 20 anos debate ciência aberta
https://www.foruns.unicamp.br/,11,Domingo no Lago aborda temática do meio ambiente e traz Big Band da Unicamp
https://www.foruns.unicamp.br/,12,ProEC Vídeos
https://www.foruns.unicamp.br/,13,Fóruns Permanentes
https://www.foruns.unicamp.br/,14,Localização
https://www.foruns.unicamp.br/,15,Redes Sociais
https://www.foruns.unicamp.br/,16,Fórum Permanente: Alerta Precoce para a Redução de Risco de Desastres: Um olhar para a Região Metropolitana de Campinas.
https://www.foruns.unicamp.br/,16,
https://www.foruns.unicamp.br/,17,Fórum Permanente: Por uma justiça epistêmica: Encontro de Saberes e outras propostas para descolonização dos currículos.
https://www.foruns.unicamp.br/,17,
https://www.foruns.unicamp.br/,18,"Os Fóruns Permanentes da Unicamp, criados com o objetivo de promover a aproximação entre pensamento acadêmico e sociedade, completam, em 2022, dezenove anos de realização."
https://www.foruns.unicamp.br/,19,"Em 2017, o Programa passou a fazer parte da estrutura da Diretoria de Cultura da Pró-Reitoria de Extensão e Cultura."
https://www.foruns.unicamp.br/,19,Atualmente os Fóruns Permanentes estão ligados diretamente ao Gabinete da Pró-Reitoria de Extensão e Cultura (ProEC).
https://www.foruns.unicamp.br/,20,"A proposta central para a realização de fóruns no ambiente acadêmico é colocar em debate temas atuais e relevantes para a sociedade, buscando possibilidades de transformação."
https://www.foruns.unicamp.br/,20,"Trazer para a discussão especialistas e representantes de instituições, órgãos, associações e outros grupos envolvidos com as temáticas, sejam de áreas públicas, privadas ou da sociedade civil, para que se fortaleça o diálogo entre a pesquisa, o ensino e a sociedade, diálogo esse mediado pela cultura e pela extensão."
https://www.foruns.unicamp.br/,21,Fique por dentro de nossas atividades
https://www.foruns.unicamp.br/,22,EVENTO
https://www.foruns.unicamp.br/,23,Publicado em 24/04/2023
https://www.foruns.unicamp.br/,24,NOTÍCIA
https://www.foruns.unicamp.br/,25,Publicado em 30/03/2023
https://www.foruns.unicamp.br/,26,NOTÍCIA
https://www.foruns.unicamp.br/,27,Publicado em 20/03/2023
https://www.foruns.unicamp.br/,28,NOTÍCIA
https://www.foruns.unicamp.br/,29,Publicado em 26/01/2023
https://www.foruns.unicamp.br/,30,PROEC
https://www.foruns.unicamp.br/,31,26/05/2023
https://www.foruns.unicamp.br/,32,PROEC
https://www.foruns.unicamp.br/,33,30/05/2023
https://www.foruns.unicamp.br/,34,PROEC
https://www.foruns.unicamp.br/,35,30/05/2023
https://www.foruns.unicamp.br/,36,PROEC
https://www.foruns.unicamp.br/,37,29/05/2023
https://www.foruns.unicamp.br/,38,DESTAQUE
https://www.foruns.unicamp.br/,39,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.
https://www.foruns.unicamp.br/,40,#SomosPROEC
https://www.foruns.unicamp.br/,41,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
https://www.foruns.unicamp.br/,42,Programa Fóruns Permanentes
https://www.foruns.unicamp.br/,43,Sônia Maria de Camargo Mazzariol
https://www.foruns.unicamp.br/,44,Estagiário de Administração
https://www.foruns.unicamp.br/,45,Leonardo Reina Fernandes
https://www.foruns.unicamp.br/,46,Estagiária de Relações Públicas
https://www.foruns.unicamp.br/,47,Nicole Alves de Ávila
https://www.foruns.unicamp.br/,48,Pró-Reitor de Extensão e Cultura
https://www.foruns.unicamp.br/,49,Fernando Antônio Santos Coelho
https://www.foruns.unicamp.br/,50,"+55 (19) 3521 5039

						foruns@unicamp.br"
https://www.foruns.unicamp.br/,51,"Rua Sergio Buarque de Holanda, 251
						Prédio do Ciclo Básico II - DLIE - Piso 2
						Sala SI-12 - DLIE
						Cidade Universitária ""Zeferino Vaz""
						13083-859
						UNICAMP
						Campinas–SP"
https://www.foruns.unicamp.br/,52,© Pró-Reitoria de Extensão e Cultura.
https://www.foruns.unicamp.br/,52,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
