URL,Paragraph,Sentence
https://www.itcp.unicamp.br/,0,Oportunidade para bolsistas SAE
https://www.itcp.unicamp.br/,1,Edital Estágio 2023 ITCP/UNICAMP
https://www.itcp.unicamp.br/,2,Sobre
https://www.itcp.unicamp.br/,3,Audiência pública discute financiamento da Extensão Universitária na Comissão de Educação da Câmara 
https://www.itcp.unicamp.br/,4,Proec divulga classificação preliminar do edital de apoio para os Colégios Técnicos
https://www.itcp.unicamp.br/,5,Primeiro Fórum Permanente da série dos 20 anos debate ciência aberta
https://www.itcp.unicamp.br/,6,Domingo no Lago aborda temática do meio ambiente e traz Big Band da Unicamp
https://www.itcp.unicamp.br/,7,ProEC Vídeos
https://www.itcp.unicamp.br/,8,ITCP
https://www.itcp.unicamp.br/,9,Localização
https://www.itcp.unicamp.br/,10,Conheça a ProEC
https://www.itcp.unicamp.br/,11,Temos vagas para bolsistas SAE.
https://www.itcp.unicamp.br/,11,Escreva para itcp@itcp.unicamp.br
https://www.itcp.unicamp.br/,12,Processo Seletivo para o Estágio na Incubadora Tecnológica de Cooperativas Populares da Unicamp (ITCP/Unicamp)
https://www.itcp.unicamp.br/,13,"A Incubadora Tecnológica de Cooperativas Populares (ITCP/Unicamp) é um programa de Extensão da Unicamp, criado junto à Pró-Reitoria de Extensão em 2001, de acordo com a Resolução nº 86 do Gabinete do Reitor (GR-86/2001)."
https://www.itcp.unicamp.br/,13,"A ITCP desenvolve ações de Educação Popular a partir da formação e apoio a grupos populares autogestionários como cooperativas populares, associações e grupos informais."
https://www.itcp.unicamp.br/,14,PROEC
https://www.itcp.unicamp.br/,15,26/05/2023
https://www.itcp.unicamp.br/,16,PROEC
https://www.itcp.unicamp.br/,17,30/05/2023
https://www.itcp.unicamp.br/,18,PROEC
https://www.itcp.unicamp.br/,19,30/05/2023
https://www.itcp.unicamp.br/,20,PROEC
https://www.itcp.unicamp.br/,21,29/05/2023
https://www.itcp.unicamp.br/,22,DESTAQUE
https://www.itcp.unicamp.br/,23,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.
https://www.itcp.unicamp.br/,24,#SomosPROEC
https://www.itcp.unicamp.br/,25,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
https://www.itcp.unicamp.br/,26,Incubadora Tecnológica de Cooperativas Populares
https://www.itcp.unicamp.br/,27,itcp@itcp.unicamp.br
https://www.itcp.unicamp.br/,28,+55 19 3521-5212
https://www.itcp.unicamp.br/,29,"
						ITCP/Unicamp
						Diretoria de Projetos de Extensão
						Av."
https://www.itcp.unicamp.br/,29,"Érico Veríssimo, 800
						13083-851
						Cidade Universitária
						Barão Geraldo
						Campinas – SP"
https://www.itcp.unicamp.br/,30,"
						Na Unicamp, a Pró Reitoria de Extensão e Cultura tem como missão coordenar e estimular atividades e projetos de Extensão e Cultura que, por meio do diálogo e da interatividade, tenham aplicação contínua em comunidades não somente da Região Metropolitana de Campinas (RMC), mas também de vários lugares do Brasil e de outros países."
https://www.itcp.unicamp.br/,30,
https://www.itcp.unicamp.br/,31,© Pró-Reitoria de Extensão e Cultura.
https://www.itcp.unicamp.br/,31,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
