URL,Paragraph,Sentence
https://malunga.proec.unicamp.br/,0,Lista dos Aprovados no Cursinho Popular  Malunga - 2023
https://malunga.proec.unicamp.br/,1,cursinho preparatório para colégios técnicos
https://malunga.proec.unicamp.br/,2,"
Aprovados da tarde

Turma B

"
https://malunga.proec.unicamp.br/,3,"
Aprovados da tarde

Turma C

"
https://malunga.proec.unicamp.br/,4,"
Aprovados da manhã

Turma A

"
https://malunga.proec.unicamp.br/,5,"
                                Depoimento Ana Clara Aluna MALUNGA 2019                            "
https://malunga.proec.unicamp.br/,6,"EDITAL DE ABERTURA DO PROCESSO SELETIVO DE ALUNOS 
Cursinho Popular Pré-Vestibulinho Malunga “Thereza Santos” – 2023
."
https://malunga.proec.unicamp.br/,7,© 2022 Todos os direitos reservados - MALUNGA 
https://malunga.proec.unicamp.br/,8,Diretoria de Projetos de Extensão da Pró-reitora de Extensão e Cultura - PROEC
https://malunga.proec.unicamp.br/,9,Diretoria de Projetos de Extensão da Pró-reitora de Extensão e Cultura - PROEC
https://malunga.proec.unicamp.br/,10,Inicio 17/04/2023
https://malunga.proec.unicamp.br/,11,Inicio 10/05/2023
https://malunga.proec.unicamp.br/,12,Inicio 17/04/2023
