URL,Paragraph,Sentence
https://www.mav.unicamp.br/,0,Sobre o Museu
https://www.mav.unicamp.br/,1,Acontece
https://www.mav.unicamp.br/,2,Projeto MAV-Digital
https://www.mav.unicamp.br/,3,webinário MAV
https://www.mav.unicamp.br/,4,PAISAGEM SOB INVENTÁRIO
https://www.mav.unicamp.br/,5,O lugar do feminino no modernismo brasileiro
https://www.mav.unicamp.br/,6,Audiência pública discute financiamento da Extensão Universitária na Comissão de Educação da Câmara 
https://www.mav.unicamp.br/,7,Proec divulga classificação preliminar do edital de apoio para os Colégios Técnicos
https://www.mav.unicamp.br/,8,Primeiro Fórum Permanente da série dos 20 anos debate ciência aberta
https://www.mav.unicamp.br/,9,Domingo no Lago aborda temática do meio ambiente e traz Big Band da Unicamp
https://www.mav.unicamp.br/,10,ProEC Vídeos
https://www.mav.unicamp.br/,11,Museu de Artes Visuais
https://www.mav.unicamp.br/,12,Localização
https://www.mav.unicamp.br/,13,Órgãos
https://www.mav.unicamp.br/,14,"O Museu de Artes Visuais da Unicamp é uma instituição pública, de caráter permanente, que tem como missão a exposição, conservação, proteção, valorização e ampliação de seu acervo museológico, arquivístico e bibliográfico, de forma a possibilitar a promoção e difusão da educação, pesquisa e do conhecimento em artes visuais."
https://www.mav.unicamp.br/,14,"Tem como acervo inicial um conjunto de cerca de 1.000 obras, que foram doadas pelo Instituto de Artes da Unicamp em 2009."
https://www.mav.unicamp.br/,15,Fique por dentro de nossas atividades
https://www.mav.unicamp.br/,16,NOTÍCIA
https://www.mav.unicamp.br/,17,Publicado em 08/03/2023
https://www.mav.unicamp.br/,18,NOTÍCIA
https://www.mav.unicamp.br/,19,Publicado em 09/09/2022
https://www.mav.unicamp.br/,20,NOTÍCIA
https://www.mav.unicamp.br/,21,Publicado em 01/08/2022
https://www.mav.unicamp.br/,22,NOTÍCIA
https://www.mav.unicamp.br/,23,Publicado em 08/03/2022
https://www.mav.unicamp.br/,24,PROEC
https://www.mav.unicamp.br/,25,26/05/2023
https://www.mav.unicamp.br/,26,PROEC
https://www.mav.unicamp.br/,27,30/05/2023
https://www.mav.unicamp.br/,28,PROEC
https://www.mav.unicamp.br/,29,30/05/2023
https://www.mav.unicamp.br/,30,PROEC
https://www.mav.unicamp.br/,31,29/05/2023
https://www.mav.unicamp.br/,32,DESTAQUE
https://www.mav.unicamp.br/,33,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.
https://www.mav.unicamp.br/,34,#SomosPROEC
https://www.mav.unicamp.br/,35,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
https://www.mav.unicamp.br/,36,Diretora
https://www.mav.unicamp.br/,37,Profa.
https://www.mav.unicamp.br/,37,Dra.
https://www.mav.unicamp.br/,37,Sylvia Helena Furegatti - (IA)
https://www.mav.unicamp.br/,38,Equipe
https://www.mav.unicamp.br/,39,Bolsistas SAE
https://www.mav.unicamp.br/,40,"Guilherme Curti Gomes
Marina Victória Santos de Almeida
Murilo Alves de Paiva
Stephani Lucas Santana
Victor Agra Garcia"
https://www.mav.unicamp.br/,41,"Rua Sergio Buarque de Holanda, 291
						Prédio do Ciclo Básico II - DLIE - Piso 2
						Sala SI-12 - DLIE
						Cidade Universitária ""Zeferino Vaz""
						13083-859
						UNICAMP
						Campinas–SP"
https://www.mav.unicamp.br/,42,"› Centro de Convenções
› Espaço Cultural Casa do Lago
› CIS-Guanabara
› Ginásio Multidisciplinar
› Museu de Artes Visuais
› Museu Exploratório de Ciências
"
https://www.mav.unicamp.br/,43,© Pró-Reitoria de Extensão e Cultura.
https://www.mav.unicamp.br/,43,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
