URL,Paragraph,Sentence
https://www.memorialcovid19.unicamp.br/,0,Proteja-se e proteja outras pessoas da Covid-19
https://www.memorialcovid19.unicamp.br/,1,Homenagem: Unicamp lança Memorial Covid
https://www.memorialcovid19.unicamp.br/,2,sobre Covid 19
https://www.memorialcovid19.unicamp.br/,3,Histórico da pandemia de COVID-19
https://www.memorialcovid19.unicamp.br/,4,Informação
https://www.memorialcovid19.unicamp.br/,5,Ajudamos a se proteger da Covid-19
https://www.memorialcovid19.unicamp.br/,6,"

						Proteção					
"
https://www.memorialcovid19.unicamp.br/,7,"

						Sintomas					
"
https://www.memorialcovid19.unicamp.br/,8,"

						Prevenção					
"
https://www.memorialcovid19.unicamp.br/,9,"

						Transmissão					
"
https://www.memorialcovid19.unicamp.br/,10,Covid-19 sintomas
https://www.memorialcovid19.unicamp.br/,11,Sintomas de Covid-19
https://www.memorialcovid19.unicamp.br/,12,"

						Febre alta					
"
https://www.memorialcovid19.unicamp.br/,13,"

						Tosse					
"
https://www.memorialcovid19.unicamp.br/,14,"

						Dor de garganta					
"
https://www.memorialcovid19.unicamp.br/,15,"

						Náusea e vômito					
"
https://www.memorialcovid19.unicamp.br/,16,"

						Dor de cabeça					
"
https://www.memorialcovid19.unicamp.br/,17,"

						Diarréia					
"
https://www.memorialcovid19.unicamp.br/,18,A propagação da Covid-19 pelo mundo
https://www.memorialcovid19.unicamp.br/,19,Prevenção
https://www.memorialcovid19.unicamp.br/,20,Como posso me proteger da Covid-19?
https://www.memorialcovid19.unicamp.br/,21,O que você deveria fazer :
https://www.memorialcovid19.unicamp.br/,22,Usar máscara facial
https://www.memorialcovid19.unicamp.br/,23,Lave as mãos
https://www.memorialcovid19.unicamp.br/,24,Sempre higienizar
https://www.memorialcovid19.unicamp.br/,25,O que você não deve fazer:
https://www.memorialcovid19.unicamp.br/,26,Evite a multidão
https://www.memorialcovid19.unicamp.br/,27,Evite aperto de mãos
https://www.memorialcovid19.unicamp.br/,28,Evitar contato animal
https://www.memorialcovid19.unicamp.br/,29,Tem alguma dúvida sobre a Covid-19?
https://www.memorialcovid19.unicamp.br/,29,Entre em contato conosco agora
https://www.memorialcovid19.unicamp.br/,30,Ainda não estamos seguros!
https://www.memorialcovid19.unicamp.br/,31,Nesta 5a.
https://www.memorialcovid19.unicamp.br/,31,"feira dia 9/12, o Pró-reitor de Extensão e Cultura, Professor Doutor Fernando Antonio Santos Coelho, lançou o projeto Memorial Covid 19, com a Projeção Mapeada de imagens produzidas e compartilhadas pelo público em geral durante a pandemia, bem como o lançamento oficial da logomarca e do portal MEMORIAL COVID-19 UNICAMP www.memorialcovid19.unicamp.br"
https://www.memorialcovid19.unicamp.br/,32,"Em 31 de dezembro de 2019, a Organização Mundial da Saúde (OMS) foi alertada sobre vários casos de pneumonia na cidade de Wuhan, província de Hubei, na República Popular da China."
https://www.memorialcovid19.unicamp.br/,32,Tratava-se de uma nova cepa (tipo) de coronavírus que não havia sido identificada antes em seres humanos.
https://www.memorialcovid19.unicamp.br/,33,"Uma semana depois, em 7 de janeiro de 2020, as autoridades chinesas confirmaram que haviam identificado um novo tipo de coronavírus."
https://www.memorialcovid19.unicamp.br/,33,
https://www.memorialcovid19.unicamp.br/,34,"COVID-19 é a doença infecciosa causada pelo SARS-CoV-2, um coronavírus, recentemente descoberto durante um surto de síndrome respiratória aguda grave, em Wuhan, China, em dezembro de 2019."
https://www.memorialcovid19.unicamp.br/,34,Em 11 de março de 2020 a COVID-19 foi caracterizada pela OMS como uma pandemia.
https://www.memorialcovid19.unicamp.br/,34,fonte: CECOM
https://www.memorialcovid19.unicamp.br/,35,Proteja a si mesmo e as pessoas ao seu redor conhecendo os fatos e tomando as precauções apropriadas.
https://www.memorialcovid19.unicamp.br/,35,Siga os conselhos da autoridade local de saúde.
https://www.memorialcovid19.unicamp.br/,36,"O CECOM disponibiliza, para membros da comunidade Unicamp (docentes, alunos e funcionários), atendimento médico nas situações de agravo agudo à saúde (Pronto Atendimento), sem necessidade de agendamento prévio."
