URL,Paragraph,Sentence
https://www.proec.unicamp.br/,0,Audiência pública discute financiamento da Extensão Universitária na Comissão de Educação da Câmara 
https://www.proec.unicamp.br/,1,Primeiro Fórum Permanente da série dos 20 anos debate ciência aberta
https://www.proec.unicamp.br/,2,Sobre a ProEC
https://www.proec.unicamp.br/,3,ProEC Vídeos
https://www.proec.unicamp.br/,4,Acontece
https://www.proec.unicamp.br/,5,Domingo no Lago aborda temática do meio ambiente e traz Big Band da Unicamp
https://www.proec.unicamp.br/,6,Seminário no Instituto de Biologia debate a curricularização da extensão
https://www.proec.unicamp.br/,7,Biblioteca Comunitária da Unicamp recebe doações e planeja expansão 
https://www.proec.unicamp.br/,8,12ª Mostra Ecofalante de Cinema acontece em São Paulo
https://www.proec.unicamp.br/,9,Sobre
https://www.proec.unicamp.br/,10,Localização
https://www.proec.unicamp.br/,11,Redes Sociais
https://www.proec.unicamp.br/,12,"Fernando Coelho, pró-reitor de Extensão e Cultura da Unicamp, sugere definição de orçamento e planejamento federal "
https://www.proec.unicamp.br/,13,A intenção dos organizadores é abrir um espaço de diálogo constante sobre os desafios da ciência aberta
https://www.proec.unicamp.br/,14,"Em 2021, a Unicamp entrou  em terceiro lugar na lista das universidades com melhor reputação do mundo, de acordo com o ranking Times Higher Education (THE) World Reputation."
https://www.proec.unicamp.br/,14,"Essa conquista aumenta a responsabilidade social desta instituição pública, tanto por meio da formação de profissionais altamente qualificados quanto no desenvolvimento de projetos que promovam interação entre a academia e a sociedade."
https://www.proec.unicamp.br/,15,"Na Unicamp, a Pró Reitoria de Extensão e Cultura tem como missão coordenar e estimular atividades e projetos de Extensão e Cultura que, por meio do diálogo e da multidisciplinaridade, tenham aplicação contínua em comunidades não somente da Região Metropolitana de Campinas (RMC), mas também de vários lugares do Brasil e de outros países."
https://www.proec.unicamp.br/,16,"Com o cuidado de não separar ensino, pesquisa e extensão, a Unicamp constrói tradição de interação com a sociedade, por meio de acordos de cooperação com órgãos do governo e da iniciativa privada."
https://www.proec.unicamp.br/,17,"A extensão promove uma transformação social positiva, realizada por professores, pesquisadores, alunos e colaboradores da Universidade."
https://www.proec.unicamp.br/,18,DESTAQUE
https://www.proec.unicamp.br/,19,Assista aos vídeos produzidos pela ProEC.
https://www.proec.unicamp.br/,20,Fique por dentro de nossas atividades
https://www.proec.unicamp.br/,21,NOTÍCIA
https://www.proec.unicamp.br/,22,Publicado em 29/05/2023
https://www.proec.unicamp.br/,23,NOTÍCIA
https://www.proec.unicamp.br/,24,Publicado em 29/05/2023
https://www.proec.unicamp.br/,25,NOTÍCIA
https://www.proec.unicamp.br/,26,Publicado em 26/05/2023
https://www.proec.unicamp.br/,27,NOTÍCIA
https://www.proec.unicamp.br/,28,Publicado em 26/05/2023
https://www.proec.unicamp.br/,29,#SomosPROEC
https://www.proec.unicamp.br/,30,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
https://www.proec.unicamp.br/,31,Pró-Reitoria de Extensão e Cultura
https://www.proec.unicamp.br/,32,Prof.
https://www.proec.unicamp.br/,32,Dr.
https://www.proec.unicamp.br/,32,Fernando Antônio Santos Coelho
https://www.proec.unicamp.br/,33,"+55 (19) 3521-4741
						proec@unicamp.br"
https://www.proec.unicamp.br/,34,"
						Rua da Reitoria, 121
						Cidade Universitária “Zeferino Vaz”
						Barão Geraldo - Unicamp
						13083-872
						Campinas – SP"
https://www.proec.unicamp.br/,35,© Pró-Reitoria de Extensão e Cultura.
https://www.proec.unicamp.br/,35,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
