URL,Paragraph,Sentence
https://www.proec.unicamp.br/noticias,0,"
Audiência pública discute financiamento da Extensão Universitária na Comissão de Educação da Câmara 
"
https://www.proec.unicamp.br/noticias,1,"
Proec divulga classificação preliminar do edital de apoio para os Colégios Técnicos
"
https://www.proec.unicamp.br/noticias,2,"
Primeiro Fórum Permanente da série dos 20 anos debate ciência aberta
"
https://www.proec.unicamp.br/noticias,3,Todas Notícias
https://www.proec.unicamp.br/noticias,4,"
Domingo no Lago aborda temática do meio ambiente e traz Big Band da Unicamp
"
https://www.proec.unicamp.br/noticias,5,"
Seminário no Instituto de Biologia debate a curricularização da extensão
"
https://www.proec.unicamp.br/noticias,6,"
Biblioteca Comunitária da Unicamp recebe doações e planeja expansão 
"
https://www.proec.unicamp.br/noticias,7,PROEC
https://www.proec.unicamp.br/noticias,8,"Fernando Coelho, pró-reitor de Extensão e Cultura da Unicamp, sugere definição de orçamento e planejamento federal "
https://www.proec.unicamp.br/noticias,9,PROEC
https://www.proec.unicamp.br/noticias,10,A divulgação final dos contemplados será na publicada no dia 7 de junho
https://www.proec.unicamp.br/noticias,11,PROEC
https://www.proec.unicamp.br/noticias,12,A intenção dos organizadores é abrir um espaço de diálogo constante sobre os desafios da ciência aberta
https://www.proec.unicamp.br/noticias,13,PROEC
https://www.proec.unicamp.br/noticias,14,O evento acontece neste domingo dia 4 na Casa do Lago
https://www.proec.unicamp.br/noticias,15,PROEC
https://www.proec.unicamp.br/noticias,16,"O evento aconteceu na última quarta-feira (24), no Instituto de Biologia (IB) da Unicamp"
https://www.proec.unicamp.br/noticias,17,PROEC
https://www.proec.unicamp.br/noticias,18,"Com apoio da Proec, o projeto pretende criar núcleos em entidades da região"
https://www.proec.unicamp.br/noticias,19,© Pró-Reitoria de Extensão e Cultura.
https://www.proec.unicamp.br/noticias,19,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
