URL,Paragraph,Sentence
https://www.unicamp.br/,0,Main superior
https://www.unicamp.br/,1,Menu Superior Direito
https://www.unicamp.br/,2,Menu principal
https://www.unicamp.br/,3,
https://www.unicamp.br/,4,Unicamp investirá cerca de R$ 100 milhões em até 3 anos no campus II em Limeira
https://www.unicamp.br/,5,Sinais de um crime anunciado 
https://www.unicamp.br/,6,Uma germinação sem semente
https://www.unicamp.br/,7,Emoções ao pé da letra
https://www.unicamp.br/,8,O que há de novo
https://www.unicamp.br/,9,Diálogo com os gestores
https://www.unicamp.br/,10,"Ciência, Tecnologia e Inovação"
https://www.unicamp.br/,11,Acesso Rápido
https://www.unicamp.br/,12,  Localização e Contato
https://www.unicamp.br/,13,Serviços
https://www.unicamp.br/,14,
https://www.unicamp.br/,15,"Os recursos serão destinados à construção de um prédio multiuso com novas salas de aula, biblioteca e salas administrativas; será construído também um ginásio poliesportivo de 13 mil metros quadrados"
https://www.unicamp.br/,16,Pesquisa premiada identifica caminhos para a prevenção de casos de feminicídio
https://www.unicamp.br/,17,Trabalho pioneiro desenvolvido por docente do IQ é exemplo das múltiplas possibilidades da nanobiotecnologia
https://www.unicamp.br/,18,Algoritmo reproduz nuances da fala por meio de modulações na tipografia
https://www.unicamp.br/,19,
https://www.unicamp.br/,20,Grupo utiliza técnicas inovadoras para a análise de produtos agrícolas e industrializados
https://www.unicamp.br/,21,Pesquisa avalia relevância de planos diretores e necessidade de adequação do Estatuto da Cidade para pequenos municípios
https://www.unicamp.br/,22,Falta de políticas públicas contribui para potencial desastre causado pela seca no semiárido baiano
https://www.unicamp.br/,23,Personagens pouco lembrados e novas interpretações emergem em obra escrita por João Quartim de Moraes e Ligia Osório Silva
https://www.unicamp.br/,24,Obra pretende ser porta de entrada para o ideário de expoente do Iluminismo escocês
https://www.unicamp.br/,25,Cientista social desvela relações que fluem junto ao curso de água
https://www.unicamp.br/,26,Série de TV retrata a experiência de profissionais da Unicamp em viagens para a Amazônia em momentos distintos.
https://www.unicamp.br/,26,Duas equipes estiveram em São Gabriel da Cachoeira para a cobertura do Vestibular Indígena em 2018 e 2023.
https://www.unicamp.br/,26,"A outra equipe acompanhou as buscas pelo indigenista Bruno Pereira e pelo jornalista  Dom Phillips, na cidade de Atalaia do Norte, em 2022."
https://www.unicamp.br/,26,Leia a matéria completa
https://www.unicamp.br/,27,
https://www.unicamp.br/,28,
https://www.unicamp.br/,29,
https://www.unicamp.br/,30,"O novo aparelho é o primeiro no mundo com diâmetro interno de 80 cm, proporcionando conforto e acessibilidade para pacientes claustrofóbicos, ansiosos e mais corpulentos"
https://www.unicamp.br/,31,"O conjunto documental “Feminismo, ciência e política – o legado de Bertha Lutz, 1881-1985” acaba de ser certificado no Registro Internacional do programa Memória do Mundo"
https://www.unicamp.br/,32,"Foram contemplados quatro trabalhos de doutorado defendidos em 2022, nas áreas de Ciências Biológicas e da Saúde; Engenharias e Tecnológicas; Ciências Exatas e da Terra; Ciências Humanas e Artes"
https://www.unicamp.br/,33,"
 Seu navegador não suporta o elemento html5 audio."
https://www.unicamp.br/,34,
https://www.unicamp.br/,35,
https://www.unicamp.br/,36,"Evento está sob a responsabilidade da professora Ana Maria Heuminski de Avila (Cepagri) e acontece, a partir das 9h, no Centro de Convenções da Unicamp"
https://www.unicamp.br/,37,"A abertura oficial, às 10h, terá a participação do prefeito Juliano Finelli."
https://www.unicamp.br/,37,"O plantio de árvores, oficina, acompanhamento do pôr do Sol e o evento “Diálogos Ambientais” estão na programação"
https://www.unicamp.br/,38,Antonio José de Almeida Meirelles falou sobre implementação de programa de bolsas de pós-doutorado para novos doutores.
https://www.unicamp.br/,39,
https://www.unicamp.br/,40,
https://www.unicamp.br/,41,Maria Luiza Moretti
https://www.unicamp.br/,42,Coordenadora-Geral da Universidade
https://www.unicamp.br/,43,
https://www.unicamp.br/,44,Fernando Sarti
https://www.unicamp.br/,45,Pró-reitor de Desenvolvimento Universitário
https://www.unicamp.br/,46,
https://www.unicamp.br/,47,Fernando Antonio Santos Coelho
