URL,H2,Paragraph,Sentence
https://www.cisguanabara.unicamp.br/,Sobre o CIS-Guanabara,0,Evento em comemoração ao Dia Mundial da Saúde ocorre no dia 16 de abril a partir das 8h.
https://www.cisguanabara.unicamp.br/,Acontece,1,"O CIS-GUANABARA é um Centro Cultural de Inclusão e Integração Social criado, vinculado e mantido pela Pró-Reitoria de Extensão e Cultura (PROEC) da Universidade estadual de Campinas (UNICAMP)."
https://www.cisguanabara.unicamp.br/,Acontece,1,"Trata-se de um espaço público tombado como patrimônio histórico e cultural da cidade de Campinas, posto sob cuidados da Universidade."
https://www.cisguanabara.unicamp.br/,Acontece,1,O CIS Guanabara é composto pelo conjunto arquitetônico recuperado da antiga Estação Guanabara.
https://www.cisguanabara.unicamp.br/,Acontece,1,"O Espaço CIS-Guanabara destina-se a proporcionar adequadas condições de desenvolvimento de projetos de educação, cultura e lazer para o público da comunidade de Campinas e Região Metropolitana."
https://www.cisguanabara.unicamp.br/,Acontece,2,A Diretoria de Cultura da Pró-Reitoria de Extensão e Cultura da Unicamp compreende a cultura como parte estruturante da sociedade.
https://www.cisguanabara.unicamp.br/,Acontece,3,Fique por dentro de nossas atividades
https://www.cisguanabara.unicamp.br/,Acontece,4,NOTÍCIA
https://www.cisguanabara.unicamp.br/,Acontece,5,Publicado em 02/03/2023
https://www.cisguanabara.unicamp.br/,Acontece,6,NOTÍCIA
https://www.cisguanabara.unicamp.br/,Acontece,7,Publicado em 02/03/2023
https://www.cisguanabara.unicamp.br/,Acontece,8,NOTÍCIA
https://www.cisguanabara.unicamp.br/,Acontece,9,Publicado em 27/01/2023
https://www.cisguanabara.unicamp.br/,Acontece,10,NOTÍCIA
https://www.cisguanabara.unicamp.br/,Acontece,11,Publicado em 18/01/2023
https://www.cisguanabara.unicamp.br/,Acontece,12,PROEC
https://www.cisguanabara.unicamp.br/,Acontece,13,19/05/2023
https://www.cisguanabara.unicamp.br/,Acontece,14,PROEC
https://www.cisguanabara.unicamp.br/,Acontece,15,31/01/2023
https://www.cisguanabara.unicamp.br/,Acontece,16,PROEC
https://www.cisguanabara.unicamp.br/,Acontece,17,14/04/2023
https://www.cisguanabara.unicamp.br/,Acontece,18,PROEC
https://www.cisguanabara.unicamp.br/,Acontece,19,26/05/2023
https://www.cisguanabara.unicamp.br/,Acontece,20,DESTAQUE
https://www.cisguanabara.unicamp.br/,Acontece,21,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.
https://www.cisguanabara.unicamp.br/,Acontece,22,#SomosPROEC
https://www.cisguanabara.unicamp.br/,Acontece,23,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
https://www.cisguanabara.unicamp.br/,Acontece,24,Centro Cultural Unicamp
https://www.cisguanabara.unicamp.br/,Acontece,25,Marcelo F.
https://www.cisguanabara.unicamp.br/,Acontece,25,Rocco (Diretor)
https://www.cisguanabara.unicamp.br/,Acontece,26,+55 19 3521 6853 / 3521 6859
https://www.cisguanabara.unicamp.br/,Acontece,27,cis@unicamp.br
https://www.cisguanabara.unicamp.br/,Acontece,28,"Rua Mário Siqueira, 829
						Botafogo
						13020-210
						Campinas–SP
						Brasil"
https://www.cisguanabara.unicamp.br/,Acontece,29,© Pró-Reitoria de Extensão e Cultura.
https://www.cisguanabara.unicamp.br/,Acontece,29,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
