URL,H2,Paragraph,Sentence
https://www.dcom.proec.unicamp.br/,Sobre,0,⠀⠀⠀⠀⠀⠀
https://www.dcom.proec.unicamp.br/,Acontece,1,⠀⠀⠀⠀⠀⠀
https://www.dcom.proec.unicamp.br/,Acontece,2,"A área de Comunicação da ProEC tem como papel principal minimizar a distância entre a Universidade e as comunidades interna e externa da Unicamp, a partir da produção e divulgação de textos e conteúdo audiovisual."
https://www.dcom.proec.unicamp.br/,Acontece,2,"Entre suas atribuições, está o desenvolvimento de estratégias para disseminar não somente atividades e realizações dos órgãos da Proec, mas também a difusão ampla de projetos de extensão e cultura desenvolvidos por alunos, professores e funcionários da Universidade Estadual de Campinas em todos os setores sociais, inclusive na grande imprensa e nos veículos de comunicação da Unicamp."
https://www.dcom.proec.unicamp.br/,Acontece,3,Fique por dentro de nossas atividades
https://www.dcom.proec.unicamp.br/,Acontece,4,NOTÍCIA
https://www.dcom.proec.unicamp.br/,Acontece,5,Publicado em 02/02/2022
https://www.dcom.proec.unicamp.br/,Acontece,6,NOTÍCIA
https://www.dcom.proec.unicamp.br/,Acontece,7,Publicado em 04/11/2021
https://www.dcom.proec.unicamp.br/,Acontece,8,NOTÍCIA
https://www.dcom.proec.unicamp.br/,Acontece,9,Publicado em 26/10/2021
https://www.dcom.proec.unicamp.br/,Acontece,10,NOTÍCIA
https://www.dcom.proec.unicamp.br/,Acontece,11,Publicado em 29/09/2021
https://www.dcom.proec.unicamp.br/,Acontece,12,PROEC
https://www.dcom.proec.unicamp.br/,Acontece,13,19/05/2023
https://www.dcom.proec.unicamp.br/,Acontece,14,PROEC
https://www.dcom.proec.unicamp.br/,Acontece,15,31/01/2023
https://www.dcom.proec.unicamp.br/,Acontece,16,PROEC
https://www.dcom.proec.unicamp.br/,Acontece,17,14/04/2023
https://www.dcom.proec.unicamp.br/,Acontece,18,PROEC
https://www.dcom.proec.unicamp.br/,Acontece,19,26/05/2023
https://www.dcom.proec.unicamp.br/,Acontece,20,DESTAQUE
https://www.dcom.proec.unicamp.br/,Acontece,21,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.
https://www.dcom.proec.unicamp.br/,Acontece,22,#SomosPROEC
https://www.dcom.proec.unicamp.br/,Acontece,23,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
https://www.dcom.proec.unicamp.br/,Acontece,24,Diretora de Comunicação
https://www.dcom.proec.unicamp.br/,Acontece,25,Marilisa de Melo Freire Rossilho
https://www.dcom.proec.unicamp.br/,Acontece,26,Pró-Reitor de Extensão e Cultura
https://www.dcom.proec.unicamp.br/,Acontece,27,Prof.
https://www.dcom.proec.unicamp.br/,Acontece,27,Dr.
https://www.dcom.proec.unicamp.br/,Acontece,27,Fernando Augusto de Almeida Hashimoto
https://www.dcom.proec.unicamp.br/,Acontece,28,+55 19 3521-6739
https://www.dcom.proec.unicamp.br/,Acontece,29,"
						Rua da Reitoria, 121
						Cidade Universitária “Zeferino Vaz”
						Barão Geraldo - Unicamp
						13083-872
						Campinas – SP"
https://www.dcom.proec.unicamp.br/,Acontece,30,"
						Na Unicamp, a Pró Reitoria de Extensão e Cultura tem como missão coordenar e estimular atividades e projetos de Extensão e Cultura que, por meio do diálogo e da interatividade, tenham aplicação contínua em comunidades não somente da Região Metropolitana de Campinas (RMC), mas também de vários lugares do Brasil e de outros países."
https://www.dcom.proec.unicamp.br/,Acontece,30,
https://www.dcom.proec.unicamp.br/,Acontece,31,© Pró-Reitoria de Extensão e Cultura.
https://www.dcom.proec.unicamp.br/,Acontece,31,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
