URL,H2,Paragraph,Sentence
https://www.dcult.proec.unicamp.br/,Sobre a DCult,0,"Temática do concurso é o Patrimônio Cultural Brasileiro, e inscrições acontecem até o dia 17 de julho"
https://www.dcult.proec.unicamp.br/,Acontece,1,"A Diretoria de Cultura da Pró-Reitoria de Extensão e Cultura da Unicamp compreende a cultura como parte estruturante da sociedade e, por essa razão, o ambiente acadêmico deve garantir os direitos culturais constitucionais, associados aos demais direitos cidadãos, propiciando a presença de todas as formas de manifestação; a participação ampla de todos os segmentos, independentemente de gênero, raça, etnia, orientação sexual, condição socioeconômica, formação; a participação irrestrita de todas as áreas de conhecimento e a garantia de condições de adaptação e de acessibilidade universal."
https://www.dcult.proec.unicamp.br/,Acontece,2,Os Fóruns Permanentes foram criados com o objetivo de promover a aproximação entre pensamento acadêmico e sociedade.
https://www.dcult.proec.unicamp.br/,Acontece,3,Fique por dentro de nossas atividades
https://www.dcult.proec.unicamp.br/,Acontece,4,NOTÍCIA
https://www.dcult.proec.unicamp.br/,Acontece,5,Publicado em 22/05/2023
https://www.dcult.proec.unicamp.br/,Acontece,6,NOTÍCIA
https://www.dcult.proec.unicamp.br/,Acontece,7,Publicado em 10/05/2023
https://www.dcult.proec.unicamp.br/,Acontece,8,NOTÍCIA
https://www.dcult.proec.unicamp.br/,Acontece,9,Publicado em 05/05/2023
https://www.dcult.proec.unicamp.br/,Acontece,10,NOTÍCIA
https://www.dcult.proec.unicamp.br/,Acontece,11,Publicado em 20/04/2023
https://www.dcult.proec.unicamp.br/,Acontece,12,PROEC
https://www.dcult.proec.unicamp.br/,Acontece,13,19/05/2023
https://www.dcult.proec.unicamp.br/,Acontece,14,PROEC
https://www.dcult.proec.unicamp.br/,Acontece,15,31/01/2023
https://www.dcult.proec.unicamp.br/,Acontece,16,PROEC
https://www.dcult.proec.unicamp.br/,Acontece,17,14/04/2023
https://www.dcult.proec.unicamp.br/,Acontece,18,PROEC
https://www.dcult.proec.unicamp.br/,Acontece,19,26/05/2023
https://www.dcult.proec.unicamp.br/,Acontece,20,DESTAQUE
https://www.dcult.proec.unicamp.br/,Acontece,21,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.
https://www.dcult.proec.unicamp.br/,Acontece,22,#SomosPROEC
https://www.dcult.proec.unicamp.br/,Acontece,23,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
https://www.dcult.proec.unicamp.br/,Acontece,24,Diretor Executivo da Diretoria de Cultura
https://www.dcult.proec.unicamp.br/,Acontece,25,Prof.
https://www.dcult.proec.unicamp.br/,Acontece,25,Dr.
https://www.dcult.proec.unicamp.br/,Acontece,25,Cacá Machado
https://www.dcult.proec.unicamp.br/,Acontece,26,+55 19 3521-1740
https://www.dcult.proec.unicamp.br/,Acontece,27,dcult@unicamp.br
https://www.dcult.proec.unicamp.br/,Acontece,28,"Rua Elis Regina, 131
                        Barão Geraldo - Unicamp
                        Cidade Universitária ""Zeferino Vaz""
                        13083-854
                        Campinas–SP"
https://www.dcult.proec.unicamp.br/,Acontece,29,"› Centro de Convenções
› Espaço Cultural Casa do Lago
› CIS-Guanabara
› Ginásio Multidisciplinar
› Museu de Artes Visuais
› Museu Exploratório de Ciências
"
https://www.dcult.proec.unicamp.br/,Acontece,30,© Pró-Reitoria de Extensão e Cultura.
https://www.dcult.proec.unicamp.br/,Acontece,30,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
