URL,H2,Paragraph,Sentence
https://www.mav.unicamp.br/,Sobre o Museu,0,"O Museu de Artes Visuais da Unicamp é uma instituição pública, de caráter permanente, que tem como missão a exposição, conservação, proteção, valorização e ampliação de seu acervo museológico, arquivístico e bibliográfico, de forma a possibilitar a promoção e difusão da educação, pesquisa e do conhecimento em artes visuais."
https://www.mav.unicamp.br/,Sobre o Museu,0,"Tem como acervo inicial um conjunto de cerca de 1.000 obras, que foram doadas pelo Instituto de Artes da Unicamp em 2009."
https://www.mav.unicamp.br/,Acontece,1,Fique por dentro de nossas atividades
https://www.mav.unicamp.br/,Acontece,2,NOTÍCIA
https://www.mav.unicamp.br/,Acontece,3,Publicado em 08/03/2023
https://www.mav.unicamp.br/,Acontece,4,NOTÍCIA
https://www.mav.unicamp.br/,Acontece,5,Publicado em 09/09/2022
https://www.mav.unicamp.br/,Acontece,6,NOTÍCIA
https://www.mav.unicamp.br/,Acontece,7,Publicado em 01/08/2022
https://www.mav.unicamp.br/,Acontece,8,NOTÍCIA
https://www.mav.unicamp.br/,Acontece,9,Publicado em 08/03/2022
https://www.mav.unicamp.br/,Acontece,10,PROEC
https://www.mav.unicamp.br/,Acontece,11,19/05/2023
https://www.mav.unicamp.br/,Acontece,12,PROEC
https://www.mav.unicamp.br/,Acontece,13,31/01/2023
https://www.mav.unicamp.br/,Acontece,14,PROEC
https://www.mav.unicamp.br/,Acontece,15,14/04/2023
https://www.mav.unicamp.br/,Acontece,16,PROEC
https://www.mav.unicamp.br/,Acontece,17,26/05/2023
https://www.mav.unicamp.br/,Acontece,18,DESTAQUE
https://www.mav.unicamp.br/,Acontece,19,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.
https://www.mav.unicamp.br/,Acontece,20,#SomosPROEC
https://www.mav.unicamp.br/,Acontece,21,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
https://www.mav.unicamp.br/,Acontece,22,Diretora
https://www.mav.unicamp.br/,Acontece,23,Profa.
https://www.mav.unicamp.br/,Acontece,23,Dra.
https://www.mav.unicamp.br/,Acontece,23,Sylvia Helena Furegatti - (IA)
https://www.mav.unicamp.br/,Acontece,24,Equipe
https://www.mav.unicamp.br/,Acontece,25,Bolsistas SAE
https://www.mav.unicamp.br/,Acontece,26,"Guilherme Curti Gomes
Marina Victória Santos de Almeida
Murilo Alves de Paiva
Stephani Lucas Santana
Victor Agra Garcia"
https://www.mav.unicamp.br/,Acontece,27,"Rua Sergio Buarque de Holanda, 291
						Prédio do Ciclo Básico II - DLIE - Piso 2
						Sala SI-12 - DLIE
						Cidade Universitária ""Zeferino Vaz""
						13083-859
						UNICAMP
						Campinas–SP"
https://www.mav.unicamp.br/,Acontece,28,"› Centro de Convenções
› Espaço Cultural Casa do Lago
› CIS-Guanabara
› Ginásio Multidisciplinar
› Museu de Artes Visuais
› Museu Exploratório de Ciências
"
https://www.mav.unicamp.br/,Acontece,29,© Pró-Reitoria de Extensão e Cultura.
https://www.mav.unicamp.br/,Acontece,29,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
