URL,H2,Paragraph,Sentence
https://www.proec.unicamp.br/equipe,Equipe,0,Clique aqui para visualizar o histórico de Ex-Pró-Reitores
https://www.proec.unicamp.br/equipe,Equipe,1,
https://www.proec.unicamp.br/equipe,Equipe,2,proreitor@proec.unicamp.br+55 19 3521-4741
https://www.proec.unicamp.br/equipe,Equipe,3,Visualizar Currículo Lattes
https://www.proec.unicamp.br/equipe,Equipe,4,Graduação em Farmácia Industrial (UFRJ - 1979).
https://www.proec.unicamp.br/equipe,Equipe,4,Mestrado em Síntese de Produtos Naturais ( NPPN/UFRJ - 1983).
https://www.proec.unicamp.br/equipe,Equipe,4,Doutorado de Estado em Ciências Físicas (Doctorat D`État Ès Sciences Physiques - Université Joseph Fourier de Grenoble - 1987).
https://www.proec.unicamp.br/equipe,Equipe,4,Professor da Université de Grenoble e pesquisador do Laboratoire d´Études Structurales et de la Selectivité III (09/87 a 07/88).
https://www.proec.unicamp.br/equipe,Equipe,4,Chefe da Divisão de Síntese da Gerência de Pesquisa e Desenvolvimento da Salgema Indústrias-Química S/A em Maceió/AL (09/89 a 06/95).
https://www.proec.unicamp.br/equipe,Equipe,4,Professor Titular desde de janeiro de 2011.
https://www.proec.unicamp.br/equipe,Equipe,4,Já publicou mais de 100 trabalhos científicos.
https://www.proec.unicamp.br/equipe,Equipe,4,"Orientou 42 teses e dissertações, 16 estágios de pós-doutorados e vários trabalhos de iniciação científica, a nível nacional e internacional."
https://www.proec.unicamp.br/equipe,Equipe,4,Diretor da Divisão de Química Orgânica da Sociedade Brasileira de Química (2002-2004).
https://www.proec.unicamp.br/equipe,Equipe,4,Chefe do Departamento de Química Orgânica do Instituto de Química da UNICAMP (biênios 2000-2002; 2002-2004; 2006-2008; 2018-).
https://www.proec.unicamp.br/equipe,Equipe,4,Assessor da Pró-Reitoria de Pesquisa da Unicamp (quadriênio 2013-2017).
https://www.proec.unicamp.br/equipe,Equipe,4,Contemplado com o Prêmio de Reconhecimento Acadêmico Zeferino Vaz (maior distinção em Pesquisa na Unicamp) em 2012.
https://www.proec.unicamp.br/equipe,Equipe,4,"Tem experiência na área de Química, com ênfase em Síntese Orgânica, atuando principalmente nos seguintes temas: Estudos mecanísticos e aplicações sintéticas da reação de Morita-Baylis-Hillman, Química Orgânica sintética, Organocatálise, Síntese Assimétrica de Fármacos e Produtos Naturais Biologicamente ativos e Gerenciamento de Resíduos Químicos."
https://www.proec.unicamp.br/equipe,Equipe,5,
https://www.proec.unicamp.br/equipe,Equipe,6,cremasco@unicamp.br
https://www.proec.unicamp.br/equipe,Equipe,7,Visualizar Currículo Lattes
https://www.proec.unicamp.br/equipe,Equipe,8,"Professor Titular em Engenharia Química e Livre Docente em Transferência de Massa, o prof."
https://www.proec.unicamp.br/equipe,Equipe,8,"Marco Cremasco possui graduação em Engenharia Química pela Universidade Estadual de Maringá, mestrado em Engenharia Química pela Universidade Federal do Rio de Janeiro, doutorado em Engenharia Mecânica pela Universidade Estadual de Campinas (Unicamp), pós doutorado em Engenharia Química (Purdue University-EUA)."
https://www.proec.unicamp.br/equipe,Equipe,8,É professor na Faculdade de Engenharia Química (FEQ) da Unicamp desde 1986.
https://www.proec.unicamp.br/equipe,Equipe,8,"Foi agraciado, em 2012, com o Prêmio de Reconhecimento Docente pela Dedicação ao Ensino de Graduação, pela Unicamp."
https://www.proec.unicamp.br/equipe,Equipe,8,Em 2017 e 2019 recebeu o Prêmio Inventores Unicamp.
https://www.proec.unicamp.br/equipe,Equipe,8,O prof.
https://www.proec.unicamp.br/equipe,Equipe,8,"Cremasco foi coordenador do Serviço de Apoio ao Estudante (SAE) (2002 – 2006), chefe, em duas gestões, do então Departamento de Termofluidodinâmica(DTF/FEQ) (2000 – 2002; 2010 – 2012), chefe do Departamento de Engenharia de Processos (DEPro/FEQ) (2016 – 2018), vice-presidente da Associação Brasileira de Engenharia Química – ABEQ (2002-2004), coeditor da Babel – Revista de Poesia, Tradução e Crítica (2000 – 2002), membro do Conselho Editorial da Editora da Unicamp (2014 – 2018)."
https://www.proec.unicamp.br/equipe,Equipe,8,O prof.
https://www.proec.unicamp.br/equipe,Equipe,8,"Marco Cremasco possui cerca de duzentos artigos completos publicados em revistas especializadas e anais de congressos, quatro patentes concedidas e solicitação de outras duas."
https://www.proec.unicamp.br/equipe,Equipe,8,"Tem quatorze livros publicados entre obras técnicas, romances, contos, crônicas e poemas."
https://www.proec.unicamp.br/equipe,Equipe,8,Foi agraciado com o Prêmio Sesc de Literatura e indicado em duas oportunidades ao Prêmio Jabuti.
https://www.proec.unicamp.br/equipe,Equipe,9,
https://www.proec.unicamp.br/equipe,Equipe,10,josejlc@unicamp.br
https://www.proec.unicamp.br/equipe,Equipe,11,Visualizar Currículo Lattes
https://www.proec.unicamp.br/equipe,Equipe,12,"Possui graduação em Farmácia Bioquímica pela Universidade Federal de Alfenas (2001), mestrado em Toxicologia e Análises Toxicológicas pela Universidade de São Paulo (2004), doutorado em Química (Química Analítica) no Instituto de Química da Universidade de São Paulo (2008), pós-doutorado na Faculdade de Ciências Médicas da Universidade Estadual de Campinas (2010) e no National Institute on Drug Abuse (NIDA-NIH, Baltimore, MD, EUA, 2013-2014)."
https://www.proec.unicamp.br/equipe,Equipe,12,"Foi Perito Criminal da Superintendência da Polícia Técnico-Científica de São Paulo (2002-2016), Diretor Científico da Associação Brasileira de Centros de Informação e Assistência Toxicológica (ABRACIT, 2017-2018) e Presidente da Sociedade Brasileira de Toxicologia (SBTox, 2012-2013)."
https://www.proec.unicamp.br/equipe,Equipe,12,"Em 2012, recebeu a Medalha do Mérito da Polícia Técnico Científica “Governador Mário Covas”, maior honraria da Polícia Técnico Científica do Estado de São Paulo."
https://www.proec.unicamp.br/equipe,Equipe,12,Atualmente é Professor Doutor da Faculdade de Ciências Farmacêuticas da Universidade Estadual de Campinas e Coordenador Executivo do Centro de Informação e Assistência Toxicológica de Campinas (CIATox-Campinas).
https://www.proec.unicamp.br/equipe,Equipe,12,"Possui experiência nas áreas de toxicologia e química analítica instrumental, com ênfase em análises toxicológicas de emergência e forense, análise drogas de abuso, fármacos e praguicidas, técnicas de separação em fase gasosa (cromatografia gasosa) e em fase líquida (cromatografia líquida de alta eficiência e eletroforese capilar), espectrometria de massas aplicada às análises de interesse clínico e forense."
https://www.proec.unicamp.br/equipe,Equipe,13,
https://www.proec.unicamp.br/equipe,Equipe,14,simonef@unicamp.br+55 19 3521-2557
https://www.proec.unicamp.br/equipe,Equipe,15,Visualizar Currículo Lattes
https://www.proec.unicamp.br/equipe,Equipe,16,Graduação em Gestão (Modalidade: Gestão de Pessoas) - Anhanguera Educacional (2005).
https://www.proec.unicamp.br/equipe,Equipe,16,Gestão por processos  - Unicamp (2015).
https://www.proec.unicamp.br/equipe,Equipe,16,Mestra em Ciências (Saúde da Criança e do Adolescente) - Faculdade de Ciências Medicas - UNICAMP (2015).
https://www.proec.unicamp.br/equipe,Equipe,16,"Atua nas áreas de administração, gestão e assessoria de projetos, junto a Reitoria da UNICAMP desde de Maio de 2013."
https://www.proec.unicamp.br/equipe,Equipe,17,
https://www.proec.unicamp.br/equipe,Equipe,18,"apsidoti@unicamp.br
					  +55 19 3521-4741					  
"
https://www.proec.unicamp.br/equipe,Equipe,19,"Graduação em Pedagogia - Faculdade de Educação/Unicamp** Formação em Gestão por processos: Teoria e Desenvolvimento de Projetos - Unicamp** Tecnologia de Alimentos - Cotuca.Atuou nas áreas de administração, gestão de contratos administrativos e licitações, secretaria, diretoria de orçamentos e finanças, relações institucionais, cultura e extensão, junto ao Hospital de Clínicas, Cepetro, Espaço Cultural Casa do Lago e Reitoria da Unicamp desde maio de 2008.Atualmente: Secretaria da PROEC, secretariando também: Conselho Executivo de Extensão (CONEXT) - Conselho de Cultura (CONCULT) - Comissão Central de Extensão (CCE)."
https://www.proec.unicamp.br/equipe,Equipe,20,
https://www.proec.unicamp.br/equipe,Equipe,21,isabelc@unicamp.br+55 19 3521-4176
https://www.proec.unicamp.br/equipe,Equipe,22,"Graduada em administração pela Anhanguera Educacional (2006); especialista em gestão pública e projetos sociais, pelo SENAC (2020)."
https://www.proec.unicamp.br/equipe,Equipe,22,"Trabalhando na Unicamp desde 1986, atualmente na Pró-reitoria de Extensão e Cultura (ProEC), foi coordenadora adjunto e coordenadora do Programa UniversIDADE (2014 a 2021) e diretora de serviço da Diretoria de Educação Infantil e Complementar (DEdIC) (2012 a 2014) também secretária e supervisora de seção da Diretoria de Planejamento e Desenvolvimento DPD (1999 a 2005)."
https://www.proec.unicamp.br/equipe,Equipe,23,
https://www.proec.unicamp.br/equipe,Equipe,24,marcus@unicamp.br+55 19 3521-4176
https://www.proec.unicamp.br/equipe,Equipe,25,"Graduado em análise de sistemas pela PUCC e mestrado em Qualidade pela Unicamp, atuou como assessor da ProEC até abril de 2021."
https://www.proec.unicamp.br/equipe,Equipe,25,"Atuou em organizações como, Volkswagen do Brasil, CPFL, TUSA e Unicamp."
https://www.proec.unicamp.br/equipe,Equipe,25,"Atuou em gerenciamento e desenvolvimento de sistemas de informação, diretor de RH e assessoria organizacional."
