Index,Titles,Title
0,,Homenagem: Unicamp lança Memorial Covid
0,,Homenagem: Unicamp lança Memorial Covid
0,,Homenagem: Unicamp lança Memorial Covid
0,,Homenagem: Unicamp lança Memorial Covid
0,,Homenagem: Unicamp lança Memorial Covid
0,,Homenagem: Unicamp lança Memorial Covid
0,,Homenagem: Unicamp lança Memorial Covid
1,,Sintomas de Covid-19
1,,Sintomas de Covid-19
1,,Sintomas de Covid-19
1,,Sintomas de Covid-19
1,,Sintomas de Covid-19
1,,Sintomas de Covid-19
1,,Sintomas de Covid-19
2,,A propagação da Covid-19 pelo mundo
2,,A propagação da Covid-19 pelo mundo
2,,A propagação da Covid-19 pelo mundo
2,,A propagação da Covid-19 pelo mundo
2,,A propagação da Covid-19 pelo mundo
2,,A propagação da Covid-19 pelo mundo
2,,A propagação da Covid-19 pelo mundo
3,,Como posso me proteger da Covid-19?
3,,Como posso me proteger da Covid-19?
3,,Como posso me proteger da Covid-19?
3,,Como posso me proteger da Covid-19?
3,,Como posso me proteger da Covid-19?
3,,Como posso me proteger da Covid-19?
3,,Como posso me proteger da Covid-19?
4,,O que você deveria fazer :
4,,O que você deveria fazer :
4,,O que você deveria fazer :
4,,O que você deveria fazer :
4,,O que você deveria fazer :
4,,O que você deveria fazer :
4,,O que você deveria fazer :
5,,O que você não deve fazer:
5,,O que você não deve fazer:
5,,O que você não deve fazer:
5,,O que você não deve fazer:
5,,O que você não deve fazer:
5,,O que você não deve fazer:
5,,O que você não deve fazer:
6,,Tem alguma dúvida sobre a Covid-19? Entre em contato conosco agora
6,,Tem alguma dúvida sobre a Covid-19? Entre em contato conosco agora
6,,Tem alguma dúvida sobre a Covid-19? Entre em contato conosco agora
6,,Tem alguma dúvida sobre a Covid-19? Entre em contato conosco agora
6,,Tem alguma dúvida sobre a Covid-19? Entre em contato conosco agora
6,,Tem alguma dúvida sobre a Covid-19? Entre em contato conosco agora
6,,Tem alguma dúvida sobre a Covid-19? Entre em contato conosco agora
