Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan
https://www.concult.proec.unicamp.br/,0.0,1.0,Sobre o ConCult,,,,,,,,,,,,
https://www.concult.proec.unicamp.br/,1.0,1.0,Audiência pública discute financiamento da Extensão Universitária na Comissão de Educação da Câmara ,,,,,,,,,,,,
https://www.concult.proec.unicamp.br/,2.0,1.0,Proec divulga classificação preliminar do edital de apoio para os Colégios Técnicos,,,,,,,,,,,,
https://www.concult.proec.unicamp.br/,3.0,1.0,Primeiro Fórum Permanente da série dos 20 anos debate ciência aberta,,,,,,,,,,,,
https://www.concult.proec.unicamp.br/,4.0,1.0,Domingo no Lago aborda temática do meio ambiente e traz Big Band da Unicamp,,,,,,,,,,,,
https://www.concult.proec.unicamp.br/,5.0,1.0,ProEC Vídeos,,,,,,,,,,,,
https://www.concult.proec.unicamp.br/,6.0,1.0,Conselho de Cultura,,,,,,,,,,,,
https://www.concult.proec.unicamp.br/,7.0,1.0,Localização,,,,,,,,,,,,
https://www.concult.proec.unicamp.br/,8.0,1.0,Conheça a ProEC,,,,,,,,,,,,
https://www.concult.proec.unicamp.br/,9.0,1.0,"O Conselho de Cultura – CONCULT da Unicamp, criado pela Deliberação CONSU-A-017/2019, está subordinado a Pró Reitoria de Extensão e Cultura (ProEC) e tem como objetivos:",,,,,,,,,,,,
https://www.concult.proec.unicamp.br/,10.0,1.0,"I – Propor a política cultural para a Unicamp, no âmbito das atividades da Pró Reitoria de Extensão e Cultura;",,,,,,,,,,,,
https://www.concult.proec.unicamp.br/,11.0,1.0,"II – Orientar a execução das políticas definidas, tendo em vista a coordenação de iniciativas e de esforços de responsabilidade da Universidade no campo da cultura, tanto no que se refere à comunidade universitária quanto à sociedade com a qual a Universidade se relaciona.",,,,,,,,,,,,
https://www.concult.proec.unicamp.br/,12.0,1.0,A Pró-Reitoria de Extensão e Cultura tem como missão coordenar e estimular atividades e projetos de Extensão e Cultura.,,,,,,,,,,,,
https://www.concult.proec.unicamp.br/,13.0,1.0,PROEC,,,,,,,,,,,,
https://www.concult.proec.unicamp.br/,14.0,1.0,26/05/2023,,,,,,,,,,,,
https://www.concult.proec.unicamp.br/,15.0,1.0,PROEC,,,,,,,,,,,,
https://www.concult.proec.unicamp.br/,16.0,1.0,30/05/2023,,,,,,,,,,,,
https://www.concult.proec.unicamp.br/,17.0,1.0,PROEC,,,,,,,,,,,,
https://www.concult.proec.unicamp.br/,18.0,1.0,30/05/2023,,,,,,,,,,,,
https://www.concult.proec.unicamp.br/,19.0,1.0,PROEC,,,,,,,,,,,,
https://www.concult.proec.unicamp.br/,20.0,1.0,29/05/2023,,,,,,,,,,,,
https://www.concult.proec.unicamp.br/,21.0,1.0,DESTAQUE,,,,,,,,,,,,
https://www.concult.proec.unicamp.br/,22.0,1.0,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.,,,,,,,,,,,,
https://www.concult.proec.unicamp.br/,23.0,1.0,#SomosPROEC,,,,,,,,,,,,
