Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan
https://www.conext.proec.unicamp.br/,0.0,1.0,As ações de extensão universitária são concebidas como prática acadêmica que integra o ensino e a pesquisa de forma indissociável e viabiliza a relação transformadora entre a Universidade e a sociedade.,,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,1.0,1.0,"Criado através da Deliberação CEPE-A-15/2020, o Conselho Executivo de Extensão (CONEXT), tem competência para manifestar-se sobre os assuntos que envolvam as atividades de Extensão Universitária.",,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,2.0,1.0,A Pró-Reitoria de Extensão e Cultura tem como missão coordenar e estimular atividades e projetos de Extensão e Cultura.,,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,3.0,1.0,PROEC,,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,4.0,1.0,26/05/2023,,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,5.0,1.0,PROEC,,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,6.0,1.0,29/05/2023,,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,7.0,1.0,PROEC,,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,8.0,1.0,26/05/2023,,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,9.0,1.0,PROEC,,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,10.0,1.0,26/05/2023,,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,11.0,1.0,DESTAQUE,,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,12.0,1.0,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.,,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,13.0,1.0,#SomosPROEC,,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,14.0,1.0,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.,,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,15.0,1.0,Presidente,,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,16.0,1.0,Prof.,,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,16.0,2.0,Dr.,,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,16.0,3.0,Fernando Augusto de Almeida Hashimoto,,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,17.0,1.0,"+55 19 3521-4741
						+55 19 3521-4902",,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,18.0,1.0,"
						Rua da Reitoria, 121
						Cidade Universitária “Zeferino Vaz”
						Barão Geraldo - Unicamp
						13083-872
						Campinas – SP",,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,19.0,1.0,"
						Na Unicamp, a Pró Reitoria de Extensão e Cultura tem como missão coordenar e estimular atividades e projetos de Extensão e Cultura que, por meio do diálogo e da interatividade, tenham aplicação contínua em comunidades não somente da Região Metropolitana de Campinas (RMC), mas também de vários lugares do Brasil e de outros países.",,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,19.0,2.0,,,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,20.0,1.0,© Pró-Reitoria de Extensão e Cultura.,,,,,,,,,,,,
https://www.conext.proec.unicamp.br/,20.0,2.0,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
",,,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
