Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan
https://www.dcult.proec.unicamp.br/,0.0,1.0,FORCULT lança Programa Corredor Cultural Nacional e divulga edital para concurso de fotografia.,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,1.0,1.0,Sobre a DCult,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,2.0,1.0,Acontece,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,3.0,1.0,América Latina debate extensão e cultura universitárias na Unicamp,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,4.0,1.0,Seminário de Extensão e Cultura: Casa dos Saberes Ancestrais,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,5.0,1.0,Seminário de Extensão e Cultura: Casas dos Saberes Ancestrais,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,6.0,1.0,Vozes Negras na Filosofia da Unicamp,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,7.0,1.0,Audiência pública discute financiamento da Extensão Universitária na Comissão de Educação da Câmara ,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,8.0,1.0,Proec divulga classificação preliminar do edital de apoio para os Colégios Técnicos,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,9.0,1.0,Primeiro Fórum Permanente da série dos 20 anos debate ciência aberta,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,10.0,1.0,Domingo no Lago aborda temática do meio ambiente e traz Big Band da Unicamp,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,11.0,1.0,ProEC Vídeos,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,12.0,1.0,Diretoria de Cultura,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,13.0,1.0,Localização,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,14.0,1.0,Órgãos,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,15.0,1.0,"Temática do concurso é o Patrimônio Cultural Brasileiro, e inscrições acontecem até o dia 17 de julho",,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,16.0,1.0,"A Diretoria de Cultura da Pró-Reitoria de Extensão e Cultura da Unicamp compreende a cultura como parte estruturante da sociedade e, por essa razão, o ambiente acadêmico deve garantir os direitos culturais constitucionais, associados aos demais direitos cidadãos, propiciando a presença de todas as formas de manifestação; a participação ampla de todos os segmentos, independentemente de gênero, raça, etnia, orientação sexual, condição socioeconômica, formação; a participação irrestrita de todas as áreas de conhecimento e a garantia de condições de adaptação e de acessibilidade universal.",,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,17.0,1.0,Os Fóruns Permanentes foram criados com o objetivo de promover a aproximação entre pensamento acadêmico e sociedade.,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,18.0,1.0,Fique por dentro de nossas atividades,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,19.0,1.0,NOTÍCIA,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,20.0,1.0,Publicado em 22/05/2023,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,21.0,1.0,NOTÍCIA,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,22.0,1.0,Publicado em 10/05/2023,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,23.0,1.0,NOTÍCIA,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,24.0,1.0,Publicado em 05/05/2023,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,25.0,1.0,NOTÍCIA,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,26.0,1.0,Publicado em 20/04/2023,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,27.0,1.0,PROEC,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,28.0,1.0,26/05/2023,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,29.0,1.0,PROEC,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,30.0,1.0,30/05/2023,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,31.0,1.0,PROEC,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,32.0,1.0,30/05/2023,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,33.0,1.0,PROEC,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,34.0,1.0,29/05/2023,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,35.0,1.0,DESTAQUE,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,36.0,1.0,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,37.0,1.0,#SomosPROEC,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,38.0,1.0,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,39.0,1.0,Diretor Executivo da Diretoria de Cultura,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,40.0,1.0,Prof.,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,40.0,2.0,Dr.,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,40.0,3.0,Cacá Machado,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,41.0,1.0,+55 19 3521-1740,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,42.0,1.0,dcult@unicamp.br,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,43.0,1.0,"Rua Elis Regina, 131
                        Barão Geraldo - Unicamp
                        Cidade Universitária ""Zeferino Vaz""
                        13083-854
                        Campinas–SP",,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,44.0,1.0,"› Centro de Convenções
› Espaço Cultural Casa do Lago
› CIS-Guanabara
› Ginásio Multidisciplinar
› Museu de Artes Visuais
› Museu Exploratório de Ciências
",,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,45.0,1.0,© Pró-Reitoria de Extensão e Cultura.,,,,,,,,,,,,
https://www.dcult.proec.unicamp.br/,45.0,2.0,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
",,,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
