Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan
https://www.dproj.proec.unicamp.br/editais_pex,0.0,1.0,PEX,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,1.0,1.0,Fique por dentro dos editais,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,2.0,1.0,"
				  → 4º Edital ProEC - PEX 2022",,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,3.0,1.0,"
Envio de propostas: https://extecult.proec.unicamp.br
Dúvidas enviar e-mail para: pex@unicamp.br
",,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,4.0,1.0,Editais PEX PROEC,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,5.0,1.0,Editais anteriores: ,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,6.0,1.0,"→ 3º Edital ProEC - PEX 2021
   - Resultado Preliminar
   - Resultado Final 
",,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,7.0,1.0,"→ Edital ProEC - PEX 2021 Em tempos de covid-19
   - Resultado Preliminar
   - Resultado Final 
",,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,8.0,1.0,"→2º Edital ProEC - PEX - 2020
   - Resultdo Final
",,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,9.0,1.0,"→1° Edital de Apoio a Projetos de Extensão PROEC-PEX - 2019 
   - Resultado Final ",,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,10.0,1.0,DIVULGAÇÃO DO RESULTADO FINAL DOS PROJETOS SELECIONADOS (clique aqui) ,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,11.0,1.0,PROGRAME-SE ,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,12.0,1.0,Será realizada uma reunião com os responsáveis pelos projetos contemplados via meet,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,13.0,1.0,"Data: 06 de fevereiro de 2023 
                  Horário: 10h00 às 11h30
",,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,14.0,1.0,PROGRAME-SE,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,15.0,1.0,Será realizada uma reunião com os responsáveis pelos projetos contemplados via meet,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,16.0,1.0,"Data: 06 de fevereiro de 2023 
                    Horário: 14h30 às 16h00",,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,17.0,1.0, ,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,18.0,1.0, ,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,19.0,1.0,Envio de propostas: https://extecult.proec.unicamp.br,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,20.0,1.0,Dúvidas enviar e-mail para: pex@unicamp.br,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,21.0,1.0,O objetivo do Edital:,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,22.0,1.0,Divulgação do Edital,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,23.0,1.0,"Após homologação da verba orçamentária, o edital é divulgado nos sites da PROEC e Diretoria de Projetos de Extensão, geralmente a partir da segunda quinzena do mês de abril de cada ano.",,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,24.0,1.0,Como participar,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,25.0,1.0,"Somente poderão apresentar proposta sob sua responsabilidade a este edital: docentes e pesquisadores do quadro da Unicamp e professores e pesquisadores colaboradores, nos termos do § 2º do artigo 8º da Deliberação CONSU-A-24/2003 e que não estejam em débito com a apresentação da Prestação de Contas (Relatório Técnico Final e/ou Relatório Financeiro) referentes a projetos financiados por editais PROEC-PEC.",,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,26.0,1.0,"O projeto deve contar, obrigatoriamente, com a participação de alunos regulares, podendo ser de graduação e/ou de pós-graduação da UNICAMP, devidamente identificados.",,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,26.0,2.0,A formação de equipe interdisciplinar será um dos requisitos favoráveis à aprovação do projeto.,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,27.0,1.0, ,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,28.0,1.0,© Pró-Reitoria de Extensão e Cultura.,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/editais_pex,28.0,2.0,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
",,,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
