Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,0.0,1.0,  → 1° EDITAL AÇÕES AFIRMATIVAS NA EXTENSÃO UNIVERSITÁRIA 2022/2023,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,1.0,1.0,Envio de propostas: https://extecult.proec.unicamp.br,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,2.0,1.0,Dúvidas enviar e-mail para: pex@unicamp.brEditais Ações Afirmativas: O objetivo do Edital:,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,3.0,1.0,"O presente edital visa o apoio financeiro de ações de “Extensão – Ações Afirmativas”, coordenados por docentes e pesquisadores da UNICAMP, cuja execução terá início em Janeiro de 2023, com duração de 12 (doze meses).",,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,4.0,1.0, ,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,5.0,1.0,1.1.,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,5.0,2.0,Os projetos poderão ter a vigência estendida conforme prevê o presente edital.,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,6.0,1.0,1.2.,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,6.0,2.0,Este edital tem por objetivos específicos:,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,7.0,1.0, ,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,8.0,1.0,a.,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,8.0,2.0,"Apoiar financeiramente projetos de Extensão Universitária que se enquadrem como ações de Extensão – Ações Afirmativas, descritas a seguir;",,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,9.0,1.0,b.,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,9.0,2.0,"Fomentar as atividades de extensão que valorizem as ações afirmativas destinadas à valorização da população negra em parceria com coletivos, quilombos, movimento negro e demais setores relacionados com a temática;",,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,10.0,1.0,c.,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,10.0,2.0,Fomentar a formação cidadã e compromissada de estudantes da UNICAMP por meio de atividades extensionistas dialógicas externas e internas à Universidade;,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,11.0,1.0,d.,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,11.0,2.0,"Fomentar as atividades de extensão e valorizar os docentes, discentes e funcionários que delas participem;",,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,12.0,1.0,e.,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,12.0,2.0,"Incentivar ações com Escolas, especialmente públicas, que promovam a participação dos estudantes de Campinas e região em nossos processos de seleção na graduação e nos Colégios Técnicos e que este tipo de iniciativa seja realizado por vários membros da comunidade, mas com ênfase nos membros de nossa comunidade que já entraram na UNICAMP via políticas de inclusão;",,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,13.0,1.0,f.,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,13.0,2.0,"Gerar soluções destinadas à integração da sociedade civil, externa à Universidade, colaborando tanto com o estabelecimento de políticas públicas amplas quanto com soluções práticas que melhorem a qualidade de vida da população, em particular daquelas em situação de invisibilidade e vulnerabilidade social, valorizando as ações multiplicadoras;",,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,14.0,1.0,g.,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,14.0,2.0,"Propiciar o diálogo e trabalho conjunto com comunidades externas, fomentando a troca de conhecimentos e experiências, capacitando-as para uma vivência cidadã mais digna e completa;",,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,15.0,1.0,h.,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,15.0,2.0,Estabelecer o registro institucional das atividades desenvolvidas e dos resultados alcançados.,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,15.0,3.0,,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,16.0,1.0,Como participar,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,17.0,1.0,"Somente poderão apresentar proposta, nos termos deste Edital, constando como responsáveis: docentes e pesquisadores do quadro da Unicamp e professores e pesquisadores colaboradores, nos termos do artigo 8º, § 2º da Deliberação CONSU-A-24/2003.",,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,17.0,2.0,Os responsáveis não poderão estar em débito com a apresentação da prestação de contas referente a projetos financiados por editais PROEC-PEX (Relatório Técnico Final e/ou Relatório Financeiro).,,,,,,,,,,,,
https://www.dproj.proec.unicamp.br/paginas/acoes-afirmativ,18.0,1.0,"O projeto deve contar, obrigatoriamente, com a participação de alunos regulares, podendo ser de graduação e/ou de pós-graduação da UNICAMP, devidamente identificados.",,,,,,,,,,,,
