Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan
https://www.extecamp.unicamp.br,0.0,1.0,Agora na Extecamp 169 cursos com inscrições abertas.,,,,,,,,,,,,
https://www.extecamp.unicamp.br,1.0,1.0,Faça um curso de extensão.,,,,,,,,,,,,
https://www.extecamp.unicamp.br,1.0,2.0,Amplie suas possibilidades.,,,,,,,,,,,,
https://www.extecamp.unicamp.br,1.0,3.0,Vamos lá?,,,,,,,,,,,,
https://www.extecamp.unicamp.br,2.0,1.0,18 cursos com 360h ou mais para você escolher.,,,,,,,,,,,,
https://www.extecamp.unicamp.br,3.0,1.0,"

 Modalidade Extensão universitária.",,,,,,,,,,,,
https://www.extecamp.unicamp.br,3.0,2.0,Clique e saiba mais.,,,,,,,,,,,,
https://www.extecamp.unicamp.br,3.0,3.0,,,,,,,,,,,,,
https://www.extecamp.unicamp.br,4.0,1.0,Inscreva-se já.,,,,,,,,,,,,
https://www.extecamp.unicamp.br,5.0,1.0,Cursos em Destaque,,,,,,,,,,,,
https://www.extecamp.unicamp.br,6.0,1.0,GESTÃO ESTRATÉGICA DA QUALIDADE - ÊNFASE EM QUALIDADE 4.0,,,,,,,,,,,,
https://www.extecamp.unicamp.br,7.0,1.0,PLANEJAMENTO DE EXPERIMENTOS PARA OTIMIZAÇÃO DE PROCESSOS E PRODUTOS: APLICAÇÃO NA INDÚSTRIA E NA PESQUISA,,,,,,,,,,,,
https://www.extecamp.unicamp.br,8.0,1.0,USO DO MINITAB PARA MELHORIA DE PROCESSOS,,,,,,,,,,,,
https://www.extecamp.unicamp.br,9.0,1.0,MARKETING ORGANIZACIONAL,,,,,,,,,,,,
https://www.extecamp.unicamp.br,10.0,1.0,GESTÃO E ESTRATÉGIA DE EMPRESAS,,,,,,,,,,,,
https://www.extecamp.unicamp.br,11.0,1.0,FINANÇAS CORPORATIVAS,,,,,,,,,,,,
https://www.extecamp.unicamp.br,12.0,1.0,DIREITO E ECONOMIA,,,,,,,,,,,,
https://www.extecamp.unicamp.br,13.0,1.0,CONTROLADORIA E FINANÇAS,,,,,,,,,,,,
https://www.extecamp.unicamp.br,14.0,1.0,BIOPRODUTOS & BIOPROCESSOS,,,,,,,,,,,,
https://www.extecamp.unicamp.br,15.0,1.0,ERGONOMIA,,,,,,,,,,,,
https://www.extecamp.unicamp.br,16.0,1.0,GESTÃO DE PROCESSOS INDUSTRIAIS: CONFIABILIDADE E SEGURANÇA DE PROCESSOS,,,,,,,,,,,,
https://www.extecamp.unicamp.br,17.0,1.0,GESTÃO ESTRATÉGICA DA PRODUÇÃO,,,,,,,,,,,,
https://www.extecamp.unicamp.br,18.0,1.0,Notícias,,,,,,,,,,,,
https://www.extecamp.unicamp.br,19.0,1.0,Os 6 principais benefícios em fazer cursos de extensão,,,,,,,,,,,,
https://www.extecamp.unicamp.br,20.0,1.0,Decreto do governo garante isenção fiscal para semicondutores e inclui energia solar em benefício,,,,,,,,,,,,
https://www.extecamp.unicamp.br,21.0,1.0,Automação e Controle de Processos Industriais e Agroindustriais,,,,,,,,,,,,
https://www.extecamp.unicamp.br,22.0,1.0,Adesão ao Consórcio de Parceiros do Coursera,,,,,,,,,,,,
https://www.extecamp.unicamp.br,23.0,1.0,Banco de Talentos,,,,,,,,,,,,
https://www.extecamp.unicamp.br,24.0,1.0,A Extecamp,,,,,,,,,,,,
https://www.extecamp.unicamp.br,25.0,1.0,Experiência,,,,,,,,,,,,
https://www.extecamp.unicamp.br,26.0,1.0,25 anos auxiliando no desenvolvendo cursos de extensão.,,,,,,,,,,,,
https://www.extecamp.unicamp.br,27.0,1.0,Corpo Docente,,,,,,,,,,,,
https://www.extecamp.unicamp.br,28.0,1.0,Professores renomados em suas áreas de atuação e experiência reconhecida.,,,,,,,,,,,,
https://www.extecamp.unicamp.br,29.0,1.0,Estrutura,,,,,,,,,,,,
https://www.extecamp.unicamp.br,30.0,1.0,"Bibliotecas, laboratórios e todo o apoio necessário para o conhecimento.",,,,,,,,,,,,
https://www.extecamp.unicamp.br,31.0,1.0,5000 cursos,,,,,,,,,,,,
https://www.extecamp.unicamp.br,32.0,1.0,Dispomos de uma ampla gama de cursos distribuídos em todas as áreas do conhecimento.,,,,,,,,,,,,
https://www.extecamp.unicamp.br,33.0,1.0,Banco de Talentos,,,,,,,,,,,,
https://www.extecamp.unicamp.br,34.0,1.0,A necessidade da empresa e o conhecimento adquirido pelo nosso aluno em cursos.,,,,,,,,,,,,
https://www.extecamp.unicamp.br,35.0,1.0,Soluções Corporativas,,,,,,,,,,,,
https://www.extecamp.unicamp.br,36.0,1.0,"Capacitação e atualização de funcionários, ferramentas para a sua empresa.",,,,,,,,,,,,
https://www.extecamp.unicamp.br,37.0,1.0,Precisa de uma ajuda especial?,,,,,,,,,,,,
https://www.extecamp.unicamp.br,38.0,1.0,Ambientes de EAD,,,,,,,,,,,,
https://www.extecamp.unicamp.br,39.0,1.0,Newsletter,,,,,,,,,,,,
https://www.extecamp.unicamp.br,40.0,1.0,Dicas Extecamp,,,,,,,,,,,,
https://www.extecamp.unicamp.br,41.0,1.0,"

                                  Guia Cultural

",,,,,,,,,,,,
https://www.extecamp.unicamp.br,42.0,1.0,Guia Cultural Unicamp,,,,,,,,,,,,
https://www.extecamp.unicamp.br,43.0,1.0,"

                                  Hospedagem

",,,,,,,,,,,,
https://www.extecamp.unicamp.br,44.0,1.0,Dicas de hospedagem,,,,,,,,,,,,
https://www.extecamp.unicamp.br,45.0,1.0,"

                                  Agenda Cultural
                                  

",,,,,,,,,,,,
https://www.extecamp.unicamp.br,46.0,1.0,Confira nossas dicas,,,,,,,,,,,,
https://www.extecamp.unicamp.br,47.0,1.0,"

                                  Fóruns Permanentes
                                  

",,,,,,,,,,,,
https://www.extecamp.unicamp.br,48.0,1.0,Confira a agenda completa,,,,,,,,,,,,
https://www.extecamp.unicamp.br,49.0,1.0,O que é?,,,,,,,,,,,,
https://www.extecamp.unicamp.br,50.0,1.0,Cursos Corporativos,,,,,,,,,,,,
https://www.extecamp.unicamp.br,51.0,1.0,Cursos InCompany,,,,,,,,,,,,
https://www.extecamp.unicamp.br,52.0,1.0,História,,,,,,,,,,,,
https://www.extecamp.unicamp.br,53.0,1.0,Avaliações,,,,,,,,,,,,
https://www.extecamp.unicamp.br,54.0,1.0,Audiência pública discute financiamento da Extensão Universitária na Comissão de Educação da Câmara ,,,,,,,,,,,,
https://www.extecamp.unicamp.br,55.0,1.0,Proec divulga classificac?a?o preliminar do edital de apoio para os Colégios Técnicos,,,,,,,,,,,,
https://www.extecamp.unicamp.br,56.0,1.0,Primeiro Fórum Permanente da série dos 20 anos debate ciência aberta,,,,,,,,,,,,
https://www.extecamp.unicamp.br,57.0,1.0,Domingo no Lago aborda temática do meio ambiente e traz Big Band da Unicamp,,,,,,,,,,,,
https://www.extecamp.unicamp.br,58.0,1.0,ProEC Vídeos,,,,,,,,,,,,
https://www.extecamp.unicamp.br,59.0,1.0,Diretoria de Extensão,,,,,,,,,,,,
https://www.extecamp.unicamp.br,60.0,1.0,Localização,,,,,,,,,,,,
https://www.extecamp.unicamp.br,61.0,1.0,Órgãos,,,,,,,,,,,,
