Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan
https://www.memorialcovid19.unicamp.br/,0.0,1.0,Proteja-se e proteja outras pessoas da Covid-19,,,,,,,,,,,,
https://www.memorialcovid19.unicamp.br/,1.0,1.0,Homenagem: Unicamp lança Memorial Covid,,,,,,,,,,,,
https://www.memorialcovid19.unicamp.br/,2.0,1.0,sobre Covid 19,,,,,,,,,,,,
https://www.memorialcovid19.unicamp.br/,3.0,1.0,Histórico da pandemia de COVID-19,,,,,,,,,,,,
https://www.memorialcovid19.unicamp.br/,4.0,1.0,Informação,,,,,,,,,,,,
https://www.memorialcovid19.unicamp.br/,5.0,1.0,Ajudamos a se proteger da Covid-19,,,,,,,,,,,,
https://www.memorialcovid19.unicamp.br/,6.0,1.0,"

						Proteção					
",,,,,,,,,,,,
https://www.memorialcovid19.unicamp.br/,7.0,1.0,"

						Sintomas					
",,,,,,,,,,,,
https://www.memorialcovid19.unicamp.br/,8.0,1.0,"

						Prevenção					
",,,,,,,,,,,,
https://www.memorialcovid19.unicamp.br/,9.0,1.0,"

						Transmissão					
",,,,,,,,,,,,
https://www.memorialcovid19.unicamp.br/,10.0,1.0,Covid-19 sintomas,,,,,,,,,,,,
https://www.memorialcovid19.unicamp.br/,11.0,1.0,Sintomas de Covid-19,,,,,,,,,,,,
https://www.memorialcovid19.unicamp.br/,12.0,1.0,"

						Febre alta					
",,,,,,,,,,,,
https://www.memorialcovid19.unicamp.br/,13.0,1.0,"

						Tosse					
",,,,,,,,,,,,
https://www.memorialcovid19.unicamp.br/,14.0,1.0,"

						Dor de garganta					
",,,,,,,,,,,,
https://www.memorialcovid19.unicamp.br/,15.0,1.0,"

						Náusea e vômito					
",,,,,,,,,,,,
https://www.memorialcovid19.unicamp.br/,16.0,1.0,"

						Dor de cabeça					
",,,,,,,,,,,,
https://www.memorialcovid19.unicamp.br/,17.0,1.0,"

						Diarréia					
",,,,,,,,,,,,
