Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan
https://www.casadolago.proec.unicamp.br/,0.0,1.0,Aulas Práticas de CAPOEIRA,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,1.0,1.0,Sobre a Casa do Lago,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,2.0,1.0,Acontece,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,3.0,1.0,Domino no Lago de 04 de junho vem aí!,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,4.0,1.0,"Performance ""Duplos"" acontece na Casa do Lago dia 01 de junho",,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,5.0,1.0,Chamada para Exposições Artísticas na Casa do Lago,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,6.0,1.0,IX EREDS SUDESTE,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,7.0,1.0,Audiência pública discute financiamento da Extensão Universitária na Comissão de Educação da Câmara ,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,8.0,1.0,Proec divulga classificação preliminar do edital de apoio para os Colégios Técnicos,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,9.0,1.0,Primeiro Fórum Permanente da série dos 20 anos debate ciência aberta,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,10.0,1.0,Domingo no Lago aborda temática do meio ambiente e traz Big Band da Unicamp,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,11.0,1.0,ProEC Vídeos,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,12.0,1.0,Casa do Lago,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,13.0,1.0,Localização,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,14.0,1.0,Conecte-se,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,15.0,1.0,"Aberto para todos os níveis (iniciante, intermediário e avançado)",,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,16.0,1.0,"O Espaço Cultural Casa do Lago é um órgão da Diretoria de Cultura, da Pró-reitoria de Extensão e Cultura, da Universidade Estadual de Campinas, cuja missão é estimular as produções artísticas e culturais e os projetos de extensão da comunidade universitária – formada por docentes, discentes, técnico-administrativos e pesquisadores – nas mais diversas vertentes da cultura, aqui entendida em sua forma mais abrangente.",,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,16.0,2.0,"Com isso, proporcionar à comunidade eventos relevantes e de qualidade, democratizando e ampliando cada vez mais o acesso à cultura, incentivando e difundindo as diversas linguagens e tendências artísticas",,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,17.0,1.0,A Diretoria de Cultura da Pró-Reitoria de Extensão e Assuntos Comunitários da Unicamp compreende a cultura como parte estruturante da sociedade.,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,18.0,1.0,Fique por dentro de nossas atividades,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,19.0,1.0,NOTÍCIA,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,20.0,1.0,Publicado em 29/05/2023,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,21.0,1.0,NOTÍCIA,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,22.0,1.0,Publicado em 26/05/2023,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,23.0,1.0,NOTÍCIA,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,24.0,1.0,Publicado em 24/05/2023,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,25.0,1.0,NOTÍCIA,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,26.0,1.0,Publicado em 23/05/2023,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,27.0,1.0,PROEC,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,28.0,1.0,26/05/2023,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,29.0,1.0,PROEC,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,30.0,1.0,30/05/2023,,,,,,,,,,,,
https://www.casadolago.proec.unicamp.br/,31.0,1.0,PROEC,,,,,,,,,,,,
