Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan
https://www.proec.unicamp.br/,0.0,1.0,"Fernando Coelho, pró-reitor de Extensão e Cultura da Unicamp, sugere definição de orçamento e planejamento federal ",,,,,,,,,,,,
https://www.proec.unicamp.br/,1.0,1.0,"Em 2021, a Unicamp entrou  em terceiro lugar na lista das universidades com melhor reputação do mundo, de acordo com o ranking Times Higher Education (THE) World Reputation.",,,,,,,,,,,,
https://www.proec.unicamp.br/,1.0,2.0,"Essa conquista aumenta a responsabilidade social desta instituição pública, tanto por meio da formação de profissionais altamente qualificados quanto no desenvolvimento de projetos que promovam interação entre a academia e a sociedade.",,,,,,,,,,,,
https://www.proec.unicamp.br/,2.0,1.0,"Na Unicamp, a Pró Reitoria de Extensão e Cultura tem como missão coordenar e estimular atividades e projetos de Extensão e Cultura que, por meio do diálogo e da multidisciplinaridade, tenham aplicação contínua em comunidades não somente da Região Metropolitana de Campinas (RMC), mas também de vários lugares do Brasil e de outros países.",,,,,,,,,,,,
https://www.proec.unicamp.br/,3.0,1.0,"Com o cuidado de não separar ensino, pesquisa e extensão, a Unicamp constrói tradição de interação com a sociedade, por meio de acordos de cooperação com órgãos do governo e da iniciativa privada.",,,,,,,,,,,,
https://www.proec.unicamp.br/,4.0,1.0,"A extensão promove uma transformação social positiva, realizada por professores, pesquisadores, alunos e colaboradores da Universidade.",,,,,,,,,,,,
https://www.proec.unicamp.br/,5.0,1.0,DESTAQUE,,,,,,,,,,,,
https://www.proec.unicamp.br/,6.0,1.0,Assista aos vídeos produzidos pela ProEC.,,,,,,,,,,,,
https://www.proec.unicamp.br/,7.0,1.0,Fique por dentro de nossas atividades,,,,,,,,,,,,
https://www.proec.unicamp.br/,8.0,1.0,NOTÍCIA,,,,,,,,,,,,
https://www.proec.unicamp.br/,9.0,1.0,Publicado em 29/05/2023,,,,,,,,,,,,
https://www.proec.unicamp.br/,10.0,1.0,NOTÍCIA,,,,,,,,,,,,
https://www.proec.unicamp.br/,11.0,1.0,Publicado em 26/05/2023,,,,,,,,,,,,
https://www.proec.unicamp.br/,12.0,1.0,NOTÍCIA,,,,,,,,,,,,
https://www.proec.unicamp.br/,13.0,1.0,Publicado em 26/05/2023,,,,,,,,,,,,
https://www.proec.unicamp.br/,14.0,1.0,NOTÍCIA,,,,,,,,,,,,
https://www.proec.unicamp.br/,15.0,1.0,Publicado em 17/05/2023,,,,,,,,,,,,
https://www.proec.unicamp.br/,16.0,1.0,#SomosPROEC,,,,,,,,,,,,
https://www.proec.unicamp.br/,17.0,1.0,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.,,,,,,,,,,,,
https://www.proec.unicamp.br/,18.0,1.0,Pró-Reitoria de Extensão e Cultura,,,,,,,,,,,,
https://www.proec.unicamp.br/,19.0,1.0,Prof.,,,,,,,,,,,,
https://www.proec.unicamp.br/,19.0,2.0,Dr.,,,,,,,,,,,,
https://www.proec.unicamp.br/,19.0,3.0,Fernando Antônio Santos Coelho,,,,,,,,,,,,
https://www.proec.unicamp.br/,20.0,1.0,"+55 (19) 3521-4741
						proec@unicamp.br",,,,,,,,,,,,
https://www.proec.unicamp.br/,21.0,1.0,"
						Rua da Reitoria, 121
						Cidade Universitária “Zeferino Vaz”
						Barão Geraldo - Unicamp
						13083-872
						Campinas – SP",,,,,,,,,,,,
https://www.proec.unicamp.br/,22.0,1.0,© Pró-Reitoria de Extensão e Cultura.,,,,,,,,,,,,
https://www.proec.unicamp.br/,22.0,2.0,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
",,,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
