Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,0.0,1.0,A Pró-Reitoria de Extensão e Cultura da Unicamp torna público o presente Edital com o objetivo de fomentar projetos de pesquisa sobre extensão universitária.,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,0.0,2.0,O prazo de envio das propostas é 24 de julho de 2020.,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,1.0,1.0,"Considerando a importância da relação universidade-sociedade e o papel da extensão universitária como intermediária dessa relação e considerando o conceito de extensão universitária do Fórum dos Pró-Reitores de Extensão das Universidades Públicas Brasileiras , este edital tem como objetivo adensar e avançar o conhecimento sobre as características, gestão, políticas e práticas da extensão universitária na Unicamp e no Brasil.",,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,2.0,1.0,Este edital valoriza propostas de pesquisa de alto nível que buscam estudar temas como:,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,3.0,1.0,Docentes ou pesquisadores (carreira PQ) da Unicamp podem submeter suas propostas de pesquisas (em português ou inglês) no AQUI,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,4.0,1.0,"O valor total previsto para o presente Edital é de R$ 100.000,00 (Cem Mil Reais), sendo que o valor máximo de cada proposta é de R$ 10.000,00 (Dez mil Reais).",,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,5.0,1.0,O prazo de execução da pesquisa é de até 24 meses.,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,6.0,1.0,"As propostas serão analisadas por meio de processo competitivo de avaliação de mérito, considerando-se sua relevância e o potencial de contribuição para o estudo e divulgação científica da extensão universitária.",,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,7.0,1.0,Cronograma,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,8.0,1.0,Confira o edital completo aqui,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,9.0,1.0,Confira o Relatório do Edital e Resultados aqui,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,10.0,1.0,Comissão de Seleção das propostas submetidas ao Edital,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,11.0,1.0,Dúvidas podem ser enviadas no pesquisaextensao@proec.unicamp.br ,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,12.0,1.0,© Pró-Reitoria de Extensão e Cultura.,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_acoes_ext_pesquisa,12.0,2.0,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
",,,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
