Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan
https://www.proec.unicamp.br/editais_ead,0.0,1.0,SELEÇÃO DE PROJETOS PARA DESENVOLVIMENTO E OFERECIMENTO DE CURSOS DE EXTENSÃO A DISTÂNCIA,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_ead,1.0,1.0,DIVULGAÇÃO DO RESULTADO FINAL,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_ead,2.0,1.0,Relação dos Projetos Classificados após o prazo recursal:,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_ead,3.0,1.0,"Cada professor proponente receberá um email individual, com um link para acessar a avaliação completa e os comentários dos avaliadores referentes ao seu projeto.",,,,,,,,,,,,
https://www.proec.unicamp.br/editais_ead,4.0,1.0,REUNIÃO DE ORIENTAÇÃO - PROGRAME-SE:,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_ead,5.0,1.0,Será realizada uma reunião com os responsáveis pelos projetos contemplados e suas equipes em:,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_ead,6.0,1.0,"Data: 10 de maio de 2021 - terça-feira
          Horário: 14h30 às 16h30
          Local: Educorp - Sala Multiuso 2",,,,,,,,,,,,
https://www.proec.unicamp.br/editais_ead,7.0,1.0,COMPOSIÇÃO DA COMISSÃO AVALIADORA,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_ead,8.0,1.0,ProEC - Pró-Reitoria de Extensão e Cultura,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_ead,9.0,1.0,SELEÇÃO DE PROJETOS PARA DESENVOLVIMENTO E OFERECIMENTO DE CURSOS DE EXTENSÃO A DISTÂNCIA,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_ead,10.0,1.0,DIVULGAÇÃO DO RESULTADO PRELIMINAR,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_ead,11.0,1.0,Relação dos Projetos Classificados antes do prazo recursal:,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_ead,12.0,1.0,"Cada professor proponente receberá um email individual, com um link para acessar a avaliação completa e os comentários dos avaliadores referentes ao seu projeto.",,,,,,,,,,,,
https://www.proec.unicamp.br/editais_ead,13.0,1.0,"A relação definitiva dos Projetos Selecionados só será divulgada após o período de análise dos recursos, conforme Cronograma do Edital.",,,,,,,,,,,,
https://www.proec.unicamp.br/editais_ead,14.0,1.0,PROGRAME-SE,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_ead,15.0,1.0,Será realizada uma reunião com os responsáveis pelos projetos contemplados e suas equipes em:,,,,,,,,,,,,
https://www.proec.unicamp.br/editais_ead,16.0,1.0,"Data: 10 de maio de 2021 - terça-feira
          Horário: 14h30 às 16h30
          Local: Educorp - Sala Multiuso 2",,,,,,,,,,,,
https://www.proec.unicamp.br/editais_ead,17.0,1.0,COMPOSIÇÃO DA COMISSÃO AVALIADORA,,,,,,,,,,,,
