Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan
https://www.proec.unicamp.br/equipe,0.0,1.0,Equipe,,,,,,,,,,,,
https://www.proec.unicamp.br/equipe,1.0,1.0,Quem somos,,,,,,,,,,,,
https://www.proec.unicamp.br/equipe,2.0,1.0,Pró-reitoria,,,,,,,,,,,,
https://www.proec.unicamp.br/equipe,3.0,1.0,Prof.,,,,,,,,,,,,
https://www.proec.unicamp.br/equipe,3.0,2.0,Dr.,,,,,,,,,,,,
https://www.proec.unicamp.br/equipe,3.0,3.0,Fernando Antonio Santos Coelho,,,,,,,,,,,,
https://www.proec.unicamp.br/equipe,4.0,1.0,Assessores,,,,,,,,,,,,
https://www.proec.unicamp.br/equipe,5.0,1.0,Prof.,,,,,,,,,,,,
https://www.proec.unicamp.br/equipe,5.0,2.0,Dr.,,,,,,,,,,,,
https://www.proec.unicamp.br/equipe,5.0,3.0,Marco Aurélio Cremasco,,,,,,,,,,,,
https://www.proec.unicamp.br/equipe,6.0,1.0,Prof.,,,,,,,,,,,,
https://www.proec.unicamp.br/equipe,6.0,2.0,Dr.,,,,,,,,,,,,
https://www.proec.unicamp.br/equipe,6.0,3.0,José Luiz da Costa,,,,,,,,,,,,
https://www.proec.unicamp.br/equipe,7.0,1.0,Assessoria Técnica,,,,,,,,,,,,
https://www.proec.unicamp.br/equipe,8.0,1.0,Simone Cristina Ferreira,,,,,,,,,,,,
https://www.proec.unicamp.br/equipe,9.0,1.0,Assistência Técnica,,,,,,,,,,,,
https://www.proec.unicamp.br/equipe,10.0,1.0,Ana Paula G.,,,,,,,,,,,,
https://www.proec.unicamp.br/equipe,10.0,2.0,Sidoti,,,,,,,,,,,,
https://www.proec.unicamp.br/equipe,11.0,1.0,Projetores Estratégicos,,,,,,,,,,,,
https://www.proec.unicamp.br/equipe,12.0,1.0,Isabel Cristina Araujo Floriano,,,,,,,,,,,,
https://www.proec.unicamp.br/equipe,13.0,1.0,Marcus Lüders,,,,,,,,,,,,
https://www.proec.unicamp.br/equipe,14.0,1.0,Renata França Marangoni,,,,,,,,,,,,
https://www.proec.unicamp.br/equipe,15.0,1.0,Clique aqui para visualizar o histórico de Ex-Pró-Reitores,,,,,,,,,,,,
