Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan
https://www.proec.unicamp.br/extensao48,0.0,1.0,Extensão 48,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,1.0,1.0,Conheça o projeto,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,2.0,1.0,As contribuições da Unicamp para o enfrentamento da pandemia pelos povos indígenas,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,3.0,1.0,Força Tarefa da Unicamp desenvolve reagentes nacionais para realização de testes de Covid-19,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,4.0,1.0,COVID-19 (Libras + Captions),,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,5.0,1.0,Cultura e Esporte,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,6.0,1.0,Capacitação no Processamento de Alimentos - Projeto Extensão - FEA,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,7.0,1.0,Integração e desenvolvimento agrícola através dos canais curtos de alimentação,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,8.0,1.0,EJA Coletivo,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,9.0,1.0,Projeto de Extensão – “Era uma vez”,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,10.0,1.0,Revitalização de línguas indígenas - A identidade de um povo,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,11.0,1.0,Inteligência artificial contra câncer de pele,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,12.0,1.0,Unicamp sedia premiação da Olimpíada de Matemática das Escolas Públicas,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,13.0,1.0,Inovação no Combate das Parasitoses Intestinais,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,14.0,1.0,Material de apoio didático ajuda a preservar e difundir a cultura e história do povo Kalapalo,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,15.0,1.0,Técnica ajuda a refinar o diagnóstico do Alzheimer,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,16.0,1.0,Inclusão para jovens e adultos - (PEIS),,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,17.0,1.0,03/07/2020,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,18.0,1.0,Edição faz parte da série especial que aborda o Coronavírus.,,,,,,,,,,,,
https://www.proec.unicamp.br/extensao48,19.0,1.0,03/06/2020,,,,,,,,,,,,
