Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan
https://www.programa-universidade.unicamp.br/,0.0,1.0,"O Programa UniversIDADE foi criado para proporcionar às pessoas da Comunidade da Unicamp e de Campinas, condições para a preparação do indivíduo em estágio pré-aposentadoria, aposentadoria e pós-aposentadoria, de modo a mantê-las ativa tanto física quanto mentalmente, atendendo as necessidades de prevenção, estimulação e capacitação do desenvolvimento físico e emocional através de atividades interdisciplinares que buscam fomentar os diálogos relacionados à Longevidade e Qualidade de Vida.",,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,1.0,1.0,Fique por dentro de nossas atividades,,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,2.0,1.0,NOTÍCIA,,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,3.0,1.0,Publicado em 15/03/2023,,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,4.0,1.0,NOTÍCIA,,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,5.0,1.0,Publicado em 27/02/2023,,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,6.0,1.0,NOTÍCIA,,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,7.0,1.0,Publicado em 27/02/2023,,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,8.0,1.0,NOTÍCIA,,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,9.0,1.0,Publicado em 17/02/2023,,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,10.0,1.0,PROEC,,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,11.0,1.0,26/05/2023,,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,12.0,1.0,PROEC,,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,13.0,1.0,29/05/2023,,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,14.0,1.0,PROEC,,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,15.0,1.0,26/05/2023,,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,16.0,1.0,PROEC,,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,17.0,1.0,26/05/2023,,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,18.0,1.0,DESTAQUE,,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,19.0,1.0,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.,,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,20.0,1.0,#SomosPROEC,,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,21.0,1.0,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.,,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,22.0,1.0,"Coordenação
						+55 19 3521.4752",,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,23.0,1.0,"Secretaria
						+55 19 3521.8183
            proidade@unicamp.br",,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,24.0,1.0,"Oficinas/eixos
						+55 19 3521.8090
            +55 19 3521.8059
            oficinasuniversidade@unicamp.br",,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,25.0,1.0,"
						Cidade Universitária “Zeferino Vaz”
						Prédio da DGA – Antiga sala do GGUS
						(Ao lado da CIPA e Copa DGA)
						Rua da Reitoria (em frente à Praça das Bandeiras)
						Caixa Postal 6194
						13083-872
						Barão Geraldo - Unicamp
						Campinas – SP",,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,26.0,1.0,© Pró-Reitoria de Extensão e Cultura.,,,,,,,,,,,,
https://www.programa-universidade.unicamp.br/,26.0,2.0,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
",,,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
,,,,,-,,,,,,,,,,
