URL,Paragraph,Sentence
https://www.casadolago.proec.unicamp.br/,0,"Aberto para todos os níveis (iniciante, intermediário e avançado)"
https://www.casadolago.proec.unicamp.br/,1,"O Espaço Cultural Casa do Lago é um órgão da Diretoria de Cultura, da Pró-reitoria de Extensão e Cultura, da Universidade Estadual de Campinas, cuja missão é estimular as produções artísticas e culturais e os projetos de extensão da comunidade universitária – formada por docentes, discentes, técnico-administrativos e pesquisadores – nas mais diversas vertentes da cultura, aqui entendida em sua forma mais abrangente."
https://www.casadolago.proec.unicamp.br/,1,"Com isso, proporcionar à comunidade eventos relevantes e de qualidade, democratizando e ampliando cada vez mais o acesso à cultura, incentivando e difundindo as diversas linguagens e tendências artísticas"
https://www.casadolago.proec.unicamp.br/,2,A Diretoria de Cultura da Pró-Reitoria de Extensão e Assuntos Comunitários da Unicamp compreende a cultura como parte estruturante da sociedade.
https://www.casadolago.proec.unicamp.br/,3,Fique por dentro de nossas atividades
https://www.casadolago.proec.unicamp.br/,4,NOTÍCIA
https://www.casadolago.proec.unicamp.br/,5,Publicado em 29/05/2023
https://www.casadolago.proec.unicamp.br/,6,NOTÍCIA
https://www.casadolago.proec.unicamp.br/,7,Publicado em 26/05/2023
https://www.casadolago.proec.unicamp.br/,8,NOTÍCIA
https://www.casadolago.proec.unicamp.br/,9,Publicado em 24/05/2023
https://www.casadolago.proec.unicamp.br/,10,NOTÍCIA
https://www.casadolago.proec.unicamp.br/,11,Publicado em 23/05/2023
https://www.casadolago.proec.unicamp.br/,12,PROEC
https://www.casadolago.proec.unicamp.br/,13,26/05/2023
https://www.casadolago.proec.unicamp.br/,14,PROEC
https://www.casadolago.proec.unicamp.br/,15,29/05/2023
https://www.casadolago.proec.unicamp.br/,16,PROEC
https://www.casadolago.proec.unicamp.br/,17,26/05/2023
https://www.casadolago.proec.unicamp.br/,18,PROEC
https://www.casadolago.proec.unicamp.br/,19,26/05/2023
https://www.casadolago.proec.unicamp.br/,20,DESTAQUE
https://www.casadolago.proec.unicamp.br/,21,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.
https://www.casadolago.proec.unicamp.br/,22,#SomosPROEC
https://www.casadolago.proec.unicamp.br/,23,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
https://www.casadolago.proec.unicamp.br/,24,Espaço Cultural Casa do Lago
https://www.casadolago.proec.unicamp.br/,25,Coordenação - Silvana Di Blasio
https://www.casadolago.proec.unicamp.br/,26,+55 19 3521-1708 / 1-7017
https://www.casadolago.proec.unicamp.br/,27,casadolago@unicamp.br
https://www.casadolago.proec.unicamp.br/,28,Av.
https://www.casadolago.proec.unicamp.br/,28,"Érico Veríssimo, 1011
						Cidade Universitária Zeferino Vaz
						13083-851
						Campinas–SP
						Brasil"
https://www.casadolago.proec.unicamp.br/,29,© Pró-Reitoria de Extensão e Cultura.
https://www.casadolago.proec.unicamp.br/,29,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
