URL,Paragraph,Sentence
https://www.cdc.proec.unicamp.br/,0,"O Centro de Convenções da Unicamp é um espaço para a realização de atividades acadêmicas e culturais, visando a promoção do debate e da disseminação do pensamento."
https://www.cdc.proec.unicamp.br/,1,"É gerido por uma equipe multiprofissional que desenvolve e coordena ações de apoio logístico, técnico, tecnológico e administrativo, assessorando e prestando consultoria aos organizadores dos eventos, sejam eles da comunidade universitária ou externos à Universidade."
https://www.cdc.proec.unicamp.br/,2,É um espaço criado para permitir a interlocução qualificada das atividades acadêmicas com pessoas e/ou instituições das diferentes comunidades com as quais a Unicamp se relaciona.
https://www.cdc.proec.unicamp.br/,3,Fique por dentro de nossas atividades
https://www.cdc.proec.unicamp.br/,4,EVENTO
https://www.cdc.proec.unicamp.br/,5,Publicado em 17/04/2023
https://www.cdc.proec.unicamp.br/,6,EVENTO
https://www.cdc.proec.unicamp.br/,7,Publicado em 12/04/2023
https://www.cdc.proec.unicamp.br/,8,EVENTO
https://www.cdc.proec.unicamp.br/,9,Publicado em 10/04/2023
https://www.cdc.proec.unicamp.br/,10,EVENTO
https://www.cdc.proec.unicamp.br/,11,Publicado em 10/04/2023
https://www.cdc.proec.unicamp.br/,12,PROEC
https://www.cdc.proec.unicamp.br/,13,26/05/2023
https://www.cdc.proec.unicamp.br/,14,PROEC
https://www.cdc.proec.unicamp.br/,15,29/05/2023
https://www.cdc.proec.unicamp.br/,16,PROEC
https://www.cdc.proec.unicamp.br/,17,26/05/2023
https://www.cdc.proec.unicamp.br/,18,PROEC
https://www.cdc.proec.unicamp.br/,19,26/05/2023
https://www.cdc.proec.unicamp.br/,20,DESTAQUE
https://www.cdc.proec.unicamp.br/,21,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.
https://www.cdc.proec.unicamp.br/,22,#SomosPROEC
https://www.cdc.proec.unicamp.br/,23,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
https://www.cdc.proec.unicamp.br/,24,"Rua Elis Regina, 131
						Cidade Universitária “Zeferino Vaz”
						Barão Geraldo - Unicamp
						13083-854
						Campinas – SP"
https://www.cdc.proec.unicamp.br/,25,"Avenida Érico Veríssimo, 500
						Cidade Universitária “Zeferino Vaz”
						Barão Geraldo - Unicamp
						13083-851
						Campinas – SP"
https://www.cdc.proec.unicamp.br/,26,"› Espaço Cultural Casa do Lago
› CIS-Guanabara
› Ginásio Multidisciplinar
› Museu de Artes Visuais
› Museu Exploratório de Ciências
› Programa Fóruns Permanentes"
https://www.cdc.proec.unicamp.br/,27,© Pró-Reitoria de Extensão e Cultura.
https://www.cdc.proec.unicamp.br/,27,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
