URL,Paragraph,Sentence
https://www.conext.proec.unicamp.br/,0,As ações de extensão universitária são concebidas como prática acadêmica que integra o ensino e a pesquisa de forma indissociável e viabiliza a relação transformadora entre a Universidade e a sociedade.
https://www.conext.proec.unicamp.br/,1,"Criado através da Deliberação CEPE-A-15/2020, o Conselho Executivo de Extensão (CONEXT), tem competência para manifestar-se sobre os assuntos que envolvam as atividades de Extensão Universitária."
https://www.conext.proec.unicamp.br/,2,A Pró-Reitoria de Extensão e Cultura tem como missão coordenar e estimular atividades e projetos de Extensão e Cultura.
https://www.conext.proec.unicamp.br/,3,PROEC
https://www.conext.proec.unicamp.br/,4,26/05/2023
https://www.conext.proec.unicamp.br/,5,PROEC
https://www.conext.proec.unicamp.br/,6,29/05/2023
https://www.conext.proec.unicamp.br/,7,PROEC
https://www.conext.proec.unicamp.br/,8,26/05/2023
https://www.conext.proec.unicamp.br/,9,PROEC
https://www.conext.proec.unicamp.br/,10,26/05/2023
https://www.conext.proec.unicamp.br/,11,DESTAQUE
https://www.conext.proec.unicamp.br/,12,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.
https://www.conext.proec.unicamp.br/,13,#SomosPROEC
https://www.conext.proec.unicamp.br/,14,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
https://www.conext.proec.unicamp.br/,15,Presidente
https://www.conext.proec.unicamp.br/,16,Prof.
https://www.conext.proec.unicamp.br/,16,Dr.
https://www.conext.proec.unicamp.br/,16,Fernando Augusto de Almeida Hashimoto
https://www.conext.proec.unicamp.br/,17,"+55 19 3521-4741
						+55 19 3521-4902"
https://www.conext.proec.unicamp.br/,18,"
						Rua da Reitoria, 121
						Cidade Universitária “Zeferino Vaz”
						Barão Geraldo - Unicamp
						13083-872
						Campinas – SP"
https://www.conext.proec.unicamp.br/,19,"
						Na Unicamp, a Pró Reitoria de Extensão e Cultura tem como missão coordenar e estimular atividades e projetos de Extensão e Cultura que, por meio do diálogo e da interatividade, tenham aplicação contínua em comunidades não somente da Região Metropolitana de Campinas (RMC), mas também de vários lugares do Brasil e de outros países."
https://www.conext.proec.unicamp.br/,19,
https://www.conext.proec.unicamp.br/,20,© Pró-Reitoria de Extensão e Cultura.
https://www.conext.proec.unicamp.br/,20,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
