URL,Paragraph,Sentence
https://www.proec.unicamp.br/extensao48,0,03/07/2020
https://www.proec.unicamp.br/extensao48,1,Edição faz parte da série especial que aborda o Coronavírus.
https://www.proec.unicamp.br/extensao48,2,03/06/2020
https://www.proec.unicamp.br/extensao48,3,Segunda edição da série Extensão 48 - Coronavírus aborda pesquisas realizadas no Instituto de Biologia (IB).
https://www.proec.unicamp.br/extensao48,4,05/05/2020
https://www.proec.unicamp.br/extensao48,5,A série Extensão 48 - Coronavirus é uma produção da Diretoria de Comunicação da Pro-reitoria de Extensão e Cultura.
https://www.proec.unicamp.br/extensao48,6,28/11/2019
https://www.proec.unicamp.br/extensao48,7,Extensão 48 aborda Projeto da FEF - UNICAMP
https://www.proec.unicamp.br/extensao48,8,28/11/2019
https://www.proec.unicamp.br/extensao48,9,Capacitação de Produtoras Rurais para o Processamento de Alimentos oriundos da Agricultura Familiar.
https://www.proec.unicamp.br/extensao48,10,01/11/2019
https://www.proec.unicamp.br/extensao48,11,Extensão 48 aborda projeto da Feagri junto à comunidade agrícola do acampamento Elizabeth Teixeira.
https://www.proec.unicamp.br/extensao48,12,01/11/2019
https://www.proec.unicamp.br/extensao48,13,Extensão 48 aborda educação popular de funcionários terceirizados junto a estudantes da Unicamp.
https://www.proec.unicamp.br/extensao48,14,04/10/2019
https://www.proec.unicamp.br/extensao48,15,Extensão 48 aborda a utilização da linguagem de programação no ensino de crianças e jovens.
https://www.proec.unicamp.br/extensao48,16,03/09/2019
https://www.proec.unicamp.br/extensao48,17,Grupo de pesquisa do IEL atua com as comunidades Indígenas no processo de revitalização dessas línguas.
https://www.proec.unicamp.br/extensao48,18,22/08/2019
https://www.proec.unicamp.br/extensao48,19,Extensão 48 aborda avanços no diagnóstico de melanoma.
https://www.proec.unicamp.br/extensao48,20,01/08/2019
https://www.proec.unicamp.br/extensao48,21,A cerimônia de premiação de 254 medalhistas da Olimpíada Brasileira de Matemática das Escolas Públicas.
https://www.proec.unicamp.br/extensao48,22,18/07/2019
https://www.proec.unicamp.br/extensao48,23,Diagnóstico validado em escolas desde 2010 deve chegar à sociedade no segundo semestre.
https://www.proec.unicamp.br/extensao48,24,18/06/2019
https://www.proec.unicamp.br/extensao48,25,Projeto realizado há mais de dez anos auxilia na disseminação da cultura local.
https://www.proec.unicamp.br/extensao48,26,03/06/2019
https://www.proec.unicamp.br/extensao48,27,Método desenvolvido no IC-Unicamp utiliza rede neural para processar e analisar imagens do cérebro feitas por ressonância magnética.
https://www.proec.unicamp.br/extensao48,28,26/04/2019
https://www.proec.unicamp.br/extensao48,29,Projeto Educativo de Integração Social reintegra adultos ao universo dos estudos.
https://www.proec.unicamp.br/extensao48,30,© Pró-Reitoria de Extensão e Cultura.
https://www.proec.unicamp.br/extensao48,30,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
