URL,Paragraph,Sentence
https://www.proec.unicamp.br/noticias,0,PROEC
https://www.proec.unicamp.br/noticias,1,"Fernando Coelho, pró-reitor de Extensão e Cultura da Unicamp, sugere definição de orçamento e planejamento federal "
https://www.proec.unicamp.br/noticias,2,PROEC
https://www.proec.unicamp.br/noticias,3,"O evento aconteceu na última quarta-feira (24), no Instituto de Biologia (IB) da Unicamp"
https://www.proec.unicamp.br/noticias,4,PROEC
https://www.proec.unicamp.br/noticias,5,"Com apoio da Proec, o projeto pretende criar núcleos em entidades da região"
https://www.proec.unicamp.br/noticias,6,PROEC
https://www.proec.unicamp.br/noticias,7,O evento acontece de 1º a 14 de junho com mais de 100 filmes no catálogo
https://www.proec.unicamp.br/noticias,8,© Pró-Reitoria de Extensão e Cultura.
https://www.proec.unicamp.br/noticias,8,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
