URL,Paragraph,Sentence
https://www.proec.unicamp.br/noticias/forcult-lanca-programa-corredor-cultural-nacional-e-divulga-edital-para-concurso-de-fotografia-1,0,Publicado em 24/05/2023 por PROEC
https://www.proec.unicamp.br/noticias/forcult-lanca-programa-corredor-cultural-nacional-e-divulga-edital-para-concurso-de-fotografia-1,1,"Temática do concurso é o Patrimônio Cultural Brasileiro, e inscrições acontecem até o dia 17 de julho"
https://www.proec.unicamp.br/noticias/forcult-lanca-programa-corredor-cultural-nacional-e-divulga-edital-para-concurso-de-fotografia-1,2,O Fórum de Gestão Cultural das Instituições Públicas de Ensino Superior Brasileiras (FORCULT) lançou na última quarta-feira (17) o Programa Corredor Cultural Nacional.
https://www.proec.unicamp.br/noticias/forcult-lanca-programa-corredor-cultural-nacional-e-divulga-edital-para-concurso-de-fotografia-1,2,"Inspirado no Corredor Cultural FORPROEX Sudeste, que aconteceu no periodo de 2016 a 2019, além de outras iniciativas que acontecem em outras regiões brasileiras, o novo programa se expande para todo o território nacional com o intuito de promover o intercâmbio de produções artísticas e culturais entre as Instituições Públicas de Ensino Superior (IPES)."
https://www.proec.unicamp.br/noticias/forcult-lanca-programa-corredor-cultural-nacional-e-divulga-edital-para-concurso-de-fotografia-1,3,"Presidente do FORCULT, o servidor da Unicamp Fabio Cerqueira participou do evento de lançamento, e destacou a importância da circulação das produções artísticas na complementação da formação dos estudantes das universidades brasileiras, bem como na promoção da cultura em seu caráter extensionista."
https://www.proec.unicamp.br/noticias/forcult-lanca-programa-corredor-cultural-nacional-e-divulga-edital-para-concurso-de-fotografia-1,4,"A primeira ação do novo programa é o II Concurso de Fotografia: Patrimônio Cultural Brasileiro, que pretende identificar imagens referentes à situação atual do patrimônio cultural brasileiro, de forma a incentivar a produção artística, a reflexão sobre a importância do zelo e da importância da conservação deste patrimônio, colaborando com a dissiminação do tema."
https://www.proec.unicamp.br/noticias/forcult-lanca-programa-corredor-cultural-nacional-e-divulga-edital-para-concurso-de-fotografia-1,4,O edital do Concurso pode ser acessado AQUI.
https://www.proec.unicamp.br/noticias/forcult-lanca-programa-corredor-cultural-nacional-e-divulga-edital-para-concurso-de-fotografia-1,4,"Veja abaixo mais informações, e o link para inscrição no Concurso."
https://www.proec.unicamp.br/noticias/forcult-lanca-programa-corredor-cultural-nacional-e-divulga-edital-para-concurso-de-fotografia-1,5,--
https://www.proec.unicamp.br/noticias/forcult-lanca-programa-corredor-cultural-nacional-e-divulga-edital-para-concurso-de-fotografia-1,6,Público Alvo
https://www.proec.unicamp.br/noticias/forcult-lanca-programa-corredor-cultural-nacional-e-divulga-edital-para-concurso-de-fotografia-1,7,"As inscrições para o concurso estão abertas a discentes, docentes, técnicos administrativos e colaboradores(as) (ex: estagiários(as), terceirizados(as), etc.) das Instituições Públicas de Ensino Superior (IPES) participantes do Programa Corredor Cultural Nacional – Edição 2023."
https://www.proec.unicamp.br/noticias/forcult-lanca-programa-corredor-cultural-nacional-e-divulga-edital-para-concurso-de-fotografia-1,8,Vagas
https://www.proec.unicamp.br/noticias/forcult-lanca-programa-corredor-cultural-nacional-e-divulga-edital-para-concurso-de-fotografia-1,9,"Não haverá limite de inscrições por IPES, mas cada autor(a) poderá apresentar somente uma fotografia."
https://www.proec.unicamp.br/noticias/forcult-lanca-programa-corredor-cultural-nacional-e-divulga-edital-para-concurso-de-fotografia-1,10,Inscrições
https://www.proec.unicamp.br/noticias/forcult-lanca-programa-corredor-cultural-nacional-e-divulga-edital-para-concurso-de-fotografia-1,11,As inscrições serão realizadas por meio do formulário disponível neste link: https://forms.gle/z1Z7AbqQCvj4W6XY6.
https://www.proec.unicamp.br/noticias/forcult-lanca-programa-corredor-cultural-nacional-e-divulga-edital-para-concurso-de-fotografia-1,11,
https://www.proec.unicamp.br/noticias/forcult-lanca-programa-corredor-cultural-nacional-e-divulga-edital-para-concurso-de-fotografia-1,12,Cronograma
https://www.proec.unicamp.br/noticias/forcult-lanca-programa-corredor-cultural-nacional-e-divulga-edital-para-concurso-de-fotografia-1,13,Submissão finaliza no dia 17/07/2023Avaliação das fotografias pela comissão técnica: 24/07/2023 a 14/08/2023Júri popular no Instagram: 23/08/2023 a 08/10/2023Divulgação do resultado: 09/10/2023Exposição presencial nas IPES: 13/11/2023 a 22/12/2023Calendário com as 12 fotos premiadas (PDF): 01/03/2024
https://www.proec.unicamp.br/noticias/forcult-lanca-programa-corredor-cultural-nacional-e-divulga-edital-para-concurso-de-fotografia-1,14, 
https://www.proec.unicamp.br/noticias/forcult-lanca-programa-corredor-cultural-nacional-e-divulga-edital-para-concurso-de-fotografia-1,15,Publicado originalmente em DCult: FORCULT lança Programa Corredor Cultural Nacional e divulga edital para concurso de fotografia.
https://www.proec.unicamp.br/noticias/forcult-lanca-programa-corredor-cultural-nacional-e-divulga-edital-para-concurso-de-fotografia-1,16,© Pró-Reitoria de Extensão e Cultura.
https://www.proec.unicamp.br/noticias/forcult-lanca-programa-corredor-cultural-nacional-e-divulga-edital-para-concurso-de-fotografia-1,16,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
