URL,Paragraph,Sentence
https://www.proec.unicamp.br/noticias/parceiras-entre-unicamp-e-universidade-zumbi-dos-palmares-sao-tema-de-reuniao-na-proec,0,Publicado em 22/05/2023 por PROEC
https://www.proec.unicamp.br/noticias/parceiras-entre-unicamp-e-universidade-zumbi-dos-palmares-sao-tema-de-reuniao-na-proec,1,"O pró-reitor de Extensão e Cultura, Fernando Coelho, recebeu Raphael Vicente"
https://www.proec.unicamp.br/noticias/parceiras-entre-unicamp-e-universidade-zumbi-dos-palmares-sao-tema-de-reuniao-na-proec,2,Texto: Laurie Oliveira e Gabriela Villen  l Fotos: José Irani  l Edição de Imagem: Eli J.
https://www.proec.unicamp.br/noticias/parceiras-entre-unicamp-e-universidade-zumbi-dos-palmares-sao-tema-de-reuniao-na-proec,2,Machado
https://www.proec.unicamp.br/noticias/parceiras-entre-unicamp-e-universidade-zumbi-dos-palmares-sao-tema-de-reuniao-na-proec,3,"Na última quinta-feira (18), o pró-reitor de Extensão e Cultura da Unicamp, Fernando Coelho, recebeu o coordenador geral da Universidade Zumbi dos Palmares, ​​Raphael Vicente, para discutir possíveis projetos conjuntos entre as duas instituições."
https://www.proec.unicamp.br/noticias/parceiras-entre-unicamp-e-universidade-zumbi-dos-palmares-sao-tema-de-reuniao-na-proec,3,"Entre as temáticas levantadas estão o combate ao racismo, o empreendedorismo social, e a inserção do jovem negro no mercado de trabalho."
https://www.proec.unicamp.br/noticias/parceiras-entre-unicamp-e-universidade-zumbi-dos-palmares-sao-tema-de-reuniao-na-proec,4," ""A Unicamp é uma parceira muito importante nos nossos projetos."
https://www.proec.unicamp.br/noticias/parceiras-entre-unicamp-e-universidade-zumbi-dos-palmares-sao-tema-de-reuniao-na-proec,4,"Queremos entender onde podemos estar mais próximos, cooperando e aprofundando nosso trabalho, como foi com o projeto Segurança do Futuro, entre tantas outras parcerias"", ressaltou Vicente."
https://www.proec.unicamp.br/noticias/parceiras-entre-unicamp-e-universidade-zumbi-dos-palmares-sao-tema-de-reuniao-na-proec,4,
https://www.proec.unicamp.br/noticias/parceiras-entre-unicamp-e-universidade-zumbi-dos-palmares-sao-tema-de-reuniao-na-proec,5,"Segundo Fernando Coelho, a reunião foi uma ótima oportunidade para estreitar as relações institucionais."
https://www.proec.unicamp.br/noticias/parceiras-entre-unicamp-e-universidade-zumbi-dos-palmares-sao-tema-de-reuniao-na-proec,5,"""A Universidade Zumbi dos Palmares é uma parceira importante, sobretudo naquilo que  representa, como um símbolo de engajamento na luta contra o racismo social e estrutural, e o empreendedorismo social"", destacou."
https://www.proec.unicamp.br/noticias/parceiras-entre-unicamp-e-universidade-zumbi-dos-palmares-sao-tema-de-reuniao-na-proec,5,
https://www.proec.unicamp.br/noticias/parceiras-entre-unicamp-e-universidade-zumbi-dos-palmares-sao-tema-de-reuniao-na-proec,6, 
https://www.proec.unicamp.br/noticias/parceiras-entre-unicamp-e-universidade-zumbi-dos-palmares-sao-tema-de-reuniao-na-proec,7,© Pró-Reitoria de Extensão e Cultura.
https://www.proec.unicamp.br/noticias/parceiras-entre-unicamp-e-universidade-zumbi-dos-palmares-sao-tema-de-reuniao-na-proec,7,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
