URL,Paragraph,Sentence
https://www.proec.unicamp.br/paginas/logotipos,0,"Atenção: Antes de fazer o download, leia as normas para uso do logotipo da Unicamp no link abaixo."
https://www.proec.unicamp.br/paginas/logotipos,1,https://www.unicamp.br/unicamp/logotipo
https://www.proec.unicamp.br/paginas/logotipos,2,"Disponíveis nos formatos: TIF, DXF, CDR, GIF, JPG, GIF, EPS."
https://www.proec.unicamp.br/paginas/logotipos,3,As imagens abaixo estão em alta definição e para salvá-las clique
https://www.proec.unicamp.br/paginas/logotipos,4,"com o botão direito do mouse sobre a imagem e escolha - ""Salvar imagem como...""."
https://www.proec.unicamp.br/paginas/logotipos,5, 
https://www.proec.unicamp.br/paginas/logotipos,6,
https://www.proec.unicamp.br/paginas/logotipos,7, 
https://www.proec.unicamp.br/paginas/logotipos,8, 
https://www.proec.unicamp.br/paginas/logotipos,9,Logotipos - Pró-Reitoria de Extensão e Cultura - ProEC | Unicamp
https://www.proec.unicamp.br/paginas/logotipos,10, 
https://www.proec.unicamp.br/paginas/logotipos,11,
https://www.proec.unicamp.br/paginas/logotipos,12, 
https://www.proec.unicamp.br/paginas/logotipos,13, 
https://www.proec.unicamp.br/paginas/logotipos,14,
https://www.proec.unicamp.br/paginas/logotipos,15, 
https://www.proec.unicamp.br/paginas/logotipos,16, 
https://www.proec.unicamp.br/paginas/logotipos,17,© Pró-Reitoria de Extensão e Cultura.
https://www.proec.unicamp.br/paginas/logotipos,17,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
