URL,Paragraph,Sentence
https://www.dcom.proec.unicamp.br/,0,⠀⠀⠀⠀⠀⠀
https://www.dcom.proec.unicamp.br/,1,⠀⠀⠀⠀⠀⠀
https://www.dcom.proec.unicamp.br/,2,"A área de Comunicação da ProEC tem como papel principal minimizar a distância entre a Universidade e as comunidades interna e externa da Unicamp, a partir da produção e divulgação de textos e conteúdo audiovisual."
https://www.dcom.proec.unicamp.br/,2,"Entre suas atribuições, está o desenvolvimento de estratégias para disseminar não somente atividades e realizações dos órgãos da Proec, mas também a difusão ampla de projetos de extensão e cultura desenvolvidos por alunos, professores e funcionários da Universidade Estadual de Campinas em todos os setores sociais, inclusive na grande imprensa e nos veículos de comunicação da Unicamp."
https://www.dcom.proec.unicamp.br/,3,Fique por dentro de nossas atividades
https://www.dcom.proec.unicamp.br/,4,NOTÍCIA
https://www.dcom.proec.unicamp.br/,5,Publicado em 02/02/2022
https://www.dcom.proec.unicamp.br/,6,NOTÍCIA
https://www.dcom.proec.unicamp.br/,7,Publicado em 04/11/2021
https://www.dcom.proec.unicamp.br/,8,NOTÍCIA
https://www.dcom.proec.unicamp.br/,9,Publicado em 26/10/2021
https://www.dcom.proec.unicamp.br/,10,NOTÍCIA
https://www.dcom.proec.unicamp.br/,11,Publicado em 29/09/2021
https://www.dcom.proec.unicamp.br/,12,PROEC
https://www.dcom.proec.unicamp.br/,13,19/05/2023
https://www.dcom.proec.unicamp.br/,14,PROEC
https://www.dcom.proec.unicamp.br/,15,31/01/2023
https://www.dcom.proec.unicamp.br/,16,PROEC
https://www.dcom.proec.unicamp.br/,17,14/04/2023
https://www.dcom.proec.unicamp.br/,18,PROEC
https://www.dcom.proec.unicamp.br/,19,26/05/2023
https://www.dcom.proec.unicamp.br/,20,DESTAQUE
https://www.dcom.proec.unicamp.br/,21,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.
https://www.dcom.proec.unicamp.br/,22,#SomosPROEC
https://www.dcom.proec.unicamp.br/,23,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
https://www.dcom.proec.unicamp.br/,24,Diretora de Comunicação
https://www.dcom.proec.unicamp.br/,25,Marilisa de Melo Freire Rossilho
https://www.dcom.proec.unicamp.br/,26,Pró-Reitor de Extensão e Cultura
https://www.dcom.proec.unicamp.br/,27,Prof.
https://www.dcom.proec.unicamp.br/,27,Dr.
https://www.dcom.proec.unicamp.br/,27,Fernando Augusto de Almeida Hashimoto
https://www.dcom.proec.unicamp.br/,28,+55 19 3521-6739
https://www.dcom.proec.unicamp.br/,29,"
						Rua da Reitoria, 121
						Cidade Universitária “Zeferino Vaz”
						Barão Geraldo - Unicamp
						13083-872
						Campinas – SP"
https://www.dcom.proec.unicamp.br/,30,"
						Na Unicamp, a Pró Reitoria de Extensão e Cultura tem como missão coordenar e estimular atividades e projetos de Extensão e Cultura que, por meio do diálogo e da interatividade, tenham aplicação contínua em comunidades não somente da Região Metropolitana de Campinas (RMC), mas também de vários lugares do Brasil e de outros países."
https://www.dcom.proec.unicamp.br/,30,
https://www.dcom.proec.unicamp.br/,31,© Pró-Reitoria de Extensão e Cultura.
https://www.dcom.proec.unicamp.br/,31,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
