URL,Paragraph,Sentence
https://www.dcult.proec.unicamp.br/,0,"Temática do concurso é o Patrimônio Cultural Brasileiro, e inscrições acontecem até o dia 17 de julho"
https://www.dcult.proec.unicamp.br/,1,"A Diretoria de Cultura da Pró-Reitoria de Extensão e Cultura da Unicamp compreende a cultura como parte estruturante da sociedade e, por essa razão, o ambiente acadêmico deve garantir os direitos culturais constitucionais, associados aos demais direitos cidadãos, propiciando a presença de todas as formas de manifestação; a participação ampla de todos os segmentos, independentemente de gênero, raça, etnia, orientação sexual, condição socioeconômica, formação; a participação irrestrita de todas as áreas de conhecimento e a garantia de condições de adaptação e de acessibilidade universal."
https://www.dcult.proec.unicamp.br/,2,Os Fóruns Permanentes foram criados com o objetivo de promover a aproximação entre pensamento acadêmico e sociedade.
https://www.dcult.proec.unicamp.br/,3,Fique por dentro de nossas atividades
https://www.dcult.proec.unicamp.br/,4,NOTÍCIA
https://www.dcult.proec.unicamp.br/,5,Publicado em 22/05/2023
https://www.dcult.proec.unicamp.br/,6,NOTÍCIA
https://www.dcult.proec.unicamp.br/,7,Publicado em 10/05/2023
https://www.dcult.proec.unicamp.br/,8,NOTÍCIA
https://www.dcult.proec.unicamp.br/,9,Publicado em 05/05/2023
https://www.dcult.proec.unicamp.br/,10,NOTÍCIA
https://www.dcult.proec.unicamp.br/,11,Publicado em 20/04/2023
https://www.dcult.proec.unicamp.br/,12,PROEC
https://www.dcult.proec.unicamp.br/,13,19/05/2023
https://www.dcult.proec.unicamp.br/,14,PROEC
https://www.dcult.proec.unicamp.br/,15,31/01/2023
https://www.dcult.proec.unicamp.br/,16,PROEC
https://www.dcult.proec.unicamp.br/,17,14/04/2023
https://www.dcult.proec.unicamp.br/,18,PROEC
https://www.dcult.proec.unicamp.br/,19,26/05/2023
https://www.dcult.proec.unicamp.br/,20,DESTAQUE
https://www.dcult.proec.unicamp.br/,21,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.
https://www.dcult.proec.unicamp.br/,22,#SomosPROEC
https://www.dcult.proec.unicamp.br/,23,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
https://www.dcult.proec.unicamp.br/,24,Diretor Executivo da Diretoria de Cultura
https://www.dcult.proec.unicamp.br/,25,Prof.
https://www.dcult.proec.unicamp.br/,25,Dr.
https://www.dcult.proec.unicamp.br/,25,Cacá Machado
https://www.dcult.proec.unicamp.br/,26,+55 19 3521-1740
https://www.dcult.proec.unicamp.br/,27,dcult@unicamp.br
https://www.dcult.proec.unicamp.br/,28,"Rua Elis Regina, 131
                        Barão Geraldo - Unicamp
                        Cidade Universitária ""Zeferino Vaz""
                        13083-854
                        Campinas–SP"
https://www.dcult.proec.unicamp.br/,29,"› Centro de Convenções
› Espaço Cultural Casa do Lago
› CIS-Guanabara
› Ginásio Multidisciplinar
› Museu de Artes Visuais
› Museu Exploratório de Ciências
"
https://www.dcult.proec.unicamp.br/,30,© Pró-Reitoria de Extensão e Cultura.
https://www.dcult.proec.unicamp.br/,30,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
