URL,Paragraph,Sentence
https://www.dproj.proec.unicamp.br/,0,4º Edital ProEC - PEX 2022
https://www.dproj.proec.unicamp.br/,1,"A Diretoria de Projetos de Extensão (DProj) tem como missão “ser interface entre a comunidade universitária e a sociedade pela interação dialógica, apoiando, produzindo, coordenando e fomentando ações de extensão”."
https://www.dproj.proec.unicamp.br/,2,"Desde a sua criação em 2005, a DProj vivenciou vários desafios, conquistas e testemunhos do desenvolvimento dos projetos e programas de extensão universitária."
https://www.dproj.proec.unicamp.br/,3,"Em continuidade às ações até então desenvolvidas, a partir de 2013 a DProj ampliou as atividades de extensão, por meio de articulação com escolas públicas, comunidades, organizações governamentais e não governamentais (ONGs), assentamentos rurais."
https://www.dproj.proec.unicamp.br/,3,"As atividades são desenvolvidas por professores, funcionários, voluntários e estudantes, em especial os bolsistas de auxilio social do Serviço de Apoio ao Estudante (SAE) da Unicamp."
https://www.dproj.proec.unicamp.br/,4,O crescimento do número de estudantes atendidos nos cursos comunitários extensionistas e o significativo aumento do público participantes das ações de extensão comunitária mostram a consolidação dos projetos e programas desenvolvidos pela DProj.
https://www.dproj.proec.unicamp.br/,5,Fique por dentro de nossas atividades
https://www.dproj.proec.unicamp.br/,6,NOTÍCIA
https://www.dproj.proec.unicamp.br/,7,Publicado em 16/08/2022
https://www.dproj.proec.unicamp.br/,8,NOTÍCIA
https://www.dproj.proec.unicamp.br/,9,Publicado em 16/08/2022
https://www.dproj.proec.unicamp.br/,10,NOTÍCIA
https://www.dproj.proec.unicamp.br/,11,Publicado em 28/06/2022
https://www.dproj.proec.unicamp.br/,12,NOTÍCIA
https://www.dproj.proec.unicamp.br/,13,Publicado em 16/03/2022
https://www.dproj.proec.unicamp.br/,14,PROEC
https://www.dproj.proec.unicamp.br/,15,19/05/2023
https://www.dproj.proec.unicamp.br/,16,PROEC
https://www.dproj.proec.unicamp.br/,17,31/01/2023
https://www.dproj.proec.unicamp.br/,18,PROEC
https://www.dproj.proec.unicamp.br/,19,14/04/2023
https://www.dproj.proec.unicamp.br/,20,PROEC
https://www.dproj.proec.unicamp.br/,21,26/05/2023
https://www.dproj.proec.unicamp.br/,22,DESTAQUE
https://www.dproj.proec.unicamp.br/,23,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.
https://www.dproj.proec.unicamp.br/,24,#SomosPROEC
https://www.dproj.proec.unicamp.br/,25,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
https://www.dproj.proec.unicamp.br/,26,Diretoria de Projetos de Extensão
https://www.dproj.proec.unicamp.br/,27,Responsável: Gislaine Elias Alipio Silveira
https://www.dproj.proec.unicamp.br/,28,"+55 19 3521-4753
					+55 19 3521-2936
					+55 19 3521-4179
					+55 19 3521-1252
					+55 19 3521-2935
"
https://www.dproj.proec.unicamp.br/,29,dprojext@proec.unicamp.br
https://www.dproj.proec.unicamp.br/,30,Av.
https://www.dproj.proec.unicamp.br/,30,"Érico Veríssimo, 500
						Barão Geraldo
						Cidade Universitária
						Unicamp
						13083-851
						Campinas–SP"
https://www.dproj.proec.unicamp.br/,31,"
						Na Unicamp, a Pró Reitoria de Extensão e Cultura tem como missão coordenar e estimular atividades e projetos de Extensão e Cultura que, por meio do diálogo e da interatividade, tenham aplicação contínua em comunidades não somente da Região Metropolitana de Campinas (RMC), mas também de vários lugares do Brasil e de outros países."
https://www.dproj.proec.unicamp.br/,31,
https://www.dproj.proec.unicamp.br/,32,© Pró-Reitoria de Extensão e Cultura.
https://www.dproj.proec.unicamp.br/,32,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
