URL,Paragraph,Sentence
https://www.extecamp.unicamp.br,0,Verifique abaixo nossos cursos em destaque.
https://www.extecamp.unicamp.br,0,Fique atento ao prazo de inscrição dos nossos cursos de extensão e especialização - modalidade extensão universitária.
https://www.extecamp.unicamp.br,1,"Confira nossas novidades, notícias e informações importante sobre os cursos de extensão da UNICAMP."
https://www.extecamp.unicamp.br,2,Notícia
https://www.extecamp.unicamp.br,3,Publicado em 24/04/2023
https://www.extecamp.unicamp.br,4,Notícia
https://www.extecamp.unicamp.br,5,Publicado em 31/03/2023
https://www.extecamp.unicamp.br,6,Notícia
https://www.extecamp.unicamp.br,7,Publicado em 20/03/2023
https://www.extecamp.unicamp.br,8,Notícia
https://www.extecamp.unicamp.br,9,Publicado em 13/12/2022
https://www.extecamp.unicamp.br,10,"Para atender as necessidades das empresas de encontrarem profissionais capacitados no mercado de trabalho nacional, a Extecamp desenvolveu um sistema, totalmente on-line, automatizado e dinâmico."
https://www.extecamp.unicamp.br,10,Ele será capaz de auxiliar o mercado a encontrar o profissional especializado e capacitado da maneira que precisar.
https://www.extecamp.unicamp.br,10,"Este elo será criado com o cruzamento de duas informações essenciais: a necessidade da empresa e o conhecimento adquirido pelo nosso aluno em cursos de extensão e especialização, modalidade extensão universitária oferecidos por nossas faculdades e institutos de ensino."
https://www.extecamp.unicamp.br,11,"Com de mais de 100 mil alunos e 25 anos de história, a Extecamp conta hoje com grandes diferenciais para o seu desenvolvimento profissional e pessoal."
https://www.extecamp.unicamp.br,11,
https://www.extecamp.unicamp.br,12,"Acesse nossa Wiki e conheça os nossos procedimentos, tutoriais, formulários específicos, tire suas dúvidas e muito mais."
https://www.extecamp.unicamp.br,12,
https://www.extecamp.unicamp.br,13,"Acesse aqui nossos ambientes de ensino à distância, feitos sob medida para o seu aprendizado."
https://www.extecamp.unicamp.br,14,"Faça parte de nossos envios, e receba na sua caixa de entrada todas as nossas novidades."
https://www.extecamp.unicamp.br,14,
https://www.extecamp.unicamp.br,15,"É um canal integrado para divulgação de projetos culturais, artísticos e esportivos relativos a Universidade."
https://www.extecamp.unicamp.br,15,
https://www.extecamp.unicamp.br,16,Confira os hóteis próximos a Universidade.
https://www.extecamp.unicamp.br,17, Intercâmbio de experiências dos profissionais e estudantes da Unicamp e profissionais de outras instituições da sociedade.
https://www.extecamp.unicamp.br,17,
https://www.extecamp.unicamp.br,18,Os cursos de extensão e especialização oferecidos pela Escola de Extensão da Unicamp são classificados como cursos de modalidade extensão universitária atendendo a norma CEPE 04/2003.
https://www.extecamp.unicamp.br,18,Nossos cursos não atendem a CNE/CES nº 01 de 06/04/2018.
https://www.extecamp.unicamp.br,19,"Com eles as instituições públicas e privadas poderão ter à sua disposição cursos criados para suas necessidades específicas, bem como personalizar cursos já existentes para que melhor se adequem aos seus propósitos."
https://www.extecamp.unicamp.br,20,A capacitação de funcionários é ação estratatégica importante para o desenvolvimento seguro de empresas e instituições.
https://www.extecamp.unicamp.br,20,Os Cursos In Company são cursos já inseridos no Catálogos de Cursos de Extensão da Unicamp visando a capacitação e/ou aperfeiçoamento dos seus funcionários.
https://www.extecamp.unicamp.br,21,"Dentro do conceito de educação continuada, atendem a um perfil heterogêneo de pessoas."
https://www.extecamp.unicamp.br,21,Desde pessoas para as quais estes cursos são a única possibilidade de ter acesso à Universidade até profissionais que procuram oportunidades para reciclar e atualizar seus conhecimentos em áreas específicas.
