URL,Paragraph,Sentence
https://www.foruns.unicamp.br/,0,Fórum Permanente: Alerta Precoce para a Redução de Risco de Desastres: Um olhar para a Região Metropolitana de Campinas.
https://www.foruns.unicamp.br/,0,
https://www.foruns.unicamp.br/,1,Fórum Permanente: Por uma justiça epistêmica: Encontro de Saberes e outras propostas para descolonização dos currículos.
https://www.foruns.unicamp.br/,1,
https://www.foruns.unicamp.br/,2,"Os Fóruns Permanentes da Unicamp, criados com o objetivo de promover a aproximação entre pensamento acadêmico e sociedade, completam, em 2022, dezenove anos de realização."
https://www.foruns.unicamp.br/,3,"Em 2017, o Programa passou a fazer parte da estrutura da Diretoria de Cultura da Pró-Reitoria de Extensão e Cultura."
https://www.foruns.unicamp.br/,3,Atualmente os Fóruns Permanentes estão ligados diretamente ao Gabinete da Pró-Reitoria de Extensão e Cultura (ProEC).
https://www.foruns.unicamp.br/,4,"A proposta central para a realização de fóruns no ambiente acadêmico é colocar em debate temas atuais e relevantes para a sociedade, buscando possibilidades de transformação."
https://www.foruns.unicamp.br/,4,"Trazer para a discussão especialistas e representantes de instituições, órgãos, associações e outros grupos envolvidos com as temáticas, sejam de áreas públicas, privadas ou da sociedade civil, para que se fortaleça o diálogo entre a pesquisa, o ensino e a sociedade, diálogo esse mediado pela cultura e pela extensão."
https://www.foruns.unicamp.br/,5,Fique por dentro de nossas atividades
https://www.foruns.unicamp.br/,6,EVENTO
https://www.foruns.unicamp.br/,7,Publicado em 24/04/2023
https://www.foruns.unicamp.br/,8,NOTÍCIA
https://www.foruns.unicamp.br/,9,Publicado em 30/03/2023
https://www.foruns.unicamp.br/,10,NOTÍCIA
https://www.foruns.unicamp.br/,11,Publicado em 20/03/2023
https://www.foruns.unicamp.br/,12,NOTÍCIA
https://www.foruns.unicamp.br/,13,Publicado em 26/01/2023
https://www.foruns.unicamp.br/,14,PROEC
https://www.foruns.unicamp.br/,15,19/05/2023
https://www.foruns.unicamp.br/,16,PROEC
https://www.foruns.unicamp.br/,17,31/01/2023
https://www.foruns.unicamp.br/,18,PROEC
https://www.foruns.unicamp.br/,19,14/04/2023
https://www.foruns.unicamp.br/,20,PROEC
https://www.foruns.unicamp.br/,21,26/05/2023
https://www.foruns.unicamp.br/,22,DESTAQUE
https://www.foruns.unicamp.br/,23,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.
https://www.foruns.unicamp.br/,24,#SomosPROEC
https://www.foruns.unicamp.br/,25,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
https://www.foruns.unicamp.br/,26,Programa Fóruns Permanentes
https://www.foruns.unicamp.br/,27,Sônia Maria de Camargo Mazzariol
https://www.foruns.unicamp.br/,28,Estagiário de Administração
https://www.foruns.unicamp.br/,29,Leonardo Reina Fernandes
https://www.foruns.unicamp.br/,30,Estagiária de Relações Públicas
https://www.foruns.unicamp.br/,31,Nicole Alves de Ávila
https://www.foruns.unicamp.br/,32,Pró-Reitor de Extensão e Cultura
https://www.foruns.unicamp.br/,33,Fernando Antônio Santos Coelho
https://www.foruns.unicamp.br/,34,"+55 (19) 3521 5039

						foruns@unicamp.br"
https://www.foruns.unicamp.br/,35,"Rua Sergio Buarque de Holanda, 251
						Prédio do Ciclo Básico II - DLIE - Piso 2
						Sala SI-12 - DLIE
						Cidade Universitária ""Zeferino Vaz""
						13083-859
						UNICAMP
						Campinas–SP"
https://www.foruns.unicamp.br/,36,© Pró-Reitoria de Extensão e Cultura.
https://www.foruns.unicamp.br/,36,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
