URL,Paragraph,Sentence
https://www.mav.unicamp.br/,0,"O Museu de Artes Visuais da Unicamp é uma instituição pública, de caráter permanente, que tem como missão a exposição, conservação, proteção, valorização e ampliação de seu acervo museológico, arquivístico e bibliográfico, de forma a possibilitar a promoção e difusão da educação, pesquisa e do conhecimento em artes visuais."
https://www.mav.unicamp.br/,0,"Tem como acervo inicial um conjunto de cerca de 1.000 obras, que foram doadas pelo Instituto de Artes da Unicamp em 2009."
https://www.mav.unicamp.br/,1,Fique por dentro de nossas atividades
https://www.mav.unicamp.br/,2,NOTÍCIA
https://www.mav.unicamp.br/,3,Publicado em 08/03/2023
https://www.mav.unicamp.br/,4,NOTÍCIA
https://www.mav.unicamp.br/,5,Publicado em 09/09/2022
https://www.mav.unicamp.br/,6,NOTÍCIA
https://www.mav.unicamp.br/,7,Publicado em 01/08/2022
https://www.mav.unicamp.br/,8,NOTÍCIA
https://www.mav.unicamp.br/,9,Publicado em 08/03/2022
https://www.mav.unicamp.br/,10,PROEC
https://www.mav.unicamp.br/,11,19/05/2023
https://www.mav.unicamp.br/,12,PROEC
https://www.mav.unicamp.br/,13,31/01/2023
https://www.mav.unicamp.br/,14,PROEC
https://www.mav.unicamp.br/,15,14/04/2023
https://www.mav.unicamp.br/,16,PROEC
https://www.mav.unicamp.br/,17,26/05/2023
https://www.mav.unicamp.br/,18,DESTAQUE
https://www.mav.unicamp.br/,19,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.
https://www.mav.unicamp.br/,20,#SomosPROEC
https://www.mav.unicamp.br/,21,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
https://www.mav.unicamp.br/,22,Diretora
https://www.mav.unicamp.br/,23,Profa.
https://www.mav.unicamp.br/,23,Dra.
https://www.mav.unicamp.br/,23,Sylvia Helena Furegatti - (IA)
https://www.mav.unicamp.br/,24,Equipe
https://www.mav.unicamp.br/,25,Bolsistas SAE
https://www.mav.unicamp.br/,26,"Guilherme Curti Gomes
Marina Victória Santos de Almeida
Murilo Alves de Paiva
Stephani Lucas Santana
Victor Agra Garcia"
https://www.mav.unicamp.br/,27,"Rua Sergio Buarque de Holanda, 291
						Prédio do Ciclo Básico II - DLIE - Piso 2
						Sala SI-12 - DLIE
						Cidade Universitária ""Zeferino Vaz""
						13083-859
						UNICAMP
						Campinas–SP"
https://www.mav.unicamp.br/,28,"› Centro de Convenções
› Espaço Cultural Casa do Lago
› CIS-Guanabara
› Ginásio Multidisciplinar
› Museu de Artes Visuais
› Museu Exploratório de Ciências
"
https://www.mav.unicamp.br/,29,© Pró-Reitoria de Extensão e Cultura.
https://www.mav.unicamp.br/,29,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
