URL,Paragraph,Sentence
https://www.proec.unicamp.br/noticias,0,PROEC
https://www.proec.unicamp.br/noticias,1,A cerimônia homenageou personalidades que contribuíram historicamente na defesa da liberdade e para o respeito e valorização do negro brasileiro
https://www.proec.unicamp.br/noticias,2,PROEC
https://www.proec.unicamp.br/noticias,3,As propostas devem ser submetidas até dia 16 de junho
https://www.proec.unicamp.br/noticias,4,PROEC
https://www.proec.unicamp.br/noticias,5,O VI Congresso de Extensão da AUGM acontecerá entre os dias 27 e 30 junho
https://www.proec.unicamp.br/noticias,6,PROEC
https://www.proec.unicamp.br/noticias,7,"Com apoio da Proec, o projeto pretende criar núcleos em entidades da região"
https://www.proec.unicamp.br/noticias,8,PROEC
https://www.proec.unicamp.br/noticias,9,"Fernando Coelho, pró-reitor de Extensão e Cultura da Unicamp, sugere definição de orçamento e planejamento federal "
https://www.proec.unicamp.br/noticias,10,PROEC
https://www.proec.unicamp.br/noticias,11,O evento acontece de 1º a 14 de junho com mais de 100 filmes no catálogo
https://www.proec.unicamp.br/noticias,12,© Pró-Reitoria de Extensão e Cultura.
https://www.proec.unicamp.br/noticias,12,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
