URL,Paragraph,Sentence
https://www.proec.unicamp.br/paginas/editalcoltec,0,"A Universidade Estadual de Campinas UNICAMP, por intermédio da Pró-Reitoria de Extensão e Cultura, torna público, no âmbito da Universidade, o 1° Edital de Apoio a Projetos de Extensão PROEC - PEX - Colégios Técnicos - 2023 que se enquadrem no conceito de ações de “Extensão”, coordenados por docentes dos Colégios Técnicos da UNICAMP, de acordo com os critérios e procedimentos dispostos neste edital."
https://www.proec.unicamp.br/paginas/editalcoltec,1,"As atividades de Extensão dos Colégios Técnicos representam um significativo avanço no processo de formação profissional, inclusão e de cidadania, visando ampliar o alcance na comunidade externa do conhecimento científico produzido pela comunidade do Colégio Técnico de Campinas e do Colégio Técnico de Limeira."
https://www.proec.unicamp.br/paginas/editalcoltec,2, 
https://www.proec.unicamp.br/paginas/editalcoltec,3,1.
https://www.proec.unicamp.br/paginas/editalcoltec,3,Objetivos do Edital
https://www.proec.unicamp.br/paginas/editalcoltec,4,"O presente edital visa o apoio financeiro de ações de extensão produzidas nos Colégios Técnicos, coordenadas por docentes desses colégios , cuja execução terá início em 31 de maio de 2023, com duração de 12 (doze meses)."
https://www.proec.unicamp.br/paginas/editalcoltec,5,link para envio de propostas: https://www.extecult.proec.unicamp.br/
https://www.proec.unicamp.br/paginas/editalcoltec,6, 
https://www.proec.unicamp.br/paginas/editalcoltec,7,© Pró-Reitoria de Extensão e Cultura.
https://www.proec.unicamp.br/paginas/editalcoltec,7,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
