URL,Paragraph,Sentence
https://www.rondon.proec.unicamp.br/,0,"Em conformidade com a Portaria Normativa Nº 2.617, de sete de dezembro de 2015, o Projeto Rondon, sob a coordenação do Ministério da Defesa, é conduzido em estreita parceria com o Ministério da Educação, o Ministério do Desenvolvimento Social e Agrário, o Ministério da Saúde, o Ministério do Meio Ambiente, o Ministério da Integração Nacional, o Ministério do Esporte e a Secretaria de Governo da Presidência da República."
https://www.rondon.proec.unicamp.br/,1,"É uma ação interministerial do Governo Federal realizada em coordenação com os Governos Estadual e Municipal que, em parceria com as Instituições de Ensino Superior, reconhecidas pelo Ministério da Educação, visa a somar esforços com as lideranças comunitárias e com a população, a fim de contribuir com o desenvolvimento local sustentável e na construção e promoção da cidadania."
https://www.rondon.proec.unicamp.br/,1,
https://www.rondon.proec.unicamp.br/,2,Fique por dentro de nossas atividades
https://www.rondon.proec.unicamp.br/,3,NOTÍCIA
https://www.rondon.proec.unicamp.br/,4,Publicado em 19/03/2020
https://www.rondon.proec.unicamp.br/,5,PROEC
https://www.rondon.proec.unicamp.br/,6,19/05/2023
https://www.rondon.proec.unicamp.br/,7,PROEC
https://www.rondon.proec.unicamp.br/,8,31/01/2023
https://www.rondon.proec.unicamp.br/,9,PROEC
https://www.rondon.proec.unicamp.br/,10,14/04/2023
https://www.rondon.proec.unicamp.br/,11,PROEC
https://www.rondon.proec.unicamp.br/,12,26/05/2023
https://www.rondon.proec.unicamp.br/,13,DESTAQUE
https://www.rondon.proec.unicamp.br/,14,Fique por dentro dos vídeos e reportagens produzidas pela ProEC.
https://www.rondon.proec.unicamp.br/,15,#SomosPROEC
https://www.rondon.proec.unicamp.br/,16,Conheça todos os órgãos que são parte da Pró-Reitoria de Extensão e Cultura.
https://www.rondon.proec.unicamp.br/,17,Luis Augusto Passoni Ferreira
https://www.rondon.proec.unicamp.br/,18,"+55 19 3521-4179
						rondon@unicamp.br"
https://www.rondon.proec.unicamp.br/,19,"
Pró-Reitoria de Extensão e Cultura
						Rua da Reitoria, 121
						Cidade Universitária “Zeferino Vaz”
						Barão Geraldo - Unicamp
						13083-872
						Campinas – SP"
https://www.rondon.proec.unicamp.br/,20,"
						Na Unicamp, a Pró Reitoria de Extensão e Cultura tem como missão coordenar e estimular atividades e projetos de Extensão e Cultura que, por meio do diálogo e da interatividade, tenham aplicação contínua em comunidades não somente da Região Metropolitana de Campinas (RMC), mas também de vários lugares do Brasil e de outros países."
https://www.rondon.proec.unicamp.br/,20,
https://www.rondon.proec.unicamp.br/,21,© Pró-Reitoria de Extensão e Cultura.
https://www.rondon.proec.unicamp.br/,21,"Desenvolvido por DTIC - Diretoria de Tecnologia da Informação e Comunicação
"
