URL,Paragraph,Sentence
https://www.unicamp.br/,0,
https://www.unicamp.br/,1,Algoritmo reproduz nuances da fala por meio de modulações na tipografia
https://www.unicamp.br/,2,Grupo utiliza técnicas inovadoras para a análise de produtos agrícolas e industrializados
https://www.unicamp.br/,3,Pesquisa avalia relevância de planos diretores e necessidade de adequação do Estatuto da Cidade para pequenos municípios
https://www.unicamp.br/,4,"Organizada pela Unicamp e Instituto Vladimir Herzog, premiação contou com representantes das instituições"
https://www.unicamp.br/,5,
https://www.unicamp.br/,6,Falta de políticas públicas contribui para potencial desastre causado pela seca no semiárido baiano
https://www.unicamp.br/,7,Personagens pouco lembrados e novas interpretações emergem em obra escrita por João Quartim de Moraes e Ligia Osório Silva
https://www.unicamp.br/,8,Obra pretende ser porta de entrada para o ideário de expoente do Iluminismo escocês
https://www.unicamp.br/,9,Cientista social desvela relações que fluem junto ao curso de água
https://www.unicamp.br/,10,Livro de professora da Faculdade de Educação revisita a trajetória de Paulo Freire
https://www.unicamp.br/,11,"Estudo descobre espécies em regiões da Amazônia que, em razão da seca, emitem mais carbono do que acumulam"
https://www.unicamp.br/,12,Série de TV retrata a experiência de profissionais da Unicamp em viagens para a Amazônia em momentos distintos.
https://www.unicamp.br/,12,Duas equipes estiveram em São Gabriel da Cachoeira para a cobertura do Vestibular Indígena em 2018 e 2023.
https://www.unicamp.br/,12,"A outra equipe acompanhou as buscas pelo indigenista Bruno Pereira e pelo jornalista  Dom Phillips, na cidade de Atalaia do Norte, em 2022."
https://www.unicamp.br/,12,Leia a matéria completa
https://www.unicamp.br/,13,
https://www.unicamp.br/,14,
https://www.unicamp.br/,15,
https://www.unicamp.br/,16,"Foram contemplados quatro trabalhos de doutorado defendidos em 2022, nas áreas de Ciências Biológicas e da Saúde; Engenharias e Tecnológicas; Ciências Exatas e da Terra; Ciências Humanas e Artes"
https://www.unicamp.br/,17,"Iniciativa é parte do processo de inclusão da extensão nos currículos de graduação, conforme ​​as exigências do Ministério da Educação "
https://www.unicamp.br/,18,"O reitor Antonio Meirelles disse ter ficado entusiasmado com as iniciativas já implementadas na cidade, especialmente com o distrito inteligente"
https://www.unicamp.br/,19,"
 Seu navegador não suporta o elemento html5 audio."
https://www.unicamp.br/,20,
https://www.unicamp.br/,21,
https://www.unicamp.br/,22,"Com o tema “Uma jornada movida pelo corpo”, mesas redondas, oficinas e palestras, a 14ª edição do evento ocorre, de 29 de maio a 2 de junho, no Instituto de Artes (IA)"
https://www.unicamp.br/,23,"Evento acontece, às 14h, no Auditório da Escola de Educação Corporativa (Educorp)."
https://www.unicamp.br/,23,A Roda de conversa será mediada pelo professor Sandro Tonso e também poderá ser acompanhada on-line
https://www.unicamp.br/,24,Antonio José de Almeida Meirelles falou sobre implementação de programa de bolsas de pós-doutorado para novos doutores.
https://www.unicamp.br/,25,
https://www.unicamp.br/,26,
https://www.unicamp.br/,27,Maria Luiza Moretti
https://www.unicamp.br/,28,Coordenadora-Geral da Universidade
https://www.unicamp.br/,29,
https://www.unicamp.br/,30,Fernando Sarti
https://www.unicamp.br/,31,Pró-reitor de Desenvolvimento Universitário
https://www.unicamp.br/,32,
https://www.unicamp.br/,33,Fernando Antonio Santos Coelho
https://www.unicamp.br/,34,Pró-reitor de Extensão e Assuntos Comunitários
https://www.unicamp.br/,35,
https://www.unicamp.br/,36,Ivan Felizardo Contrera Toro
https://www.unicamp.br/,37,Pró-reitor de Graduação
https://www.unicamp.br/,38,
https://www.unicamp.br/,39,João Marcos Travassos Romano
https://www.unicamp.br/,40,Pró-reitor de Pesquisa
https://www.unicamp.br/,41,
https://www.unicamp.br/,42,Rachel Meneguello
https://www.unicamp.br/,43,Pró-reitora de Pós-Graduação
https://www.unicamp.br/,44,A iniciativa partiu da diretoria devido à necessidade de um cenário maior para as gravações; a revitalização da sala de espera ganhou uma nova identidade visual 
https://www.unicamp.br/,45,Encontro marca um novo processo de aproximação entre a Universidade e instituições de ensino superior do país do Oriente Médio
https://www.unicamp.br/,46,Informações sobre a retomada 
https://www.unicamp.br/,47,Boletim Epidemiológico Covid-19
https://www.unicamp.br/,48,Memorial
https://www.unicamp.br/,49,"Alexandre Carneiro: ""Naipaul pondera que, mais que o talento, contam aí a sorte e 'muito trabalho'; o que, no seu caso, parece evocar também aquilo que os psicanalistas chamam de 'elaboração'"""
https://www.unicamp.br/,50,"José Mário Martínez: ""Em 2019, um grupo de professores da Unicamp descobriu um erro técnico nos argumentos que embasavam a reforma da previdência."""
https://www.unicamp.br/,51,"Um dos maiores biógrafos do Brasil, Lira Neto vem à Unicamp dia 31 de maio; jornalista e escritor que recontou a história de Getúlio Vargas e do samba, de Castello Branco e de Maysa dará palestra sobre 'A arte da biografia'"
https://www.unicamp.br/,52,"Denominada “Na batida do Coração”, a escultura retrata um coração de 1,70 metro de altura por 2,25 metros de comprimento e integrou a exposição itinerante realizada em vários Estados"
https://www.unicamp.br/,53,"A segunda edição do evento, realizada na Unicamp, movimentou o polo cervejeiro da região e todo o setor, premiando os melhores lúpulos do país em 2023"
https://www.unicamp.br/,54,Publicação traz relatos envolvendo povos indígenas e comunidades tradicionais de várias regiões do Brasil e do mundo
https://www.unicamp.br/,55,O que está por trás do desenvolvimento dos anticoncepcionais?
https://www.unicamp.br/,55,O assunto será como esses métodos se modificaram ao longo dos anos.
https://www.unicamp.br/,55,
https://www.unicamp.br/,56,Trata-se de um conceito relevante para a compreensão da economia contemporânea e que possibilitará estabelecer conexões com outros assuntos.
https://www.unicamp.br/,57,
https://www.unicamp.br/,58,© Desde1994 | UNIVERSIDADE ESTADUAL DE CAMPINAS
https://www.unicamp.br/,59, 
https://www.unicamp.br/,60,
https://www.unicamp.br/,61,   Webmail
https://www.unicamp.br/,62,Redes Wi-Fi
https://www.unicamp.br/,63,Carta de Serviços ao Usuário
https://www.unicamp.br/,64,Política de Segurança da Informação 
