Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan
10,1,1,,,-,,,,,,,,,,
10,2,1,,,-,,,,,,,,,,
10,,2,,,-,,,,,,,,,,
10,,3,,,-,,,,,,,,,,
10,,4,,,-,,,,,,,,,,
10,,5,,,-,,,,,,,,,,
10,3,1,,,-,,,,,,,,,,
10,,2,,,-,,,,,,,,,,
10,4,1,,,-,,,,,,,,,,
10,,2,,,-,,,,,,,,,,
10,,3,,,-,,,,,,,,,,
10,,4,,,-,,,,,,,,,,
10,,5,,,-,,,,,,,,,,
10,,6,,,-,,,,,,,,,,
10,,7,,,-,,,,,,,,,,
10,,8,,,-,,,,,,,,,,
11,1,1,,,-,,,,,,,,,,
11,,2,,,-,,,,,,,,,,
11,,3,,,-,,,,,,,,,,
11,,4,,,-,,,,,,,,,,
11,,5,,,-,,,,,,,,,,
11,,6,,,-,,,,,,,,,,
11,2,1,,,-,,,,,,,,,,
11,,2,,,-,,,,,,,,,,
11,,3,,,-,,,,,,,,,,
11,,4,,,-,,,,,,,,,,
12,1,1,,,-,,,,,,,,,,
12,,2,,,-,,,,,,,,,,
12,,3,,,-,,,,,,,,,,
12,,4,,,-,,,,,,,,,,
12,,5,,,-,,,,,,,,,,
12,,6,,,-,,,,,,,,,,
12,2,1,,,-,,,,,,,,,,
12,3,1,,,-,,,,,,,,,,
12,,2,,,-,,,,,,,,,,
12,4,1,,,-,,,,,,,,,,
12,,2,,,-,,,,,,,,,,
12,,3,,,-,,,,,,,,,,
12,,4,,,-,,,,,,,,,,
12,,5,,,-,,,,,,,,,,
12,,6,,,-,,,,,,,,,,
12,,7,,,-,,,,,,,,,,
12,,8,,,-,,,,,,,,,,
12,5,1,,,-,,,,,,,,,,
12,,2,,,-,,,,,,,,,,
12,,3,,,-,,,,,,,,,,
13,1,1,,,-,,,,,,,,,,
13,,2,,,-,,,,,,,,,,
13,,3,,,-,,,,,,,,,,
13,,4,,,-,,,,,,,,,,
13,,5,,,-,,,,,,,,,,
13,2,1,,,-,,,,,,,,,,
13,,2,,,-,,,,,,,,,,
13,3,1,,,-,,,,,,,,,,
13,,2,,,-,,,,,,,,,,
13,,3,,,-,,,,,,,,,,
13,4,1,,,-,,,,,,,,,,
13,,2,,,-,,,,,,,,,,
13,,3,,,-,,,,,,,,,,
13,,4,,,-,,,,,,,,,,
13,5,1,,,-,,,,,,,,,,
13,,2,,,-,,,,,,,,,,
14,1,1,,,-,,,,,,,,,,
14,,2,,,-,,,,,,,,,,
14,,3,,,-,,,,,,,,,,
14,,4,,,-,,,,,,,,,,
14,,5,,,-,,,,,,,,,,
14,,6,,,-,,,,,,,,,,
14,,7,,,-,,,,,,,,,,
14,,8,,,-,,,,,,,,,,
14,,9,,,-,,,,,,,,,,
14,,10,,,-,,,,,,,,,,
14,,11,,,-,,,,,,,,,,
14,,12,,,-,,,,,,,,,,
14,,13,,,-,,,,,,,,,,
14,,14,,,-,,,,,,,,,,
14,,15,,,-,,,,,,,,,,
14,,16,,,-,,,,,,,,,,
15,1,1,,,-,,,,,,,,,,
15,2,1,,,-,,,,,,,,,,
