Página,Parágrafo/Bloco,Sentença,Português,Resp. Português,Rev. Português,Glosas,Resp. Glosas,Arquivo Vídeo,Resp. Vídeo,Rev. Tradução,Mocap,Vídeo Mocap,Elan,Resp. Elan,Rev. Elan
https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,0.0,1.0,Audiência pública discute financiamento da Extensão Universitária na Comissão de Educação da Câmara ,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,1.0,1.0,Publicado em 26/05/2023 por PROEC,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,2.0,1.0,"Fernando Coelho, pró-reitor de Extensão e Cultura da Unicamp, sugere definição de orçamento e planejamento federal ",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,3.0,1.0,Texto: Fernando Barbosa e Gabriela Villen  | Imagens: Divulgação,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,4.0,1.0,"O pró-reitor de Extensão e Cultura da Unicamp (Proec), Fernando Coelho, participou nesta quinta-feira (25), da audiência pública da Comissão de Educação da Câmara Federal, que discutiu o ""Financiamento da Extensão Universitária"".",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,4.0,2.0,"Presidida pela deputada Lídice da Mata (PSB-BA), a audiência reuniu reitores e pró-reitores das principais universidades públicas do país.",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,4.0,3.0,"O debate ressaltou a importância da extensão universitária realizada pelas universidades, bem como a necessidade de fomento específico, que garanta a continuidade dos programas e ações voltadas à comunidade.",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,5.0,1.0,“Temos demandas bem claras e há um consenso de que precisamos de financiamento.,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,5.0,2.0,"Minha pergunta é: qual é o nível de planejamento que já existe para que a gente tenha, no próximo orçamento da União, recursos devidamente estabelecidos para que a gente possa assim financiar, ou retomar, programas de extensão que envolvam um financiamento substantivo?”, questionou Coelho.",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,5.0,3.0,"O pró-reitor da Unicamp ressaltou, ainda, a necessidade de agregar à extensão, Políticas de Permanência Estudantil.",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,5.0,4.0,,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,6.0,1.0,"Para a deputada Lídice da Mata, é fundamental estabelecer um cronograma e manter a articulação das instituições presentes, para que os apontamentos sejam levados à Comissão da Câmara responsável pela elaboração das emendas.",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,6.0,2.0,"“Vamos pedir uma audiência com o MEC, para levarmos os documentos e solicitações.",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,6.0,3.0,"Nosso entendimento é de que precisamos ampliar os orçamentos das Universidades, para que essas tenham condições de repassá-los para as extensões”, afirmou.",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,6.0,4.0,"Da Mata ressaltou, contudo, a necessidade de busca de financiamento também nas  instâncias regionais.",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,7.0,1.0, ,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,8.0,1.0,"Alexandre da Fonseca, diretor de Políticas e Programas de Educação Superior, que representava o Ministério da Educação (MEC), apresentou dados e propostas, ponderando que a equipe ainda passa por momento de reconhecimento e avaliação das demandas.",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,8.0,2.0,Ele afirmou que vem acompanhando o debate sobre a Extensão Universitária e sua curricularização.,,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,8.0,3.0,"“Toda ação da Sesu [Secretaria de Educação Superior] terá como norte a indissociabilidade do ensino-pesquisa-extensão"", pontuou.",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,8.0,4.0,"""Vamos trabalhar para que novas ações aconteçam a partir desse diálogo com as instituições de educação.",,,,,,,,,,,,
https://www.proec.unicamp.br/noticias/audiencia-publica-discute-financiamento-da-extensao-universitaria-na-comissao-de-educacao-da-camara,8.0,5.0,"Esse movimento organizado precisa ser ouvido”, afirmou o diretor.",,,,,,,,,,,,
